Element 1: (3, (12, 4), ['F', '.', '.', '.'], [(15, 6), (10, 3), (11, 1)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'West', (11, 4))
Element 2: (3, (11, 4), ['G', '.', '.', ''], [(15, 7), (10, 4), (12, 1)], [False, False, False, False], 96, False, [False, True, True, False], 2048, 'North', (11, 5))
Element 3: (3, (11, 5), ['G', '', '.', '.'], [(15, 8), (10, 5), (13, 1)], [False, False, False, False], 94, False, [False, False, True, True], 2087, 'East', (12, 5))
Element 4: (3, (12, 5), ['', '', '.', '.'], [(15, 9), (10, 6), (14, 1)], [False, False, False, False], 92, False, [False, False, True, True], 2126, 'East', (13, 5))
Element 5: (3, (13, 5), ['', '.', '.', '.'], [(14, 9), (11, 6), (13, 1)], [False, False, False, False], 90, False, [False, True, True, True], 2155, 'East', (14, 5))
Element 6: (3, (14, 5), ['', '.', '', '.'], [(14, 8), (12, 6), (13, 2)], [False, False, False, False], 88, False, [False, True, False, True], 2194, 'East', (15, 5))
Element 7: (3, (15, 5), ['', '.', '', '%'], [(14, 7), (13, 6), (13, 3)], [False, False, False, True], 86, False, [False, True, False, False], 2233, 'South', (15, 4))
Element 8: (3, (15, 4), ['.', '.', '', '%'], [(13, 7), (14, 6), (14, 3)], [False, False, False, True], 84, False, [True, True, False, False], 2262, 'South', (15, 3))
Element 9: (3, (15, 3), ['', '.', '', '%'], [(13, 8), (15, 6), (14, 4)], [False, False, False, True], 82, False, [False, True, False, False], 2291, 'South', (15, 2))
Element 10: (3, (15, 2), ['%', '%', '', '%'], [(13, 9), (15, 7), (13, 4)], [True, True, False, True], 80, False, [False, False, False, False], 2320, 'North', (15, 3))
Element 11: (3, (15, 3), ['', '', '', '%'], [(12, 9), (15, 8), (13, 5)], [False, False, False, True], 78, False, [False, False, False, False], 2329, 'West', (14, 3))
Element 12: (3, (14, 3), ['', '%', '', ''], [(11, 9), (15, 9), (14, 5)], [False, True, False, False], 76, False, [False, False, False, False], 3328, 'North', (14, 4))
Element 13: (3, (14, 4), ['', '', '', ''], [(11, 8), (14, 9), (15, 5)], [False, False, False, False], 74, False, [False, False, False, False], 4327, 'West', (13, 4))
Element 14: (3, (13, 4), ['', '', '', ''], [(10, 8), (14, 8), (15, 6)], [False, False, False, False], 72, False, [False, False, False, False], 5326, 'South', (13, 3))
Element 15: #1#
