Element 1: (0, (12, 3), ['.', '%', '.', '.'], [(1, 3), (1, 8), (15, 7)], [False, True, False, False], 98, False, [True, False, True, True], 0, 'East', (13, 3))
Element 2: (0, (13, 3), ['', '.', '.', '.'], [(1, 4), (1, 9), (15, 8)], [False, False, False, False], 96, False, [False, True, True, True], 39, 'East', (14, 3))
Element 3: (0, (14, 3), ['', '%', '.', '.'], [(1, 5), (1, 8), (15, 9)], [False, True, False, False], 94, False, [False, False, True, True], 68, 'East', (15, 3))
Element 4: (0, (15, 3), ['', '.', '.', '%'], [(1, 6), (1, 7), (14, 9)], [False, False, False, True], 92, False, [False, True, True, False], 107, 'North', (15, 4))
Element 5: (0, (15, 4), ['.', '', '.', '%'], [(1, 5), (1, 6), (14, 8)], [False, False, False, True], 90, False, [True, False, True, False], 126, 'North', (15, 5))
Element 6: (0, (15, 5), ['.', '', '.', '%'], [(1, 4), (1, 5), (14, 7)], [False, False, False, True], 88, False, [True, False, True, False], 145, 'North', (15, 6))
Element 7: (0, (15, 6), ['G', '', '', '%'], [(1, 3), (1, 4), (14, 6)], [False, False, False, True], 86, False, [False, False, False, False], 164, 'North', (15, 7))
Element 8: (0, (15, 7), ['', '', '', '%'], [(1, 2), (1, 3), (14, 5)], [False, False, False, True], 84, False, [False, False, False, False], 183, 'North', (15, 8))
Element 9: (0, (15, 8), ['', '', '', '%'], [(1, 1), (1, 2), (14, 4)], [False, False, False, True], 82, False, [False, False, False, False], 202, 'North', (15, 9))
Element 10: (0, (15, 9), ['', '', '%', '%'], [(2, 1), (1, 1), (13, 4)], [False, False, True, True], 80, False, [False, False, False, False], 221, 'West', (14, 9))
Element 11: (0, (14, 9), ['.', '', '%', ''], [(3, 1), (2, 1), (13, 5)], [False, False, True, False], 78, False, [True, False, False, False], 240, 'West', (13, 9))
Element 12: (0, (13, 9), ['.', '.', '%', ''], [(4, 1), (3, 1), (13, 6)], [False, False, True, False], 76, False, [True, True, False, False], 269, 'South', (13, 8))
Element 13: (0, (13, 8), ['.', 'G', '', ''], [(4, 2), (4, 1), (13, 7)], [False, False, False, False], 74, False, [True, False, False, False], 298, 'West', (12, 8))
Element 14: (0, (12, 8), ['F', 'G', '.', ''], [(4, 3), (4, 2), (12, 7)], [False, False, False, False], 72, False, [False, False, True, False], 327, 'West', (11, 8))
Element 15: (0, (11, 8), ['F', '.', 'F', ''], [(5, 3), (4, 3), (12, 6)], [False, False, False, False], 70, False, [False, True, False, False], 1346, 'North', (11, 9))
Element 16: (0, (11, 9), ['F', '', '%', '.'], [(6, 3), (4, 4), (12, 5)], [False, False, True, False], 68, False, [False, False, False, True], 2375, 'West', (10, 9))
Element 17: (0, (10, 9), ['.', 'F', '%', ''], [(7, 3), (5, 4), (12, 4)], [False, False, True, False], 66, False, [True, False, False, False], 3404, 'South', (10, 8))
Element 18: (0, (10, 8), ['.', '.', '', ''], [(8, 3), (6, 4), (11, 4)], [False, False, False, False], 64, False, [True, True, False, False], 5423, 'South', (10, 7))
Element 19: #1#
