Element 1: (2, (6, 9), ['G', '.', '%', '.'], [(5, 9), (5, 7), (9, 7)], [False, False, True, False], 98, False, [False, True, False, True], 19, 'East', (7, 9))
Element 2: (2, (7, 9), ['', '.', '%', '.'], [(5, 8), (6, 7), (10, 7)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (8, 9))
Element 3: (2, (8, 9), ['', '.', '%', '.'], [(6, 8), (7, 7), (10, 8)], [False, False, True, False], 94, False, [False, True, False, True], 1087, 'East', (9, 9))
Element 4: (2, (9, 9), ['', '.', '%', 'F'], [(7, 8), (8, 7), (11, 8)], [False, False, True, False], 92, False, [False, True, False, False], 2116, 'East', (10, 9))
Element 5: (2, (10, 9), ['', '', '%', 'G'], [(8, 8), (8, 6), (11, 9)], [False, False, True, False], 90, False, [False, False, False, False], 4135, 'South', (10, 8))
Element 6: (2, (10, 8), ['G', '', '', ''], [(9, 8), (9, 6), (12, 9)], [False, False, False, False], 88, False, [False, False, False, False], 4164, 'East', (11, 8))
Element 7: (2, (11, 8), ['G', '.', '', '.'], [(10, 8), (10, 6), (13, 9)], [False, False, False, False], 86, False, [False, True, False, True], 4183, 'East', (12, 8))
Element 8: (2, (12, 8), ['G', '.', '', '.'], [(11, 8), (11, 6), (14, 9)], [False, False, False, False], 84, False, [False, True, False, True], 4212, 'East', (13, 8))
Element 9: (2, (13, 8), ['', '.', '', '.'], [(11, 7), (12, 6), (15, 9)], [False, False, False, False], 82, False, [False, True, False, True], 4251, 'East', (14, 8))
Element 10: (2, (14, 8), ['', '.', '', 'G'], [(12, 7), (13, 6), (15, 8)], [False, False, False, False], 80, False, [False, True, False, False], 4290, 'South', (14, 7))
Element 11: (2, (14, 7), ['G', 'G', '', 'G'], [(13, 7), (14, 6), (15, 7)], [False, False, False, False], 78, False, [False, False, False, False], 4329, 'North', (14, 8))
Element 12: (2, (14, 8), ['', 'G', '', ''], [(14, 7), (14, 5), (15, 6)], [False, False, False, False], 76, False, [False, False, False, False], 4348, 'North', (14, 9))
Element 13: (2, (14, 9), ['', '', '%', ''], [(15, 7), (14, 4), (15, 5)], [False, False, True, False], 74, False, [False, False, False, False], 4367, 'East', (15, 9))
Element 14: (2, (15, 9), ['', 'G', '%', '%'], [(15, 8), (14, 3), (15, 4)], [False, False, True, True], 72, False, [False, False, False, False], 4386, 'West', (14, 9))
Element 15: (2, (14, 9), ['', '', '%', 'G'], [(15, 9), (13, 3), (15, 3)], [False, False, True, False], 70, False, [False, False, False, False], 4405, 'West', (13, 9))
Element 16: (2, (13, 9), ['', '', '%', 'G'], [(14, 9), (13, 4), (15, 2)], [False, False, True, False], 68, False, [False, False, False, False], 4424, 'West', (12, 9))
Element 17: (2, (12, 9), ['', '', '%', ''], [(14, 8), (13, 5), (15, 3)], [False, False, True, False], 66, False, [False, False, False, False], 4433, 'West', (11, 9))
Element 18: (2, (11, 9), ['', '', '%', ''], [(13, 8), (12, 5), (14, 3)], [False, False, True, False], 64, False, [False, False, False, False], 4442, 'East', (12, 9))
Element 19: (2, (12, 9), ['', '', '%', 'G'], [(13, 9), (12, 4), (14, 4)], [False, False, True, False], 62, False, [False, False, False, False], 4451, 'West', (11, 9))
Element 20: (2, (11, 9), ['', '', '%', 'G'], [(12, 9), (11, 4), (14, 5)], [False, False, True, False], 60, False, [False, False, False, False], 5450, 'East', (12, 9))
Element 21: #1#
