Element 1: (2, (5, 7), ['.', '.', '.', '.'], [(15, 9), (4, 6), (14, 3)], [False, False, False, False], 98, False, [True, True, True, True], 19, 'East', (6, 7))
Element 2: (2, (6, 7), ['', '.', '.', '.'], [(15, 8), (5, 6), (15, 3)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (7, 7))
Element 3: (2, (7, 7), ['', '.', '.', '.'], [(15, 7), (6, 6), (15, 4)], [False, False, False, False], 94, False, [False, True, True, True], 97, 'East', (8, 7))
Element 4: (2, (8, 7), ['', '.', '.', '.'], [(15, 6), (7, 6), (15, 5)], [False, False, False, False], 92, False, [False, True, True, True], 136, 'East', (9, 7))
Element 5: (2, (9, 7), ['', '.', '.', '.'], [(14, 6), (8, 6), (14, 5)], [False, False, False, False], 90, False, [False, True, True, True], 175, 'East', (10, 7))
Element 6: (2, (10, 7), ['', '.', 'F', '.'], [(14, 7), (9, 6), (14, 4)], [False, False, False, False], 88, False, [False, True, False, True], 214, 'North', (10, 8))
Element 7: (2, (10, 8), ['.', '', 'F', 'F'], [(14, 8), (10, 6), (13, 4)], [False, False, False, False], 86, False, [True, False, False, False], 1243, 'East', (11, 8))
Element 8: (2, (11, 8), ['', '.', 'F', '.'], [(13, 8), (11, 6), (13, 5)], [False, False, False, False], 84, False, [False, True, False, True], 2272, 'North', (11, 9))
Element 9: (2, (11, 9), ['F', '', '%', '.'], [(13, 9), (12, 6), (13, 6)], [False, False, True, False], 82, False, [False, False, False, True], 3301, 'West', (10, 9))
Element 10: (2, (10, 9), ['.', '', '%', ''], [(12, 9), (12, 7), (13, 7)], [False, False, True, False], 80, False, [True, False, False, False], 4330, 'West', (9, 9))
Element 11: (2, (9, 9), ['.', '.', '%', ''], [(12, 8), (11, 7), (14, 7)], [False, False, True, False], 78, False, [True, True, False, False], 4359, 'South', (9, 8))
Element 12: (2, (9, 8), ['.', '', '', ''], [(12, 7), (11, 8), (15, 7)], [False, False, False, False], 76, False, [True, False, False, False], 4368, 'West', (8, 8))
Element 13: (2, (8, 8), ['.', '', '.', ''], [(13, 7), (12, 8), (15, 8)], [False, False, False, False], 74, False, [True, False, True, False], 4377, 'North', (8, 9))
Element 14: (2, (8, 9), ['.', '', '%', ''], [(13, 6), (13, 8), (15, 9)], [False, False, True, False], 72, False, [True, False, False, False], 4386, 'West', (7, 9))
Element 15: (2, (7, 9), ['.', '.', '%', ''], [(13, 5), (14, 8), (14, 9)], [False, False, True, False], 70, False, [True, True, False, False], 4395, 'South', (7, 8))
Element 16: (2, (7, 8), ['.', '', '', ''], [(12, 5), (15, 8), (13, 9)], [False, False, False, False], 68, False, [True, False, False, False], 4414, 'West', (6, 8))
Element 17: (2, (6, 8), ['.', '', '.', ''], [(12, 4), (15, 9), (13, 8)], [False, False, False, False], 66, False, [True, False, True, False], 4433, 'North', (6, 9))
Element 18: (2, (6, 9), ['.', '', '%', ''], [(11, 4), (14, 9), (14, 8)], [False, False, True, False], 64, False, [True, False, False, False], 5442, 'West', (5, 9))
Element 19: #1#
