Element 1: (1, (1, 8), ['%', '.', 'G', '%'], [(11, 8), (1, 9), (5, 9)], [True, False, False, True], 98, False, [False, True, False, False], 999, 'South', (1, 7))
Element 2: (1, (1, 7), ['%', '.', 'G', '%'], [(11, 9), (1, 8), (6, 9)], [True, False, False, True], 96, False, [False, True, False, False], 2018, 'South', (1, 6))
Element 3: (1, (1, 6), ['%', '.', 'G', '%'], [(10, 9), (1, 7), (7, 9)], [True, False, False, True], 94, False, [False, True, False, False], 3037, 'South', (1, 5))
Element 4: (1, (1, 5), ['%', '.', 'G', '%'], [(10, 8), (1, 6), (8, 9)], [True, False, False, True], 92, False, [False, True, False, False], 4056, 'South', (1, 4))
Element 5: (1, (1, 4), ['%', '.', 'G', '%'], [(10, 7), (1, 5), (9, 9)], [True, False, False, True], 90, False, [False, True, False, False], 4085, 'South', (1, 3))
Element 6: (1, (1, 3), ['%', '.', 'G', '%'], [(11, 7), (1, 4), (9, 8)], [True, False, False, True], 88, False, [False, True, False, False], 4114, 'South', (1, 2))
Element 7: (1, (1, 2), ['%', '.', 'G', '%'], [(12, 7), (1, 3), (9, 7)], [True, False, False, True], 86, False, [False, True, False, False], 4143, 'South', (1, 1))
Element 8: (1, (1, 1), ['%', '%', 'G', '.'], [(13, 7), (1, 2), (9, 6)], [True, True, False, False], 84, False, [False, False, False, True], 4172, 'East', (2, 1))
Element 9: (1, (2, 1), ['G', '%', '%', '.'], [(14, 7), (1, 1), (10, 6)], [False, True, True, False], 82, False, [False, False, False, True], 4201, 'East', (3, 1))
Element 10: (1, (3, 1), ['G', '%', '%', '.'], [(15, 7), (2, 1), (11, 6)], [False, True, True, False], 80, False, [False, False, False, True], 4230, 'East', (4, 1))
Element 11: (1, (4, 1), ['G', '%', '.', '%'], [(15, 8), (3, 1), (12, 6)], [False, True, False, True], 78, False, [False, False, True, False], 4259, 'North', (4, 2))
Element 12: (1, (4, 2), ['%', 'G', '.', '%'], [(15, 9), (4, 1), (13, 6)], [True, False, False, True], 76, False, [False, False, True, False], 4288, 'North', (4, 3))
Element 13: (1, (4, 3), ['.', 'G', '.', '.'], [(14, 9), (4, 2), (14, 6)], [False, False, False, False], 74, False, [True, False, True, True], 4317, 'East', (5, 3))
Element 14: (1, (5, 3), ['G', '%', '.', '.'], [(14, 8), (4, 3), (15, 6)], [False, True, False, False], 72, False, [False, False, True, True], 4346, 'East', (6, 3))
Element 15: (1, (6, 3), ['', '.', '.', '.'], [(13, 8), (4, 4), (15, 5)], [False, False, False, False], 70, False, [False, True, True, True], 4385, 'East', (7, 3))
Element 16: (1, (7, 3), ['', '.', '.', '.'], [(13, 9), (5, 4), (15, 4)], [False, False, False, False], 68, False, [False, True, True, True], 4424, 'East', (8, 3))
Element 17: (1, (8, 3), ['', '.', '.', '.'], [(12, 9), (6, 4), (15, 3)], [False, False, False, False], 66, False, [False, True, True, True], 4463, 'East', (9, 3))
Element 18: (1, (9, 3), ['', '.', '.', '.'], [(13, 9), (7, 4), (15, 2)], [False, False, False, False], 64, False, [False, True, True, True], 4492, 'East', (10, 3))
Element 19: (1, (10, 3), ['', '.', 'F', '.'], [(13, 8), (8, 4), (15, 3)], [False, False, False, False], 62, False, [False, True, False, True], 4511, 'North', (10, 4))
Element 20: (1, (10, 4), ['G', '', '.', 'F'], [(14, 8), (9, 4), (14, 3)], [False, False, False, False], 60, False, [False, False, True, False], 5530, 'East', (11, 4))
Element 21: #1#
