Element 1: (1, (10, 5), ['.', 'F', '.', '.'], [(10, 3), (12, 6), (14, 8)], [False, False, False, False], 98, False, [True, False, True, True], 9, 'South', (10, 4))
Element 2: (1, (10, 4), ['.', '', '', 'F'], [(11, 3), (13, 6), (15, 8)], [False, False, False, False], 96, False, [True, False, False, False], 1038, 'East', (11, 4))
Element 3: (1, (11, 4), ['', '', '.', '.'], [(12, 3), (14, 6), (15, 9)], [False, False, False, False], 94, False, [False, False, True, True], 2067, 'East', (12, 4))
Element 4: (1, (12, 4), ['', '', '.', '.'], [(13, 3), (15, 6), (14, 9)], [False, False, False, False], 92, False, [False, False, True, True], 2106, 'East', (13, 4))
Element 5: (1, (13, 4), ['', '', '.', '.'], [(14, 3), (15, 7), (13, 9)], [False, False, False, False], 90, False, [False, False, True, True], 2145, 'East', (14, 4))
Element 6: (1, (14, 4), ['', '', '.', '.'], [(15, 3), (14, 7), (13, 8)], [False, False, False, False], 88, False, [False, False, True, True], 2184, 'East', (15, 4))
Element 7: (1, (15, 4), ['', '', '.', '%'], [(15, 2), (13, 7), (12, 8)], [False, False, False, True], 86, False, [False, False, True, False], 2223, 'North', (15, 5))
Element 8: (1, (15, 5), ['.', '', '', '%'], [(15, 3), (12, 7), (11, 8)], [False, False, False, True], 84, False, [True, False, False, False], 3242, 'West', (14, 5))
Element 9: (1, (14, 5), ['.', '', '', ''], [(14, 3), (11, 7), (11, 9)], [False, False, False, False], 82, False, [True, False, False, False], 4261, 'West', (13, 5))
Element 10: (1, (13, 5), ['.', '', '', ''], [(13, 3), (11, 6), (10, 9)], [False, False, False, False], 80, False, [True, False, False, False], 5280, 'West', (12, 5))
Element 11: #1#
