Element 1: (3, (15, 7), ['.', '.', '.', '%'], [(14, 6), (1, 8), (5, 7)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (15, 8))
Element 2: (3, (15, 8), ['.', '', '.', '%'], [(15, 6), (1, 9), (6, 7)], [False, False, False, True], 96, False, [True, False, True, False], 68, 'North', (15, 9))
Element 3: (3, (15, 9), ['.', '', '%', '%'], [(15, 5), (1, 8), (7, 7)], [False, False, True, True], 94, False, [True, False, False, False], 97, 'West', (14, 9))
Element 4: (3, (14, 9), ['.', '.', '%', ''], [(15, 4), (1, 7), (8, 7)], [False, False, True, False], 92, False, [True, True, False, False], 126, 'South', (14, 8))
Element 5: (3, (14, 8), ['.', '.', '', ''], [(15, 3), (1, 6), (9, 7)], [False, False, False, False], 90, False, [True, True, False, False], 165, 'South', (14, 7))
Element 6: (3, (14, 7), ['.', '', '', ''], [(15, 2), (1, 5), (10, 7)], [False, False, False, False], 88, False, [True, False, False, False], 204, 'West', (13, 7))
Element 7: (3, (13, 7), ['.', '', '.', ''], [(15, 3), (1, 4), (10, 8)], [False, False, False, False], 86, False, [True, False, True, False], 1223, 'North', (13, 8))
Element 8: (3, (13, 8), ['.', '', '.', ''], [(14, 3), (1, 3), (11, 8)], [False, False, False, False], 84, False, [True, False, True, False], 2252, 'North', (13, 9))
Element 9: (3, (13, 9), ['.', '', '%', ''], [(14, 4), (1, 2), (11, 9)], [False, False, True, False], 82, False, [True, False, False, False], 3281, 'West', (12, 9))
Element 10: (3, (12, 9), ['', '.', '%', ''], [(14, 5), (1, 1), (10, 9)], [False, False, True, False], 80, False, [False, True, False, False], 4310, 'South', (12, 8))
Element 11: (3, (12, 8), ['', '.', '', ''], [(13, 5), (2, 1), (9, 9)], [False, False, False, False], 78, False, [False, True, False, False], 4349, 'South', (12, 7))
Element 12: (3, (12, 7), ['.', '.', '', ''], [(13, 4), (3, 1), (9, 8)], [False, False, False, False], 76, False, [True, True, False, False], 4388, 'South', (12, 6))
Element 13: (3, (12, 6), ['.', '.', '', ''], [(13, 3), (4, 1), (8, 8)], [False, False, False, False], 74, False, [True, True, False, False], 4427, 'South', (12, 5))
Element 14: (3, (12, 5), ['.', '.', '', ''], [(13, 2), (4, 2), (8, 9)], [False, False, False, False], 72, False, [True, True, False, False], 4466, 'South', (12, 4))
Element 15: (3, (12, 4), ['F', '.', '', ''], [(13, 1), (4, 3), (7, 9)], [False, False, False, False], 70, False, [False, True, False, False], 4505, 'West', (11, 4))
Element 16: (3, (11, 4), ['F', '.', '.', ''], [(14, 1), (5, 3), (7, 8)], [False, False, False, False], 68, False, [False, True, True, False], 5534, 'West', (10, 4))
Element 17: #1#
