Element 1: (3, (7, 4), ['G', '.', '.', '.'], [(15, 7), (2, 1), (6, 4)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'East', (8, 4))
Element 2: (3, (8, 4), ['', '.', '.', '.'], [(15, 8), (3, 1), (6, 5)], [False, False, False, False], 96, False, [False, True, True, True], 68, 'East', (9, 4))
Element 3: (3, (9, 4), ['', '.', '.', 'F'], [(15, 9), (4, 1), (7, 5)], [False, False, False, False], 94, False, [False, True, True, False], 107, 'East', (10, 4))
Element 4: (3, (10, 4), ['', '.', '.', 'F'], [(14, 9), (4, 2), (8, 5)], [False, False, False, False], 92, False, [False, True, True, False], 1136, 'East', (11, 4))
Element 5: (3, (11, 4), ['', '.', '.', '.'], [(14, 8), (4, 3), (9, 5)], [False, False, False, False], 90, False, [False, True, True, True], 2165, 'East', (12, 4))
Element 6: (3, (12, 4), ['', '.', '.', '.'], [(14, 7), (5, 3), (10, 5)], [False, False, False, False], 88, False, [False, True, True, True], 2204, 'East', (13, 4))
Element 7: (3, (13, 4), ['', '.', '.', '.'], [(14, 6), (6, 3), (11, 5)], [False, False, False, False], 86, False, [False, True, True, True], 2243, 'East', (14, 4))
Element 8: (3, (14, 4), ['', '.', 'G', '.'], [(14, 5), (7, 3), (12, 5)], [False, False, False, False], 84, False, [False, True, False, True], 2282, 'East', (15, 4))
Element 9: (3, (15, 4), ['', '.', 'G', '%'], [(15, 5), (8, 3), (13, 5)], [False, False, False, True], 82, False, [False, True, False, False], 2321, 'South', (15, 3))
Element 10: (3, (15, 3), ['.', '.', 'G', '%'], [(15, 4), (9, 3), (13, 6)], [False, False, False, True], 80, False, [True, True, False, False], 2350, 'South', (15, 2))
Element 11: (3, (15, 2), ['%', '%', 'G', '%'], [(15, 3), (10, 3), (13, 7)], [True, True, False, True], 78, False, [False, False, False, False], 2379, 'Stop', (15, 2))
Element 12: (3, (15, 2), ['%', '%', '', '%'], [(14, 3), (11, 3), (13, 8)], [True, True, False, True], 76, False, [False, False, False, False], 2408, 'North', (15, 3))
Element 13: (3, (15, 3), ['', '', '', '%'], [(13, 3), (12, 3), (13, 9)], [False, False, False, True], 74, False, [False, False, False, False], 2437, 'Stop', (15, 3))
Element 14: (3, (15, 3), ['', '', '', '%'], [(13, 2), (13, 3), (12, 9)], [False, False, False, True], 72, False, [False, False, False, False], 2456, 'North', (15, 4))
Element 15: (3, (15, 4), ['', '', '', '%'], [(13, 1), (14, 3), (11, 9)], [False, False, False, True], 70, False, [False, False, False, False], 3465, 'West', (14, 4))
Element 16: (3, (14, 4), ['', '', '', ''], [(14, 1), (15, 3), (11, 8)], [False, False, False, False], 68, False, [False, False, False, False], 4474, 'South', (14, 3))
Element 17: (3, (14, 3), ['', '%', '', ''], [(13, 1), (15, 4), (10, 8)], [False, True, False, False], 66, False, [False, False, False, False], 5473, 'West', (13, 3))
Element 18: #1#
