Element 1: (3, (16, 1), ['%', '%', '%', '.'], [(13, 7), (7, 9), (10, 8)], [True, True, True, False], 98, False, [False, False, False, True], 1019, 'East', (17, 1))
Element 2: (3, (17, 1), ['', '%', '%', '.'], [(14, 7), (8, 9), (11, 8)], [False, True, True, False], 96, False, [False, False, False, True], 2048, 'East', (18, 1))
Element 3: (3, (18, 1), ['', '%', '%', '%'], [(15, 7), (9, 9), (11, 9)], [False, True, True, True], 94, False, [False, False, False, False], 3077, 'West', (17, 1))
Element 4: (3, (17, 1), ['', '%', '%', ''], [(15, 8), (10, 9), (12, 9)], [False, True, True, False], 92, False, [False, False, False, False], 4096, 'West', (16, 1))
Element 5: (3, (16, 1), ['%', '%', '%', ''], [(15, 9), (11, 9), (13, 9)], [True, True, True, False], 90, False, [False, False, False, False], 4115, 'Stop', (16, 1))
Element 6: (3, (16, 1), ['%', '%', '%', ''], [(14, 9), (12, 9), (13, 8)], [True, True, True, False], 88, False, [False, False, False, False], 4134, 'East', (17, 1))
Element 7: (3, (17, 1), ['', '%', '%', ''], [(14, 8), (12, 8), (13, 7)], [False, True, True, False], 86, False, [False, False, False, False], 4153, 'East', (18, 1))
Element 8: (3, (18, 1), ['', '%', '%', '%'], [(13, 8), (12, 7), (13, 6)], [False, True, True, True], 84, False, [False, False, False, False], 4162, 'West', (17, 1))
Element 9: (3, (17, 1), ['', '%', '%', ''], [(13, 9), (12, 6), (14, 6)], [False, True, True, False], 82, False, [False, False, False, False], 4181, 'West', (16, 1))
Element 10: (3, (16, 1), ['%', '%', '%', ''], [(12, 9), (12, 5), (15, 6)], [True, True, True, False], 80, False, [False, False, False, False], 4200, 'Stop', (16, 1))
Element 11: (3, (16, 1), ['%', '%', '%', ''], [(12, 8), (13, 5), (15, 5)], [True, True, True, False], 78, False, [False, False, False, False], 4219, 'East', (17, 1))
Element 12: (3, (17, 1), ['', '%', '%', ''], [(11, 8), (14, 5), (15, 4)], [False, True, True, False], 76, False, [False, False, False, False], 4238, 'East', (18, 1))
Element 13: (3, (18, 1), ['', '%', '%', '%'], [(11, 7), (14, 4), (15, 3)], [False, True, True, True], 74, False, [False, False, False, False], 4267, 'West', (17, 1))
Element 14: (3, (17, 1), ['', '%', '%', ''], [(11, 6), (14, 3), (15, 2)], [False, True, True, False], 72, False, [False, False, False, False], 4296, 'West', (16, 1))
Element 15: (3, (16, 1), ['%', '%', '%', ''], [(11, 5), (13, 3), (15, 3)], [True, True, True, False], 70, False, [False, False, False, False], 4315, 'Stop', (16, 1))
Element 16: (3, (16, 1), ['%', '%', '%', ''], [(11, 4), (13, 4), (15, 4)], [True, True, True, False], 68, False, [False, False, False, False], 5324, 'East', (17, 1))
Element 17: #1#
