Element 1: (1, (4, 1), ['.', '%', '.', '%'], [(6, 8), (4, 9), (10, 7)], [False, True, False, True], 98, False, [True, False, True, False], 9, 'North', (4, 2))
Element 2: (1, (4, 2), ['%', '', '.', '%'], [(7, 8), (5, 9), (10, 8)], [True, False, False, True], 96, False, [False, False, True, False], 1038, 'North', (4, 3))
Element 3: (1, (4, 3), ['.', '', '.', '.'], [(8, 8), (6, 9), (11, 8)], [False, False, False, False], 94, False, [True, False, True, True], 2067, 'East', (5, 3))
Element 4: (1, (5, 3), ['', '%', '.', '.'], [(9, 8), (7, 9), (11, 9)], [False, True, False, False], 92, False, [False, False, True, True], 3096, 'East', (6, 3))
Element 5: (1, (6, 3), ['', '.', '.', '.'], [(9, 9), (8, 9), (10, 9)], [False, False, False, False], 90, False, [False, True, True, True], 4125, 'East', (7, 3))
Element 6: (1, (7, 3), ['', '.', '.', '.'], [(10, 9), (8, 8), (11, 9)], [False, False, False, False], 88, False, [False, True, True, True], 4134, 'East', (8, 3))
Element 7: (1, (8, 3), ['', '.', '.', '.'], [(11, 9), (8, 7), (12, 9)], [False, False, False, False], 86, False, [False, True, True, True], 4163, 'East', (9, 3))
Element 8: (1, (9, 3), ['', '.', '.', '.'], [(12, 9), (9, 7), (13, 9)], [False, False, False, False], 84, False, [False, True, True, True], 4192, 'East', (10, 3))
Element 9: (1, (10, 3), ['', '.', 'F', '.'], [(12, 8), (9, 6), (14, 9)], [False, False, False, False], 82, False, [False, True, False, True], 4231, 'North', (10, 4))
Element 10: (1, (10, 4), ['.', '', '.', 'F'], [(13, 8), (10, 6), (15, 9)], [False, False, False, False], 80, False, [True, False, True, False], 5260, 'East', (11, 4))
Element 11: #1#
