Element 1: (1, (9, 8), ['.', '.', '.', 'F'], [(11, 8), (12, 3), (13, 7)], [False, False, False, False], 98, False, [True, True, True, False], 999, 'East', (10, 8))
Element 2: (1, (10, 8), ['', '.', 'F', ''], [(11, 9), (13, 3), (14, 7)], [False, False, False, False], 96, False, [False, True, False, False], 3018, 'North', (10, 9))
Element 3: (1, (10, 9), ['.', '', '%', ''], [(12, 9), (14, 3), (15, 7)], [False, False, True, False], 94, False, [True, False, False, False], 4047, 'West', (9, 9))
Element 4: (1, (9, 9), ['.', '', '%', ''], [(13, 9), (15, 3), (15, 8)], [False, False, True, False], 92, False, [True, False, False, False], 4086, 'West', (8, 9))
Element 5: (1, (8, 9), ['.', '.', '%', ''], [(14, 9), (15, 4), (15, 9)], [False, False, True, False], 90, False, [True, True, False, False], 4125, 'South', (8, 8))
Element 6: (1, (8, 8), ['.', '.', '', ''], [(14, 8), (15, 5), (15, 8)], [False, False, False, False], 88, False, [True, True, False, False], 4154, 'South', (8, 7))
Element 7: (1, (8, 7), ['.', '.', '', '.'], [(13, 8), (15, 6), (15, 7)], [False, False, False, False], 86, False, [True, True, False, True], 4183, 'East', (9, 7))
Element 8: (1, (9, 7), ['', '.', '', '.'], [(12, 8), (14, 6), (15, 8)], [False, False, False, False], 84, False, [False, True, False, True], 4212, 'East', (10, 7))
Element 9: (1, (10, 7), ['', '.', '', ''], [(12, 7), (14, 5), (15, 7)], [False, False, False, False], 82, False, [False, True, False, False], 4241, 'South', (10, 6))
Element 10: (1, (10, 6), ['.', '.', '', '.'], [(12, 6), (14, 4), (15, 6)], [False, False, False, False], 80, False, [True, True, False, True], 4270, 'East', (11, 6))
Element 11: (1, (11, 6), ['', '.', '', ''], [(13, 6), (13, 4), (15, 5)], [False, False, False, False], 78, False, [False, True, False, False], 4299, 'South', (11, 5))
Element 12: (1, (11, 5), ['.', 'F', '', '.'], [(14, 6), (13, 5), (15, 4)], [False, False, False, False], 76, False, [True, False, False, True], 4318, 'South', (11, 4))
Element 13: (1, (11, 4), ['F', '.', '', '.'], [(15, 6), (12, 5), (15, 3)], [False, False, False, False], 74, False, [False, True, False, True], 5327, 'West', (10, 4))
Element 14: #1#
