Element 1: (3, (15, 4), ['.', 'G', '.', '%'], [(17, 1), (7, 8), (15, 3)], [False, False, False, True], 98, False, [True, False, True, False], 29, 'North', (15, 5))
Element 2: (3, (15, 5), ['.', '', '.', '%'], [(16, 1), (8, 8), (14, 3)], [False, False, False, True], 96, False, [True, False, True, False], 68, 'North', (15, 6))
Element 3: (3, (15, 6), ['.', '', '.', '%'], [(17, 1), (9, 8), (14, 4)], [False, False, False, True], 94, False, [True, False, True, False], 97, 'North', (15, 7))
Element 4: (3, (15, 7), ['.', '', '.', '%'], [(18, 1), (10, 8), (14, 5)], [False, False, False, True], 92, False, [True, False, True, False], 1116, 'North', (15, 8))
Element 5: (3, (15, 8), ['.', '', '.', '%'], [(18, 1), (11, 8), (14, 6)], [False, False, False, True], 90, False, [True, False, True, False], 2135, 'North', (15, 9))
Element 6: (3, (15, 9), ['.', '', '%', '%'], [(17, 1), (11, 9), (14, 7)], [False, False, True, True], 88, False, [True, False, False, False], 3154, 'West', (14, 9))
Element 7: (3, (14, 9), ['.', 'G', '%', ''], [(16, 1), (10, 9), (14, 8)], [False, False, True, False], 86, False, [True, False, False, False], 4173, 'West', (13, 9))
Element 8: (3, (13, 9), ['.', 'G', '%', ''], [(17, 1), (9, 9), (13, 8)], [False, False, True, False], 84, False, [True, False, False, False], 4202, 'West', (12, 9))
Element 9: (3, (12, 9), ['', '.', '%', ''], [(18, 1), (8, 9), (13, 7)], [False, False, True, False], 82, False, [False, True, False, False], 4231, 'South', (12, 8))
Element 10: (3, (12, 8), ['', '.', '', ''], [(18, 1), (7, 9), (13, 6)], [False, False, False, False], 80, False, [False, True, False, False], 4260, 'South', (12, 7))
Element 11: (3, (12, 7), ['.', '.', '', ''], [(17, 1), (6, 9), (13, 5)], [False, False, False, False], 78, False, [True, True, False, False], 4289, 'South', (12, 6))
Element 12: (3, (12, 6), ['.', '.', '', ''], [(16, 1), (5, 9), (13, 4)], [False, False, False, False], 76, False, [True, True, False, False], 4318, 'South', (12, 5))
Element 13: (3, (12, 5), ['.', '.', '', ''], [(17, 1), (5, 8), (13, 3)], [False, False, False, False], 74, False, [True, True, False, False], 4347, 'South', (12, 4))
Element 14: (3, (12, 4), ['F', '.', '', ''], [(18, 1), (5, 7), (13, 2)], [False, False, False, False], 72, False, [False, True, False, False], 4376, 'West', (11, 4))
Element 15: (3, (11, 4), ['F', '.', '.', ''], [(18, 1), (6, 7), (13, 1)], [False, False, False, False], 70, False, [False, True, True, False], 5395, 'West', (10, 4))
Element 16: #1#
