Element 1: (2, (9, 2), ['G', '.', 'G', '.'], [(1, 5), (8, 2), (9, 3)], [False, False, False, False], 98, False, [False, True, False, True], 19, 'East', (10, 2))
Element 2: (2, (10, 2), ['', '.', 'G', '%'], [(1, 6), (8, 3), (10, 3)], [False, False, False, True], 96, False, [False, True, False, False], 58, 'South', (10, 1))
Element 3: (2, (10, 1), ['.', '%', '', '.'], [(1, 7), (8, 4), (10, 4)], [False, True, False, False], 94, False, [True, False, False, True], 1087, 'East', (11, 1))
Element 4: (2, (11, 1), ['', '%', '%', '.'], [(1, 8), (9, 4), (11, 4)], [False, True, True, False], 92, False, [False, False, False, True], 2116, 'East', (12, 1))
Element 5: (2, (12, 1), ['', '%', '%', '.'], [(1, 9), (9, 5), (12, 4)], [False, True, True, False], 90, False, [False, False, False, True], 2155, 'East', (13, 1))
Element 6: (2, (13, 1), ['', '%', '.', '.'], [(1, 8), (10, 5), (13, 4)], [False, True, False, False], 88, False, [False, False, True, True], 2184, 'East', (14, 1))
Element 7: (2, (14, 1), ['', '%', '%', '%'], [(1, 7), (11, 5), (14, 4)], [False, True, True, True], 86, False, [False, False, False, False], 2213, 'West', (13, 1))
Element 8: (2, (13, 1), ['', '%', '.', ''], [(1, 6), (12, 5), (15, 4)], [False, True, False, False], 84, False, [False, False, True, False], 2232, 'North', (13, 2))
Element 9: (2, (13, 2), ['%', '', '.', '%'], [(1, 5), (13, 5), (15, 5)], [True, False, False, True], 82, False, [False, False, True, False], 2261, 'North', (13, 3))
Element 10: (2, (13, 3), ['.', '', '', '.'], [(1, 4), (14, 5), (15, 6)], [False, False, False, False], 80, False, [True, False, False, True], 2290, 'East', (14, 3))
Element 11: (2, (14, 3), ['', '%', '', '.'], [(1, 3), (14, 6), (15, 7)], [False, True, False, False], 78, False, [False, False, False, True], 2329, 'East', (15, 3))
Element 12: (2, (15, 3), ['', '.', '', '%'], [(1, 2), (14, 7), (15, 8)], [False, False, False, True], 76, False, [False, True, False, False], 2368, 'South', (15, 2))
Element 13: (2, (15, 2), ['%', '%', '', '%'], [(1, 1), (14, 8), (15, 9)], [True, True, False, True], 74, False, [False, False, False, False], 2407, 'North', (15, 3))
Element 14: (2, (15, 3), ['', '', '', '%'], [(2, 1), (13, 8), (14, 9)], [False, False, False, True], 72, False, [False, False, False, False], 2436, 'North', (15, 4))
Element 15: (2, (15, 4), ['', '', '', '%'], [(3, 1), (13, 7), (13, 9)], [False, False, False, True], 70, False, [False, False, False, False], 2465, 'North', (15, 5))
Element 16: (2, (15, 5), ['', '', '', '%'], [(4, 1), (13, 6), (12, 9)], [False, False, False, True], 68, False, [False, False, False, False], 2494, 'North', (15, 6))
Element 17: (2, (15, 6), ['', '', '', '%'], [(4, 2), (12, 6), (11, 9)], [False, False, False, True], 66, False, [False, False, False, False], 3513, 'North', (15, 7))
Element 18: (2, (15, 7), ['', '', '', '%'], [(4, 3), (12, 7), (11, 8)], [False, False, False, True], 64, False, [False, False, False, False], 4532, 'North', (15, 8))
Element 19: (2, (15, 8), ['', '', '', '%'], [(5, 3), (12, 8), (10, 8)], [False, False, False, True], 62, False, [False, False, False, False], 5551, 'North', (15, 9))
Element 20: #1#
