Element 1: (2, (3, 4), ['%', '.', '.', '.'], [(12, 1), (1, 6), (13, 8)], [True, False, False, False], 98, False, [False, True, True, True], 19, 'East', (4, 4))
Element 2: (2, (4, 4), ['', '.', '.', '.'], [(13, 1), (1, 7), (14, 8)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (5, 4))
Element 3: (2, (5, 4), ['', '.', '.', '.'], [(14, 1), (1, 8), (15, 8)], [False, False, False, False], 94, False, [False, True, True, True], 97, 'East', (6, 4))
Element 4: (2, (6, 4), ['', '.', '.', '.'], [(13, 1), (1, 9), (15, 9)], [False, False, False, False], 92, False, [False, True, True, True], 126, 'East', (7, 4))
Element 5: (2, (7, 4), ['', '.', '.', '.'], [(13, 2), (1, 8), (14, 9)], [False, False, False, False], 90, False, [False, True, True, True], 155, 'East', (8, 4))
Element 6: (2, (8, 4), ['', '.', '.', '.'], [(13, 3), (1, 7), (13, 9)], [False, False, False, False], 88, False, [False, True, True, True], 184, 'East', (9, 4))
Element 7: (2, (9, 4), ['', '.', '.', 'F'], [(14, 3), (1, 6), (12, 9)], [False, False, False, False], 86, False, [False, True, True, False], 213, 'East', (10, 4))
Element 8: (2, (10, 4), ['', '.', '.', 'F'], [(15, 3), (1, 5), (11, 9)], [False, False, False, False], 84, False, [False, True, True, False], 2222, 'East', (11, 4))
Element 9: (2, (11, 4), ['', '.', '.', '.'], [(15, 4), (1, 4), (11, 8)], [False, False, False, False], 82, False, [False, True, True, True], 4241, 'East', (12, 4))
Element 10: (2, (12, 4), ['', '.', '.', '.'], [(15, 5), (1, 3), (10, 8)], [False, False, False, False], 80, False, [False, True, True, True], 5270, 'East', (13, 4))
Element 11: #1#
