Element 1: (1, (1, 7), ['%', '.', '.', '%'], [(13, 7), (4, 1), (12, 9)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (1, 8))
Element 2: (1, (1, 8), ['%', '', '.', '%'], [(14, 7), (4, 2), (11, 9)], [True, False, False, True], 96, False, [False, False, True, False], 1038, 'North', (1, 9))
Element 3: (1, (1, 9), ['%', '', '%', '%'], [(15, 7), (4, 3), (11, 8)], [True, False, True, True], 94, False, [False, False, False, False], 2067, 'South', (1, 8))
Element 4: (1, (1, 8), ['%', '', '', '%'], [(15, 8), (5, 3), (10, 8)], [True, False, False, True], 92, False, [False, False, False, False], 3086, 'South', (1, 7))
Element 5: (1, (1, 7), ['%', '.', '', '%'], [(15, 9), (6, 3), (10, 9)], [True, False, False, True], 90, False, [False, True, False, False], 4105, 'South', (1, 6))
Element 6: (1, (1, 6), ['%', '.', '', '%'], [(14, 9), (7, 3), (9, 9)], [True, False, False, True], 88, False, [False, True, False, False], 4144, 'South', (1, 5))
Element 7: (1, (1, 5), ['%', '.', '', '%'], [(14, 8), (8, 3), (9, 8)], [True, False, False, True], 86, False, [False, True, False, False], 4183, 'South', (1, 4))
Element 8: (1, (1, 4), ['%', '.', '', '%'], [(13, 8), (9, 3), (9, 7)], [True, False, False, True], 84, False, [False, True, False, False], 4222, 'South', (1, 3))
Element 9: (1, (1, 3), ['%', '.', '', '%'], [(13, 9), (10, 3), (10, 7)], [True, False, False, True], 82, False, [False, True, False, False], 4261, 'South', (1, 2))
Element 10: (1, (1, 2), ['%', '.', '', '%'], [(12, 9), (10, 4), (11, 7)], [True, False, False, True], 80, False, [False, True, False, False], 5280, 'South', (1, 1))
Element 11: #1#
