Element 1: (2, (7, 3), ['', '.', '.', '.'], [(12, 6), (6, 4), (8, 2)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (8, 3))
Element 2: (2, (8, 3), ['', '', '.', '.'], [(13, 6), (7, 4), (9, 2)], [False, False, False, False], 96, False, [False, False, True, True], 58, 'East', (9, 3))
Element 3: (2, (9, 3), ['', '', '.', '.'], [(14, 6), (8, 4), (10, 2)], [False, False, False, False], 94, False, [False, False, True, True], 97, 'East', (10, 3))
Element 4: (2, (10, 3), ['', '', 'F', '.'], [(15, 6), (9, 4), (10, 1)], [False, False, False, False], 92, False, [False, False, False, True], 136, 'North', (10, 4))
Element 5: (2, (10, 4), ['', '', '.', 'F'], [(15, 7), (9, 5), (11, 1)], [False, False, False, False], 90, False, [False, False, True, False], 1165, 'East', (11, 4))
Element 6: (2, (11, 4), ['', '.', '.', '.'], [(15, 8), (10, 5), (12, 1)], [False, False, False, False], 88, False, [False, True, True, True], 2194, 'East', (12, 4))
Element 7: (2, (12, 4), ['', '.', '.', '.'], [(15, 9), (11, 5), (13, 1)], [False, False, False, False], 86, False, [False, True, True, True], 2233, 'East', (13, 4))
Element 8: (2, (13, 4), ['', '.', '.', '.'], [(14, 9), (12, 5), (14, 1)], [False, False, False, False], 84, False, [False, True, True, True], 2272, 'East', (14, 4))
Element 9: (2, (14, 4), ['', '.', '.', '.'], [(14, 8), (13, 5), (13, 1)], [False, False, False, False], 82, False, [False, True, True, True], 2301, 'East', (15, 4))
Element 10: (2, (15, 4), ['', '.', '.', '%'], [(14, 7), (14, 5), (13, 2)], [False, False, False, True], 80, False, [False, True, True, False], 2340, 'North', (15, 5))
Element 11: (2, (15, 5), ['', '', '', '%'], [(13, 7), (14, 6), (13, 3)], [False, False, False, True], 78, False, [False, False, False, False], 2369, 'North', (15, 6))
Element 12: (2, (15, 6), ['', '', '', '%'], [(13, 8), (14, 7), (14, 3)], [False, False, False, True], 76, False, [False, False, False, False], 2388, 'North', (15, 7))
Element 13: (2, (15, 7), ['', '', '', '%'], [(13, 9), (14, 8), (15, 3)], [False, False, False, True], 74, False, [False, False, False, False], 2407, 'North', (15, 8))
Element 14: (2, (15, 8), ['', '', '', '%'], [(12, 9), (14, 9), (15, 2)], [False, False, False, True], 72, False, [False, False, False, False], 2426, 'North', (15, 9))
Element 15: (2, (15, 9), ['', '', '%', '%'], [(11, 9), (13, 9), (15, 3)], [False, False, True, True], 70, False, [False, False, False, False], 3425, 'West', (14, 9))
Element 16: (2, (14, 9), ['', '', '%', ''], [(11, 8), (13, 8), (15, 4)], [False, False, True, False], 68, False, [False, False, False, False], 4424, 'South', (14, 8))
Element 17: (2, (14, 8), ['', '', '', ''], [(10, 8), (12, 8), (15, 5)], [False, False, False, False], 66, False, [False, False, False, False], 5433, 'South', (14, 7))
Element 18: #1#
