Element 1: (1, (10, 3), ['.', '.', 'F', '.'], [(18, 1), (14, 5), (17, 1)], [False, False, False, False], 98, False, [True, True, False, True], -1, 'North', (10, 4))
Element 2: (1, (10, 4), ['.', '', '.', 'F'], [(17, 1), (15, 5), (16, 1)], [False, False, False, False], 96, False, [True, False, True, False], 1018, 'East', (11, 4))
Element 3: (1, (11, 4), ['', '.', '.', '.'], [(18, 1), (15, 6), (16, 1)], [False, False, False, False], 94, False, [False, True, True, True], 2027, 'East', (12, 4))
Element 4: (1, (12, 4), ['', '.', '.', '.'], [(18, 1), (15, 7), (16, 1)], [False, False, False, False], 92, False, [False, True, True, True], 2046, 'East', (13, 4))
Element 5: (1, (13, 4), ['', '.', '.', '.'], [(18, 1), (15, 8), (17, 1)], [False, False, False, False], 90, False, [False, True, True, True], 2065, 'East', (14, 4))
Element 6: (1, (14, 4), ['', '.', '', '.'], [(17, 1), (15, 9), (16, 1)], [False, False, False, False], 88, False, [False, True, False, True], 2084, 'East', (15, 4))
Element 7: (1, (15, 4), ['', '.', '', '%'], [(18, 1), (14, 9), (16, 1)], [False, False, False, True], 86, False, [False, True, False, False], 2103, 'South', (15, 3))
Element 8: (1, (15, 3), ['.', '.', '', '%'], [(18, 1), (14, 8), (17, 1)], [False, False, False, True], 84, False, [True, True, False, False], 2122, 'South', (15, 2))
Element 9: (1, (15, 2), ['%', '%', '', '%'], [(17, 1), (14, 7), (16, 1)], [True, True, False, True], 82, False, [False, False, False, False], 2141, 'North', (15, 3))
Element 10: (1, (15, 3), ['.', '', '', '%'], [(18, 1), (14, 6), (16, 1)], [False, False, False, True], 80, False, [True, False, False, False], 2150, 'West', (14, 3))
Element 11: (1, (14, 3), ['.', '%', '', ''], [(18, 1), (13, 6), (17, 1)], [False, True, False, False], 78, False, [True, False, False, False], 2169, 'West', (13, 3))
Element 12: (1, (13, 3), ['.', '.', '', ''], [(17, 1), (13, 7), (16, 1)], [False, False, False, False], 76, False, [True, True, False, False], 2188, 'South', (13, 2))
Element 13: (1, (13, 2), ['%', '.', '', '%'], [(18, 1), (13, 8), (16, 1)], [True, False, False, True], 74, False, [False, True, False, False], 2207, 'South', (13, 1))
Element 14: (1, (13, 1), ['.', '%', '', '.'], [(18, 1), (13, 9), (17, 1)], [False, True, False, False], 72, False, [True, False, False, True], 2226, 'East', (14, 1))
Element 15: (1, (14, 1), ['', '%', '%', '%'], [(17, 1), (12, 9), (16, 1)], [False, True, True, True], 70, False, [False, False, False, False], 2245, 'West', (13, 1))
Element 16: (1, (13, 1), ['.', '%', '', ''], [(18, 1), (11, 9), (16, 1)], [False, True, False, False], 68, False, [True, False, False, False], 3244, 'West', (12, 1))
Element 17: (1, (12, 1), ['.', '%', '%', ''], [(18, 1), (11, 8), (17, 1)], [False, True, True, False], 66, False, [True, False, False, False], 4253, 'West', (11, 1))
Element 18: (1, (11, 1), ['.', '%', '%', ''], [(17, 1), (10, 8), (16, 1)], [False, True, True, False], 64, False, [True, False, False, False], 5262, 'West', (10, 1))
Element 19: #1#
