Element 1: (3, (15, 7), ['', '.', '.', '%'], [(11, 6), (6, 5), (14, 8)], [False, False, False, True], 98, False, [False, True, True, False], 29, 'North', (15, 8))
Element 2: (3, (15, 8), ['', '', '.', '%'], [(12, 6), (7, 5), (14, 9)], [False, False, False, True], 96, False, [False, False, True, False], 68, 'North', (15, 9))
Element 3: (3, (15, 9), ['', '', '%', '%'], [(13, 6), (8, 5), (13, 9)], [False, False, True, True], 94, False, [False, False, False, False], 107, 'West', (14, 9))
Element 4: (3, (14, 9), ['', '', '%', ''], [(14, 6), (9, 5), (13, 8)], [False, False, True, False], 92, False, [False, False, False, False], 136, 'South', (14, 8))
Element 5: (3, (14, 8), ['', '', '', ''], [(15, 6), (10, 5), (13, 7)], [False, False, False, False], 90, False, [False, False, False, False], 165, 'South', (14, 7))
Element 6: (3, (14, 7), ['', '', '', ''], [(15, 5), (10, 4), (12, 7)], [False, False, False, False], 88, False, [False, False, False, False], 1184, 'South', (14, 6))
Element 7: (3, (14, 6), ['', '.', '', ''], [(15, 4), (11, 4), (12, 8)], [False, False, False, False], 86, False, [False, True, False, False], 2203, 'South', (14, 5))
Element 8: (3, (14, 5), ['.', '.', '', ''], [(15, 3), (12, 4), (11, 8)], [False, False, False, False], 84, False, [True, True, False, False], 3232, 'South', (14, 4))
Element 9: (3, (14, 4), ['G', '.', '', ''], [(15, 2), (13, 4), (11, 9)], [False, False, False, False], 82, False, [False, True, False, False], 4261, 'South', (14, 3))
Element 10: (3, (14, 3), ['.', '%', '', 'G'], [(15, 3), (13, 5), (10, 9)], [False, True, False, False], 80, False, [True, False, False, False], 5280, 'West', (13, 3))
Element 11: #1#
