Element 1: (3, (14, 9), ['.', 'G', '%', '.'], [(13, 5), (14, 8), (15, 5)], [False, False, True, False], 98, False, [True, False, False, True], 29, 'East', (15, 9))
Element 2: (3, (15, 9), ['', 'G', '%', '%'], [(13, 6), (15, 8), (15, 6)], [False, False, True, True], 96, False, [False, False, False, False], 68, 'West', (14, 9))
Element 3: (3, (14, 9), ['.', '', '%', ''], [(14, 6), (15, 7), (15, 5)], [False, False, True, False], 94, False, [True, False, False, False], 87, 'West', (13, 9))
Element 4: (3, (13, 9), ['.', '', '%', ''], [(14, 7), (15, 6), (15, 4)], [False, False, True, False], 92, False, [True, False, False, False], 116, 'West', (12, 9))
Element 5: (3, (12, 9), ['F', '.', '%', ''], [(13, 7), (15, 5), (15, 3)], [False, False, True, False], 90, False, [False, True, False, False], 145, 'West', (11, 9))
Element 6: (3, (11, 9), ['F', 'F', '%', ''], [(12, 7), (15, 4), (15, 2)], [False, False, True, False], 88, False, [False, False, False, False], 1164, 'South', (11, 8))
Element 7: (3, (11, 8), ['F', '.', '', 'G'], [(12, 8), (14, 4), (15, 3)], [False, False, False, False], 86, False, [False, True, False, False], 2183, 'West', (10, 8))
Element 8: (3, (10, 8), ['.', '.', 'F', ''], [(13, 8), (14, 3), (15, 2)], [False, False, False, False], 84, False, [True, True, False, False], 3192, 'North', (10, 9))
Element 9: (3, (10, 9), ['.', '', '%', ''], [(14, 8), (13, 3), (15, 3)], [False, False, True, False], 82, False, [True, False, False, False], 4201, 'West', (9, 9))
Element 10: (3, (9, 9), ['.', '.', '%', ''], [(15, 8), (13, 4), (15, 4)], [False, False, True, False], 80, False, [True, True, False, False], 4220, 'South', (9, 8))
Element 11: (3, (9, 8), ['.', '.', '', ''], [(15, 9), (12, 4), (14, 4)], [False, False, False, False], 78, False, [True, True, False, False], 4239, 'South', (9, 7))
Element 12: (3, (9, 7), ['.', '.', '', '.'], [(14, 9), (11, 4), (14, 3)], [False, False, False, False], 76, False, [True, True, False, True], 5248, 'East', (10, 7))
Element 13: #1#
