Element 1: (2, (3, 9), ['%', '.', '%', '.'], [(6, 3), (1, 4), (10, 5)], [True, False, True, False], 98, False, [False, True, False, True], 19, 'East', (4, 9))
Element 2: (2, (4, 9), ['', '.', '%', '.'], [(7, 3), (1, 5), (10, 4)], [False, False, True, False], 96, False, [False, True, False, True], 1048, 'East', (5, 9))
Element 3: (2, (5, 9), ['', '.', '%', '.'], [(8, 3), (1, 6), (11, 4)], [False, False, True, False], 94, False, [False, True, False, True], 2077, 'East', (6, 9))
Element 4: (2, (6, 9), ['', '.', '%', '.'], [(9, 3), (1, 7), (12, 4)], [False, False, True, False], 92, False, [False, True, False, True], 2116, 'East', (7, 9))
Element 5: (2, (7, 9), ['', '.', '%', '.'], [(10, 3), (1, 8), (13, 4)], [False, False, True, False], 90, False, [False, True, False, True], 2155, 'East', (8, 9))
Element 6: (2, (8, 9), ['', '.', '%', '.'], [(11, 3), (1, 9), (14, 4)], [False, False, True, False], 88, False, [False, True, False, True], 2194, 'East', (9, 9))
Element 7: (2, (9, 9), ['', '.', '%', 'F'], [(12, 3), (1, 8), (15, 4)], [False, False, True, False], 86, False, [False, True, False, False], 2223, 'East', (10, 9))
Element 8: (2, (10, 9), ['', 'F', '%', 'F'], [(13, 3), (1, 7), (15, 5)], [False, False, True, False], 84, False, [False, False, False, False], 3242, 'East', (11, 9))
Element 9: (2, (11, 9), ['', 'F', '%', '.'], [(14, 3), (1, 6), (15, 6)], [False, False, True, False], 82, False, [False, False, False, True], 4261, 'South', (11, 8))
Element 10: (2, (11, 8), ['F', '.', '', '.'], [(15, 3), (1, 5), (15, 7)], [False, False, False, False], 80, False, [False, True, False, True], 5280, 'West', (10, 8))
Element 11: #1#
