Element 1: (0, (1, 9), ['%', '.', '%', '%'], [(4, 1), (6, 5), (10, 1)], [True, False, True, True], 98, False, [False, True, False, False], 0, 'South', (1, 8))
Element 2: (0, (1, 8), ['%', '.', '', '%'], [(4, 2), (7, 5), (11, 1)], [True, False, False, True], 96, False, [False, True, False, False], 39, 'South', (1, 7))
Element 3: (0, (1, 7), ['%', '.', '', '%'], [(4, 3), (8, 5), (12, 1)], [True, False, False, True], 94, False, [False, True, False, False], 78, 'South', (1, 6))
Element 4: (0, (1, 6), ['%', '.', '', '%'], [(5, 3), (9, 5), (13, 1)], [True, False, False, True], 92, False, [False, True, False, False], 117, 'South', (1, 5))
Element 5: (0, (1, 5), ['%', '.', '', '%'], [(6, 3), (10, 5), (14, 1)], [True, False, False, True], 90, False, [False, True, False, False], 156, 'South', (1, 4))
Element 6: (0, (1, 4), ['%', '.', '', '%'], [(7, 3), (10, 4), (13, 1)], [True, False, False, True], 88, False, [False, True, False, False], 1175, 'South', (1, 3))
Element 7: (0, (1, 3), ['%', '.', '', '%'], [(8, 3), (11, 4), (13, 2)], [True, False, False, True], 86, False, [False, True, False, False], 2204, 'South', (1, 2))
Element 8: (0, (1, 2), ['%', '.', '', '%'], [(9, 3), (12, 4), (13, 3)], [True, False, False, True], 84, False, [False, True, False, False], 2243, 'South', (1, 1))
Element 9: (0, (1, 1), ['%', '%', '', '.'], [(10, 3), (13, 4), (14, 3)], [True, True, False, False], 82, False, [False, False, False, True], 2282, 'East', (2, 1))
Element 10: (0, (2, 1), ['', '%', '%', '.'], [(11, 3), (14, 4), (15, 3)], [False, True, True, False], 80, False, [False, False, False, True], 2321, 'East', (3, 1))
Element 11: (0, (3, 1), ['', '%', '%', ''], [(12, 3), (15, 4), (15, 2)], [False, True, True, False], 78, False, [False, False, False, False], 2360, 'East', (4, 1))
Element 12: (0, (4, 1), ['', '%', '', '%'], [(13, 3), (15, 5), (15, 3)], [False, True, False, True], 76, False, [False, False, False, False], 2369, 'North', (4, 2))
Element 13: (0, (4, 2), ['%', '', '', '%'], [(14, 3), (15, 6), (15, 2)], [True, False, False, True], 74, False, [False, False, False, False], 2378, 'North', (4, 3))
Element 14: (0, (4, 3), ['.', '', '.', ''], [(15, 3), (15, 7), (15, 3)], [False, False, False, False], 72, False, [True, False, True, False], 2387, 'North', (4, 4))
Element 15: (0, (4, 4), ['.', '', '.', '.'], [(15, 4), (15, 8), (14, 3)], [False, False, False, False], 70, False, [True, False, True, True], 2406, 'East', (5, 4))
Element 16: (0, (5, 4), ['', '', '.', '.'], [(15, 5), (15, 9), (13, 3)], [False, False, False, False], 68, False, [False, False, True, True], 2425, 'East', (6, 4))
Element 17: (0, (6, 4), ['', '', '', '.'], [(14, 5), (14, 9), (13, 2)], [False, False, False, False], 66, False, [False, False, False, True], 2454, 'East', (7, 4))
Element 18: (0, (7, 4), ['', '', '', '.'], [(14, 6), (14, 8), (13, 1)], [False, False, False, False], 64, False, [False, False, False, True], 2483, 'East', (8, 4))
Element 19: (0, (8, 4), ['', '', '', '.'], [(14, 7), (13, 8), (12, 1)], [False, False, False, False], 62, False, [False, False, False, True], 2512, 'East', (9, 4))
Element 20: (0, (9, 4), ['', '', '', ''], [(13, 7), (13, 9), (11, 1)], [False, False, False, False], 60, False, [False, False, False, False], 2541, 'East', (10, 4))
Element 21: (0, (10, 4), ['', '', '', ''], [(13, 6), (12, 9), (10, 1)], [False, False, False, False], 58, False, [False, False, False, False], 2560, 'East', (11, 4))
Element 22: (0, (11, 4), ['', '', '.', ''], [(13, 5), (11, 9), (10, 2)], [False, False, False, False], 56, False, [False, False, True, False], 3579, 'North', (11, 5))
Element 23: (0, (11, 5), ['', '', '.', 'G'], [(12, 5), (11, 8), (9, 2)], [False, False, False, False], 54, False, [False, False, True, False], 4608, 'North', (11, 6))
Element 24: (0, (11, 6), ['.', '', '.', 'G'], [(12, 6), (10, 8), (9, 1)], [False, False, False, False], 52, False, [True, False, True, False], 5637, 'North', (11, 7))
Element 25: #1#
