Element 1: (3, (15, 4), ['G', '.', '.', '%'], [(7, 3), (8, 4), (14, 4)], [False, False, False, True], 98, False, [False, True, True, False], 29, 'North', (15, 5))
Element 2: (3, (15, 5), ['G', '', '.', '%'], [(8, 3), (9, 4), (14, 5)], [False, False, False, True], 96, False, [False, False, True, False], 68, 'North', (15, 6))
Element 3: (3, (15, 6), ['G', '', '.', '%'], [(9, 3), (10, 4), (14, 6)], [False, False, False, True], 94, False, [False, False, True, False], 1097, 'North', (15, 7))
Element 4: (3, (15, 7), ['G', '', '.', '%'], [(10, 3), (11, 4), (14, 7)], [False, False, False, True], 92, False, [False, False, True, False], 2126, 'North', (15, 8))
Element 5: (3, (15, 8), ['G', '', '.', '%'], [(11, 3), (12, 4), (14, 8)], [False, False, False, True], 90, False, [False, False, True, False], 2165, 'North', (15, 9))
Element 6: (3, (15, 9), ['G', '', '%', '%'], [(12, 3), (12, 5), (14, 9)], [False, False, True, True], 88, False, [False, False, False, False], 2204, 'South', (15, 8))
Element 7: (3, (15, 8), ['', '', '', '%'], [(13, 3), (13, 5), (13, 9)], [False, False, False, True], 86, False, [False, False, False, False], 2233, 'South', (15, 7))
Element 8: (3, (15, 7), ['', '', '', '%'], [(14, 3), (13, 6), (13, 8)], [False, False, False, True], 84, False, [False, False, False, False], 2262, 'South', (15, 6))
Element 9: (3, (15, 6), ['', '', '', '%'], [(15, 3), (13, 7), (12, 8)], [False, False, False, True], 82, False, [False, False, False, False], 2291, 'South', (15, 5))
Element 10: (3, (15, 5), ['', '', '', '%'], [(15, 2), (12, 7), (11, 8)], [False, False, False, True], 80, False, [False, False, False, False], 3310, 'South', (15, 4))
Element 11: (3, (15, 4), ['', 'G', '', '%'], [(15, 3), (12, 6), (11, 9)], [False, False, False, True], 78, False, [False, False, False, False], 4319, 'West', (14, 4))
Element 12: (3, (14, 4), ['', '', '', 'G'], [(15, 4), (11, 6), (10, 9)], [False, False, False, False], 76, False, [False, False, False, False], 5328, 'North', (14, 5))
Element 13: #1#
