Element 1: (1, (7, 3), ['.', '.', 'G', '.'], [(2, 1), (7, 4), (14, 8)], [False, False, False, False], 98, False, [True, True, False, True], 9, 'East', (8, 3))
Element 2: (1, (8, 3), ['', '.', 'G', '.'], [(3, 1), (8, 4), (15, 8)], [False, False, False, False], 96, False, [False, True, False, True], 48, 'East', (9, 3))
Element 3: (1, (9, 3), ['', '.', 'G', '.'], [(4, 1), (9, 4), (15, 9)], [False, False, False, False], 94, False, [False, True, False, True], 87, 'East', (10, 3))
Element 4: (1, (10, 3), ['', '.', 'G', '.'], [(4, 2), (10, 4), (14, 9)], [False, False, False, False], 92, False, [False, True, False, True], 1116, 'East', (11, 3))
Element 5: (1, (11, 3), ['', '%', 'G', '.'], [(4, 3), (11, 4), (13, 9)], [False, True, False, False], 90, False, [False, False, False, True], 2145, 'East', (12, 3))
Element 6: (1, (12, 3), ['', '%', 'G', '.'], [(5, 3), (12, 4), (13, 8)], [False, True, False, False], 88, False, [False, False, False, True], 2184, 'East', (13, 3))
Element 7: (1, (13, 3), ['', '.', 'G', '.'], [(6, 3), (13, 4), (13, 7)], [False, False, False, False], 86, False, [False, True, False, True], 2223, 'East', (14, 3))
Element 8: (1, (14, 3), ['', '%', 'G', '.'], [(6, 4), (14, 4), (14, 7)], [False, True, False, False], 84, False, [False, False, False, True], 2262, 'East', (15, 3))
Element 9: (1, (15, 3), ['', '.', 'G', '%'], [(6, 5), (15, 4), (15, 7)], [False, False, False, True], 82, False, [False, True, False, False], 2301, 'South', (15, 2))
Element 10: (1, (15, 2), ['%', '%', '', '%'], [(7, 5), (15, 5), (15, 6)], [True, True, False, True], 80, False, [False, False, False, False], 2340, 'North', (15, 3))
Element 11: (1, (15, 3), ['', '', '', '%'], [(8, 5), (14, 5), (14, 6)], [False, False, False, True], 78, False, [False, False, False, False], 2369, 'West', (14, 3))
Element 12: (1, (14, 3), ['', '%', '', ''], [(9, 5), (13, 5), (13, 6)], [False, True, False, False], 76, False, [False, False, False, False], 2398, 'West', (13, 3))
Element 13: (1, (13, 3), ['', '.', '', ''], [(10, 5), (12, 5), (12, 6)], [False, False, False, False], 74, False, [False, True, False, False], 2427, 'South', (13, 2))
Element 14: (1, (13, 2), ['%', '.', '', '%'], [(10, 6), (11, 5), (12, 7)], [True, False, False, True], 72, False, [False, True, False, False], 2466, 'South', (13, 1))
Element 15: (1, (13, 1), ['.', '%', '', '.'], [(10, 7), (11, 6), (12, 8)], [False, True, False, False], 70, False, [True, False, False, True], 2505, 'East', (14, 1))
Element 16: (1, (14, 1), ['', '%', '%', '%'], [(10, 8), (11, 7), (11, 8)], [False, True, True, True], 68, False, [False, False, False, False], 4524, 'West', (13, 1))
Element 17: #1#
