Element 1: (3, (14, 3), ['', '%', '.', '.'], [(15, 5), (13, 4), (14, 5)], [False, True, False, False], 98, False, [False, False, True, True], 29, 'East', (15, 3))
Element 2: (3, (15, 3), ['', '.', '', '%'], [(15, 6), (14, 4), (14, 6)], [False, False, False, True], 96, False, [False, True, False, False], 68, 'South', (15, 2))
Element 3: (3, (15, 2), ['%', '%', '', '%'], [(15, 7), (15, 4), (14, 7)], [True, True, False, True], 94, False, [False, False, False, False], 97, 'North', (15, 3))
Element 4: (3, (15, 3), ['', '', '', '%'], [(15, 8), (15, 5), (14, 8)], [False, False, False, True], 92, False, [False, False, False, False], 116, 'North', (15, 4))
Element 5: (3, (15, 4), ['', '', '', '%'], [(15, 9), (15, 6), (14, 9)], [False, False, False, True], 90, False, [False, False, False, False], 135, 'North', (15, 5))
Element 6: (3, (15, 5), ['', '', '', '%'], [(15, 8), (15, 7), (13, 9)], [False, False, False, True], 88, False, [False, False, False, False], 144, 'North', (15, 6))
Element 7: (3, (15, 6), ['', '', '', '%'], [(14, 8), (15, 8), (13, 8)], [False, False, False, True], 86, False, [False, False, False, False], 153, 'North', (15, 7))
Element 8: (3, (15, 7), ['', '', '', '%'], [(14, 9), (15, 9), (13, 7)], [False, False, False, True], 84, False, [False, False, False, False], 162, 'North', (15, 8))
Element 9: (3, (15, 8), ['', '', '', '%'], [(13, 9), (14, 9), (13, 6)], [False, False, False, True], 82, False, [False, False, False, False], 171, 'North', (15, 9))
Element 10: (3, (15, 9), ['', '', '%', '%'], [(12, 9), (14, 8), (12, 6)], [False, False, True, True], 80, False, [False, False, False, False], 190, 'West', (14, 9))
Element 11: (3, (14, 9), ['', '', '%', ''], [(11, 9), (14, 7), (12, 7)], [False, False, True, False], 78, False, [False, False, False, False], 1199, 'South', (14, 8))
Element 12: (3, (14, 8), ['', '', '', ''], [(11, 8), (14, 6), (12, 8)], [False, False, False, False], 76, False, [False, False, False, False], 2208, 'South', (14, 7))
Element 13: (3, (14, 7), ['', '', '', ''], [(10, 8), (14, 5), (12, 9)], [False, False, False, False], 74, False, [False, False, False, False], 3207, 'South', (14, 6))
Element 14: (3, (14, 6), ['', '', '', ''], [(10, 9), (13, 5), (11, 9)], [False, False, False, False], 72, False, [False, False, False, False], 4206, 'South', (14, 5))
Element 15: (3, (14, 5), ['', '', '', ''], [(9, 9), (12, 5), (11, 8)], [False, False, False, False], 70, False, [False, False, False, False], 4225, 'South', (14, 4))
Element 16: (3, (14, 4), ['', '', '', ''], [(9, 8), (12, 4), (11, 7)], [False, False, False, False], 68, False, [False, False, False, False], 4254, 'West', (13, 4))
Element 17: (3, (13, 4), ['', '', '', ''], [(9, 7), (11, 4), (11, 6)], [False, False, False, False], 66, False, [False, False, False, False], 5273, 'North', (13, 5))
Element 18: #1#
