Element 1: (2, (9, 8), ['.', '.', 'G', 'F'], [(9, 9), (1, 6), (13, 8)], [False, False, False, False], 98, False, [True, True, False, False], 19, 'East', (10, 8))
Element 2: (2, (10, 8), ['', '.', 'G', 'F'], [(10, 9), (1, 7), (14, 8)], [False, False, False, False], 96, False, [False, True, False, False], 2038, 'East', (11, 8))
Element 3: (2, (11, 8), ['', '.', 'G', '.'], [(11, 9), (1, 8), (15, 8)], [False, False, False, False], 94, False, [False, True, False, True], 4057, 'East', (12, 8))
Element 4: (2, (12, 8), ['', '.', 'G', ''], [(12, 9), (1, 9), (15, 9)], [False, False, False, False], 92, False, [False, True, False, False], 4096, 'South', (12, 7))
Element 5: (2, (12, 7), ['.', '.', '', '.'], [(13, 9), (1, 8), (14, 9)], [False, False, False, False], 90, False, [True, True, False, True], 4125, 'East', (13, 7))
Element 6: (2, (13, 7), ['', '.', '', '.'], [(14, 9), (1, 7), (15, 9)], [False, False, False, False], 88, False, [False, True, False, True], 4134, 'East', (14, 7))
Element 7: (2, (14, 7), ['', '.', '', '.'], [(15, 9), (1, 6), (15, 8)], [False, False, False, False], 86, False, [False, True, False, True], 4143, 'East', (15, 7))
Element 8: (2, (15, 7), ['', '.', 'G', '%'], [(15, 8), (1, 5), (14, 8)], [False, False, False, True], 84, False, [False, True, False, False], 4152, 'South', (15, 6))
Element 9: (2, (15, 6), ['.', '.', 'G', '%'], [(15, 7), (1, 4), (13, 8)], [False, False, False, True], 82, False, [True, True, False, False], 4171, 'South', (15, 5))
Element 10: (2, (15, 5), ['.', '.', 'G', '%'], [(15, 6), (1, 3), (14, 8)], [False, False, False, True], 80, False, [True, True, False, False], 4190, 'South', (15, 4))
Element 11: (2, (15, 4), ['.', '.', '', '%'], [(14, 6), (1, 2), (14, 9)], [False, False, False, True], 78, False, [True, True, False, False], 4219, 'South', (15, 3))
Element 12: (2, (15, 3), ['.', '.', '', '%'], [(14, 5), (1, 1), (14, 8)], [False, False, False, True], 76, False, [True, True, False, False], 4248, 'South', (15, 2))
Element 13: (2, (15, 2), ['%', '%', '', '%'], [(14, 4), (2, 1), (14, 7)], [True, True, False, True], 74, False, [False, False, False, False], 4277, 'North', (15, 3))
Element 14: (2, (15, 3), ['G', '', '', '%'], [(14, 3), (3, 1), (15, 7)], [False, False, False, True], 72, False, [False, False, False, False], 4296, 'South', (15, 2))
Element 15: (2, (15, 2), ['%', '%', '', '%'], [(13, 3), (4, 1), (15, 6)], [True, True, False, True], 70, False, [False, False, False, False], 4315, 'North', (15, 3))
Element 16: (2, (15, 3), ['', '', '', '%'], [(13, 4), (4, 2), (15, 5)], [False, False, False, True], 68, False, [False, False, False, False], 4334, 'North', (15, 4))
Element 17: (2, (15, 4), ['', '', '', '%'], [(13, 5), (4, 3), (14, 5)], [False, False, False, True], 66, False, [False, False, False, False], 4353, 'West', (14, 4))
Element 18: (2, (14, 4), ['', '', '', ''], [(13, 6), (5, 3), (14, 6)], [False, False, False, False], 64, False, [False, False, False, False], 4372, 'North', (14, 5))
Element 19: (2, (14, 5), ['', '', '', ''], [(12, 6), (6, 3), (14, 7)], [False, False, False, False], 62, False, [False, False, False, False], 4391, 'North', (14, 6))
Element 20: (2, (14, 6), ['', '', '', ''], [(12, 5), (7, 3), (14, 6)], [False, False, False, False], 60, False, [False, False, False, False], 4410, 'West', (13, 6))
Element 21: (2, (13, 6), ['', '', '', ''], [(12, 4), (8, 3), (15, 6)], [False, False, False, False], 58, False, [False, False, False, False], 4429, 'South', (13, 5))
Element 22: (2, (13, 5), ['', '', '', ''], [(11, 4), (9, 3), (14, 6)], [False, False, False, False], 56, False, [False, False, False, False], 5438, 'South', (13, 4))
Element 23: #1#
