Element 1: (0, (9, 9), ['.', '.', '%', 'F'], [(4, 7), (5, 7), (13, 3)], [False, False, True, False], 98, False, [True, True, False, False], 0, 'East', (10, 9))
Element 2: (0, (10, 9), ['', 'F', '%', 'F'], [(4, 8), (6, 7), (14, 3)], [False, False, True, False], 96, False, [False, False, False, False], 1029, 'East', (11, 9))
Element 3: (0, (11, 9), ['', 'F', '%', '.'], [(5, 8), (7, 7), (15, 3)], [False, False, True, False], 94, False, [False, False, False, True], 2058, 'South', (11, 8))
Element 4: (0, (11, 8), ['F', '.', '', '.'], [(6, 8), (8, 7), (15, 4)], [False, False, False, False], 92, False, [False, True, False, True], 3087, 'West', (10, 8))
Element 5: (0, (10, 8), ['.', '.', '', ''], [(7, 8), (9, 7), (15, 5)], [False, False, False, False], 90, False, [True, True, False, False], 4116, 'South', (10, 7))
Element 6: (0, (10, 7), ['', '.', '', '.'], [(8, 8), (9, 8), (15, 6)], [False, False, False, False], 88, False, [False, True, False, True], 4155, 'East', (11, 7))
Element 7: (0, (11, 7), ['', '.', '', '.'], [(8, 9), (10, 8), (15, 7)], [False, False, False, False], 86, False, [False, True, False, True], 4184, 'East', (12, 7))
Element 8: (0, (12, 7), ['', '.', '.', '.'], [(7, 9), (11, 8), (15, 8)], [False, False, False, False], 84, False, [False, True, True, True], 4213, 'East', (13, 7))
Element 9: (0, (13, 7), ['', '.', '.', '.'], [(6, 9), (12, 8), (15, 9)], [False, False, False, False], 82, False, [False, True, True, True], 4252, 'East', (14, 7))
Element 10: (0, (14, 7), ['', '.', '.', ''], [(5, 9), (13, 8), (14, 9)], [False, False, False, False], 80, False, [False, True, True, False], 4291, 'North', (14, 8))
Element 11: (0, (14, 8), ['', '', '', ''], [(4, 9), (13, 9), (15, 9)], [False, False, False, False], 78, False, [False, False, False, False], 4320, 'East', (15, 8))
Element 12: (0, (15, 8), ['', '', '', '%'], [(3, 9), (12, 9), (14, 9)], [False, False, False, True], 76, False, [False, False, False, False], 4339, 'North', (15, 9))
Element 13: (0, (15, 9), ['', '', '%', '%'], [(3, 8), (11, 9), (14, 8)], [False, False, True, True], 74, False, [False, False, False, False], 4348, 'West', (14, 9))
Element 14: (0, (14, 9), ['', '', '%', ''], [(3, 7), (10, 9), (14, 7)], [False, False, True, False], 72, False, [False, False, False, False], 4357, 'West', (13, 9))
Element 15: (0, (13, 9), ['', '', '%', ''], [(3, 6), (9, 9), (14, 6)], [False, False, True, False], 70, False, [False, False, False, False], 4376, 'South', (13, 8))
Element 16: (0, (13, 8), ['', '', '', ''], [(4, 6), (8, 9), (14, 5)], [False, False, False, False], 68, False, [False, False, False, False], 4395, 'West', (12, 8))
Element 17: (0, (12, 8), ['', '', '', ''], [(5, 6), (8, 8), (14, 4)], [False, False, False, False], 66, False, [False, False, False, False], 4414, 'North', (12, 9))
Element 18: (0, (12, 9), ['', '', '%', ''], [(6, 6), (7, 8), (13, 4)], [False, False, True, False], 64, False, [False, False, False, False], 4433, 'South', (12, 8))
Element 19: (0, (12, 8), ['', '', '', ''], [(7, 6), (7, 9), (13, 5)], [False, False, False, False], 62, False, [False, False, False, False], 4452, 'East', (13, 8))
Element 20: (0, (13, 8), ['', '', '', ''], [(8, 6), (6, 9), (13, 6)], [False, False, False, False], 60, False, [False, False, False, False], 4471, 'North', (13, 9))
Element 21: (0, (13, 9), ['', '', '%', ''], [(9, 6), (6, 8), (12, 6)], [False, False, True, False], 58, False, [False, False, False, False], 4490, 'West', (12, 9))
Element 22: (0, (12, 9), ['', '', '%', ''], [(10, 6), (5, 8), (12, 5)], [False, False, True, False], 56, False, [False, False, False, False], 4509, 'East', (13, 9))
Element 23: (0, (13, 9), ['', '', '%', ''], [(11, 6), (5, 9), (12, 4)], [False, False, True, False], 54, False, [False, False, False, False], 4528, 'East', (14, 9))
Element 24: (0, (14, 9), ['', '', '%', ''], [(11, 5), (4, 9), (11, 4)], [False, False, True, False], 52, False, [False, False, False, False], 5537, 'East', (15, 9))
Element 25: #1#
