Element 1: (1, (1, 1), ['%', '%', '.', '.'], [(7, 3), (3, 3), (8, 6)], [True, True, False, False], 98, False, [False, False, True, True], 9, 'East', (2, 1))
Element 2: (1, (2, 1), ['', '%', '%', '.'], [(8, 3), (4, 3), (9, 6)], [False, True, True, False], 96, False, [False, False, False, True], 48, 'East', (3, 1))
Element 3: (1, (3, 1), ['', '%', '%', '.'], [(9, 3), (5, 3), (10, 6)], [False, True, True, False], 94, False, [False, False, False, True], 87, 'East', (4, 1))
Element 4: (1, (4, 1), ['', '%', '.', '%'], [(10, 3), (5, 4), (11, 6)], [False, True, False, True], 92, False, [False, False, True, False], 126, 'North', (4, 2))
Element 5: (1, (4, 2), ['%', '', '', '%'], [(10, 4), (6, 4), (12, 6)], [True, False, False, True], 90, False, [False, False, False, False], 1155, 'North', (4, 3))
Element 6: (1, (4, 3), ['', '', '.', ''], [(11, 4), (7, 4), (13, 6)], [False, False, False, False], 88, False, [False, False, True, False], 2174, 'North', (4, 4))
Element 7: (1, (4, 4), ['.', '', '.', ''], [(12, 4), (8, 4), (14, 6)], [False, False, False, False], 86, False, [True, False, True, False], 2213, 'North', (4, 5))
Element 8: (1, (4, 5), ['.', '', '.', '.'], [(13, 4), (9, 4), (15, 6)], [False, False, False, False], 84, False, [True, False, True, True], 2252, 'East', (5, 5))
Element 9: (1, (5, 5), ['', '', '.', '.'], [(14, 4), (9, 5), (15, 7)], [False, False, False, False], 82, False, [False, False, True, True], 2291, 'East', (6, 5))
Element 10: (1, (6, 5), ['', '', '.', '.'], [(15, 4), (10, 5), (15, 8)], [False, False, False, False], 80, False, [False, False, True, True], 2330, 'East', (7, 5))
Element 11: (1, (7, 5), ['', '', '.', '.'], [(15, 5), (11, 5), (15, 9)], [False, False, False, False], 78, False, [False, False, True, True], 2369, 'East', (8, 5))
Element 12: (1, (8, 5), ['', '', '', ''], [(14, 5), (12, 5), (14, 9)], [False, False, False, False], 76, False, [False, False, False, False], 2408, 'East', (9, 5))
Element 13: (1, (9, 5), ['', '', '', ''], [(14, 6), (13, 5), (14, 8)], [False, False, False, False], 74, False, [False, False, False, False], 2427, 'East', (10, 5))
Element 14: (1, (10, 5), ['', '', '', ''], [(15, 6), (14, 5), (14, 7)], [False, False, False, False], 72, False, [False, False, False, False], 2436, 'East', (11, 5))
Element 15: (1, (11, 5), ['', '', '', ''], [(15, 7), (15, 5), (13, 7)], [False, False, False, False], 70, False, [False, False, False, False], 2445, 'East', (12, 5))
Element 16: (1, (12, 5), ['', '', '', ''], [(15, 8), (15, 6), (13, 8)], [False, False, False, False], 68, False, [False, False, False, False], 2454, 'East', (13, 5))
Element 17: (1, (13, 5), ['', '', '', ''], [(15, 9), (15, 7), (13, 9)], [False, False, False, False], 66, False, [False, False, False, False], 2463, 'East', (14, 5))
Element 18: (1, (14, 5), ['', '', '', ''], [(14, 9), (15, 8), (12, 9)], [False, False, False, False], 64, False, [False, False, False, False], 2472, 'East', (15, 5))
Element 19: (1, (15, 5), ['', '', '', '%'], [(14, 8), (15, 9), (11, 9)], [False, False, False, True], 62, False, [False, False, False, False], 3471, 'North', (15, 6))
Element 20: (1, (15, 6), ['', '', '', '%'], [(14, 7), (14, 9), (11, 8)], [False, False, False, True], 60, False, [False, False, False, False], 4470, 'North', (15, 7))
Element 21: (1, (15, 7), ['', '', '', '%'], [(13, 7), (14, 8), (10, 8)], [False, False, False, True], 58, False, [False, False, False, False], 5469, 'North', (15, 8))
Element 22: #1#
