Element 1: (2, (5, 9), ['.', '.', '%', '.'], [(1, 4), (4, 7), (10, 1)], [False, False, True, False], 98, False, [True, True, False, True], 19, 'East', (6, 9))
Element 2: (2, (6, 9), ['', '.', '%', '.'], [(1, 5), (5, 7), (11, 1)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (7, 9))
Element 3: (2, (7, 9), ['', '.', '%', '.'], [(1, 6), (6, 7), (12, 1)], [False, False, True, False], 94, False, [False, True, False, True], 97, 'East', (8, 9))
Element 4: (2, (8, 9), ['', '.', '%', '.'], [(1, 7), (7, 7), (13, 1)], [False, False, True, False], 92, False, [False, True, False, True], 136, 'East', (9, 9))
Element 5: (2, (9, 9), ['', '.', '%', 'F'], [(1, 8), (8, 7), (14, 1)], [False, False, True, False], 90, False, [False, True, False, False], 175, 'East', (10, 9))
Element 6: (2, (10, 9), ['', 'F', '%', 'F'], [(1, 9), (9, 7), (13, 1)], [False, False, True, False], 88, False, [False, False, False, False], 1194, 'East', (11, 9))
Element 7: (2, (11, 9), ['', 'F', '%', '.'], [(1, 8), (10, 7), (13, 2)], [False, False, True, False], 86, False, [False, False, False, True], 2213, 'South', (11, 8))
Element 8: (2, (11, 8), ['G', '.', '', '.'], [(1, 7), (10, 8), (13, 3)], [False, False, False, False], 84, False, [False, True, False, True], 4222, 'East', (12, 8))
Element 9: (2, (12, 8), ['', '.', '.', '.'], [(1, 6), (9, 8), (14, 3)], [False, False, False, False], 82, False, [False, True, True, True], 4251, 'East', (13, 8))
Element 10: (2, (13, 8), ['', '.', '.', '.'], [(1, 5), (8, 8), (15, 3)], [False, False, False, False], 80, False, [False, True, True, True], 4280, 'East', (14, 8))
Element 11: (2, (14, 8), ['', '.', '.', '.'], [(1, 4), (7, 8), (15, 4)], [False, False, False, False], 78, False, [False, True, True, True], 4309, 'East', (15, 8))
Element 12: (2, (15, 8), ['', '.', '.', '%'], [(1, 3), (6, 8), (15, 5)], [False, False, False, True], 76, False, [False, True, True, False], 4338, 'North', (15, 9))
Element 13: (2, (15, 9), ['.', '', '%', '%'], [(1, 2), (5, 8), (15, 6)], [False, False, True, True], 74, False, [True, False, False, False], 4377, 'West', (14, 9))
Element 14: (2, (14, 9), ['.', '', '%', ''], [(1, 1), (4, 8), (15, 7)], [False, False, True, False], 72, False, [True, False, False, False], 4416, 'West', (13, 9))
Element 15: (2, (13, 9), ['.', '', '%', ''], [(2, 1), (4, 9), (14, 7)], [False, False, True, False], 70, False, [True, False, False, False], 4455, 'West', (12, 9))
Element 16: (2, (12, 9), ['', '', '%', ''], [(3, 1), (3, 9), (14, 6)], [False, False, True, False], 68, False, [False, False, False, False], 4494, 'East', (13, 9))
Element 17: (2, (13, 9), ['', '', '%', ''], [(4, 1), (3, 8), (14, 5)], [False, False, True, False], 66, False, [False, False, False, False], 4523, 'East', (14, 9))
Element 18: (2, (14, 9), ['', '', '%', ''], [(4, 2), (3, 9), (14, 4)], [False, False, True, False], 64, False, [False, False, False, False], 4542, 'East', (15, 9))
Element 19: (2, (15, 9), ['', '', '%', '%'], [(4, 3), (4, 9), (13, 4)], [False, False, True, True], 62, False, [False, False, False, False], 4561, 'South', (15, 8))
Element 20: (2, (15, 8), ['', '', '', '%'], [(5, 3), (5, 9), (13, 5)], [False, False, False, True], 60, False, [False, False, False, False], 4580, 'South', (15, 7))
Element 21: (2, (15, 7), ['', '', '', '%'], [(6, 3), (6, 9), (13, 6)], [False, False, False, True], 58, False, [False, False, False, False], 4599, 'South', (15, 6))
Element 22: (2, (15, 6), ['', '', '', '%'], [(7, 3), (7, 9), (13, 7)], [False, False, False, True], 56, False, [False, False, False, False], 4618, 'South', (15, 5))
Element 23: (2, (15, 5), ['', '', '', '%'], [(8, 3), (8, 9), (12, 7)], [False, False, False, True], 54, False, [False, False, False, False], 4637, 'South', (15, 4))
Element 24: (2, (15, 4), ['', '', '', '%'], [(9, 3), (9, 9), (12, 6)], [False, False, False, True], 52, False, [False, False, False, False], 4656, 'South', (15, 3))
Element 25: (2, (15, 3), ['', '.', '', '%'], [(10, 3), (10, 9), (12, 5)], [False, False, False, True], 50, False, [False, True, False, False], 4675, 'South', (15, 2))
Element 26: (2, (15, 2), ['%', '%', '', '%'], [(10, 4), (11, 9), (12, 4)], [True, True, False, True], 48, False, [False, False, False, False], 5694, 'North', (15, 3))
Element 27: #1#
