Element 1: (0, (3, 4), ['%', '.', 'G', '.'], [(1, 2), (3, 5), (3, 8)], [True, False, False, False], 98, False, [False, True, False, True], 0, 'East', (4, 4))
Element 2: (0, (4, 4), ['', '.', 'G', '.'], [(1, 3), (4, 5), (4, 8)], [False, False, False, False], 96, False, [False, True, False, True], 39, 'East', (5, 4))
Element 3: (0, (5, 4), ['', '.', 'G', '.'], [(1, 4), (5, 5), (5, 8)], [False, False, False, False], 94, False, [False, True, False, True], 78, 'East', (6, 4))
Element 4: (0, (6, 4), ['', '.', 'G', '.'], [(1, 5), (6, 5), (6, 8)], [False, False, False, False], 92, False, [False, True, False, True], 117, 'East', (7, 4))
Element 5: (0, (7, 4), ['', '.', 'G', '.'], [(1, 6), (7, 5), (7, 8)], [False, False, False, False], 90, False, [False, True, False, True], 156, 'East', (8, 4))
Element 6: (0, (8, 4), ['', '.', 'G', '.'], [(1, 7), (8, 5), (8, 8)], [False, False, False, False], 88, False, [False, True, False, True], 195, 'East', (9, 4))
Element 7: (0, (9, 4), ['', '.', 'G', 'F'], [(1, 8), (9, 5), (9, 8)], [False, False, False, False], 86, False, [False, True, False, False], 234, 'East', (10, 4))
Element 8: (0, (10, 4), ['', '.', 'G', 'F'], [(1, 9), (10, 5), (10, 8)], [False, False, False, False], 84, False, [False, True, False, False], 2253, 'East', (11, 4))
Element 9: (0, (11, 4), ['', '.', 'G', '.'], [(1, 8), (11, 5), (11, 8)], [False, False, False, False], 82, False, [False, True, False, True], 4262, 'East', (12, 4))
Element 10: (0, (12, 4), ['', '.', 'G', '.'], [(1, 7), (12, 5), (11, 9)], [False, False, False, False], 80, False, [False, True, False, True], 5281, 'East', (13, 4))
Element 11: #1#
