Element 1: (2, (11, 1), ['.', '%', '%', '.'], [(4, 1), (4, 4), (12, 4)], [False, True, True, False], 98, False, [True, False, False, True], 19, 'East', (12, 1))
Element 2: (2, (12, 1), ['', '%', '%', '.'], [(4, 2), (5, 4), (11, 4)], [False, True, True, False], 96, False, [False, False, False, True], 1048, 'East', (13, 1))
Element 3: (2, (13, 1), ['', '%', '.', '.'], [(4, 3), (6, 4), (10, 4)], [False, True, False, False], 94, False, [False, False, True, True], 2077, 'East', (14, 1))
Element 4: (2, (14, 1), ['', '%', '%', '%'], [(5, 3), (7, 4), (10, 5)], [False, True, True, True], 92, False, [False, False, False, False], 2116, 'West', (13, 1))
Element 5: (2, (13, 1), ['', '%', '.', ''], [(6, 3), (8, 4), (11, 5)], [False, True, False, False], 90, False, [False, False, True, False], 2145, 'North', (13, 2))
Element 6: (2, (13, 2), ['%', '', '.', '%'], [(7, 3), (9, 4), (12, 5)], [True, False, False, True], 88, False, [False, False, True, False], 2184, 'North', (13, 3))
Element 7: (2, (13, 3), ['.', '', '.', '.'], [(8, 3), (9, 5), (13, 5)], [False, False, False, False], 86, False, [True, False, True, True], 2223, 'East', (14, 3))
Element 8: (2, (14, 3), ['', '%', '.', '.'], [(9, 3), (9, 6), (14, 5)], [False, True, False, False], 84, False, [False, False, True, True], 2262, 'East', (15, 3))
Element 9: (2, (15, 3), ['', '.', '.', '%'], [(10, 3), (10, 6), (15, 5)], [False, False, False, True], 82, False, [False, True, True, False], 2301, 'North', (15, 4))
Element 10: (2, (15, 4), ['.', '', '', '%'], [(11, 3), (11, 6), (15, 6)], [False, False, False, True], 80, False, [True, False, False, False], 2340, 'West', (14, 4))
Element 11: (2, (14, 4), ['.', '', '', ''], [(12, 3), (12, 6), (15, 7)], [False, False, False, False], 78, False, [True, False, False, False], 2379, 'West', (13, 4))
Element 12: (2, (13, 4), ['', 'G', '', ''], [(13, 3), (13, 6), (15, 8)], [False, False, False, False], 76, False, [False, False, False, False], 2408, 'North', (13, 5))
Element 13: (2, (13, 5), ['', '', '', ''], [(14, 3), (14, 6), (15, 9)], [False, False, False, False], 74, False, [False, False, False, False], 2427, 'East', (14, 5))
Element 14: (2, (14, 5), ['', '', '', ''], [(15, 3), (14, 7), (14, 9)], [False, False, False, False], 72, False, [False, False, False, False], 2446, 'East', (15, 5))
Element 15: (2, (15, 5), ['', '', '', '%'], [(15, 2), (13, 7), (14, 8)], [False, False, False, True], 70, False, [False, False, False, False], 2475, 'North', (15, 6))
Element 16: (2, (15, 6), ['', '', '', '%'], [(15, 3), (12, 7), (13, 8)], [False, False, False, True], 68, False, [False, False, False, False], 2494, 'North', (15, 7))
Element 17: (2, (15, 7), ['', '', '', '%'], [(15, 4), (12, 8), (13, 9)], [False, False, False, True], 66, False, [False, False, False, False], 2513, 'North', (15, 8))
Element 18: (2, (15, 8), ['', '', '', '%'], [(15, 5), (11, 8), (12, 9)], [False, False, False, True], 64, False, [False, False, False, False], 3522, 'North', (15, 9))
Element 19: (2, (15, 9), ['', '', '%', '%'], [(15, 6), (10, 8), (11, 9)], [False, False, True, True], 62, False, [False, False, False, False], 5521, 'West', (14, 9))
Element 20: #1#
