Element 1: (3, (18, 1), ['.', '%', '%', '%'], [(1, 7), (1, 4), (12, 6)], [False, True, True, True], 98, False, [True, False, False, False], 29, 'West', (17, 1))
Element 2: (3, (17, 1), ['.', '%', '%', ''], [(1, 8), (1, 3), (13, 6)], [False, True, True, False], 96, False, [True, False, False, False], 68, 'West', (16, 1))
Element 3: (3, (16, 1), ['%', '%', '%', ''], [(1, 9), (1, 2), (14, 6)], [True, True, True, False], 94, False, [False, False, False, False], 107, 'East', (17, 1))
Element 4: (3, (17, 1), ['', '%', '%', ''], [(1, 8), (1, 1), (15, 6)], [False, True, True, False], 92, False, [False, False, False, False], 126, 'East', (18, 1))
Element 5: (3, (18, 1), ['', '%', '%', '%'], [(1, 7), (2, 1), (15, 7)], [False, True, True, True], 90, False, [False, False, False, False], 145, 'Stop', (18, 1))
Element 6: (3, (18, 1), ['', '%', '%', '%'], [(1, 6), (3, 1), (15, 8)], [False, True, True, True], 88, False, [False, False, False, False], 164, 'West', (17, 1))
Element 7: (3, (17, 1), ['', '%', '%', ''], [(1, 6), (4, 1), (15, 9)], [False, True, True, False], 86, False, [False, False, False, False], 183, 'West', (16, 1))
Element 8: (3, (16, 1), ['%', '%', '%', ''], [(1, 7), (4, 2), (14, 9)], [True, True, True, False], 84, False, [False, False, False, False], 202, 'East', (17, 1))
Element 9: (3, (17, 1), ['', '%', '%', ''], [(1, 8), (4, 3), (14, 8)], [False, True, True, False], 82, False, [False, False, False, False], 221, 'East', (18, 1))
Element 10: (3, (18, 1), ['', '%', '%', '%'], [(1, 9), (5, 3), (14, 7)], [False, True, True, True], 80, False, [False, False, False, False], 240, 'Stop', (18, 1))
Element 11: (3, (18, 1), ['', '%', '%', '%'], [(1, 8), (6, 3), (13, 7)], [False, True, True, True], 78, False, [False, False, False, False], 259, 'West', (17, 1))
Element 12: (3, (17, 1), ['', '%', '%', ''], [(1, 7), (7, 3), (13, 8)], [False, True, True, False], 76, False, [False, False, False, False], 278, 'West', (16, 1))
Element 13: (3, (16, 1), ['%', '%', '%', ''], [(1, 6), (8, 3), (13, 9)], [True, True, True, False], 74, False, [False, False, False, False], 297, 'East', (17, 1))
Element 14: (3, (17, 1), ['', '%', '%', ''], [(1, 5), (9, 3), (12, 9)], [False, True, True, False], 72, False, [False, False, False, False], 316, 'East', (18, 1))
Element 15: (3, (18, 1), ['', '%', '%', '%'], [(1, 4), (10, 3), (11, 9)], [False, True, True, True], 70, False, [False, False, False, False], 1325, 'Stop', (18, 1))
Element 16: (3, (18, 1), ['', '%', '%', '%'], [(1, 3), (10, 4), (11, 8)], [False, True, True, True], 68, False, [False, False, False, False], 3324, 'West', (17, 1))
Element 17: (3, (17, 1), ['', '%', '%', ''], [(1, 2), (11, 4), (10, 8)], [False, True, True, False], 66, False, [False, False, False, False], 5323, 'West', (16, 1))
Element 18: #1#
