Element 1: (3, (7, 9), ['.', '', '%', '.'], [(6, 7), (4, 1), (8, 8)], [False, False, True, False], 98, False, [True, False, False, True], 29, 'East', (8, 9))
Element 2: (3, (8, 9), ['', '', '%', '.'], [(7, 7), (4, 2), (9, 8)], [False, False, True, False], 96, False, [False, False, False, True], 68, 'East', (9, 9))
Element 3: (3, (9, 9), ['', '', '%', 'F'], [(8, 7), (4, 3), (10, 8)], [False, False, True, False], 94, False, [False, False, False, False], 1097, 'East', (10, 9))
Element 4: (3, (10, 9), ['', '', '%', 'F'], [(9, 7), (5, 3), (11, 8)], [False, False, True, False], 92, False, [False, False, False, False], 3116, 'East', (11, 9))
Element 5: (3, (11, 9), ['', '', '%', '.'], [(10, 7), (6, 3), (12, 8)], [False, False, True, False], 90, False, [False, False, False, True], 4145, 'East', (12, 9))
Element 6: (3, (12, 9), ['', '', '%', '.'], [(11, 7), (7, 3), (13, 8)], [False, False, True, False], 88, False, [False, False, False, True], 4184, 'East', (13, 9))
Element 7: (3, (13, 9), ['', '', '%', '.'], [(12, 7), (8, 3), (14, 8)], [False, False, True, False], 86, False, [False, False, False, True], 4223, 'East', (14, 9))
Element 8: (3, (14, 9), ['', '', '%', '.'], [(13, 7), (9, 3), (15, 8)], [False, False, True, False], 84, False, [False, False, False, True], 4262, 'East', (15, 9))
Element 9: (3, (15, 9), ['', '', '%', '%'], [(14, 7), (10, 3), (15, 7)], [False, False, True, True], 82, False, [False, False, False, False], 4301, 'South', (15, 8))
Element 10: (3, (15, 8), ['', '', '', '%'], [(14, 6), (10, 4), (15, 6)], [False, False, False, True], 80, False, [False, False, False, False], 5320, 'South', (15, 7))
Element 11: #1#
