Element 1: (2, (14, 9), ['', '.', '%', '.'], [(13, 8), (7, 1), (15, 8)], [False, False, True, False], 98, False, [False, True, False, True], 19, 'East', (15, 9))
Element 2: (2, (15, 9), ['', '', '%', '%'], [(14, 8), (8, 1), (15, 7)], [False, False, True, True], 96, False, [False, False, False, False], 58, 'South', (15, 8))
Element 3: (2, (15, 8), ['', '', '', '%'], [(14, 7), (9, 1), (15, 6)], [False, False, False, True], 94, False, [False, False, False, False], 87, 'South', (15, 7))
Element 4: (2, (15, 7), ['', '', '', '%'], [(14, 6), (10, 1), (15, 5)], [False, False, False, True], 92, False, [False, False, False, False], 116, 'South', (15, 6))
Element 5: (2, (15, 6), ['', '', '', '%'], [(14, 5), (11, 1), (15, 4)], [False, False, False, True], 90, False, [False, False, False, False], 145, 'South', (15, 5))
Element 6: (2, (15, 5), ['', '', '', '%'], [(14, 4), (12, 1), (15, 3)], [False, False, False, True], 88, False, [False, False, False, False], 174, 'South', (15, 4))
Element 7: (2, (15, 4), ['', '', '', '%'], [(14, 3), (13, 1), (15, 2)], [False, False, False, True], 86, False, [False, False, False, False], 203, 'South', (15, 3))
Element 8: (2, (15, 3), ['', 'G', '', '%'], [(13, 3), (14, 1), (15, 2)], [False, False, False, True], 84, False, [False, False, False, False], 222, 'West', (14, 3))
Element 9: (2, (14, 3), ['', '%', '', 'G'], [(13, 4), (13, 1), (15, 3)], [False, True, False, False], 82, False, [False, False, False, False], 231, 'North', (14, 4))
Element 10: (2, (14, 4), ['', '', '', ''], [(13, 5), (13, 2), (15, 3)], [False, False, False, False], 80, False, [False, False, False, False], 250, 'North', (14, 5))
Element 11: (2, (14, 5), ['', '', '', ''], [(13, 6), (13, 3), (15, 4)], [False, False, False, False], 78, False, [False, False, False, False], 259, 'North', (14, 6))
Element 12: (2, (14, 6), ['', '', '', ''], [(13, 7), (12, 3), (14, 4)], [False, False, False, False], 76, False, [False, False, False, False], 278, 'North', (14, 7))
Element 13: (2, (14, 7), ['', '', '', ''], [(12, 7), (12, 4), (14, 5)], [False, False, False, False], 74, False, [False, False, False, False], 297, 'North', (14, 8))
Element 14: (2, (14, 8), ['', '', '', ''], [(12, 8), (11, 4), (14, 6)], [False, False, False, False], 72, False, [False, False, False, False], 1306, 'West', (13, 8))
Element 15: (2, (13, 8), ['', '', '', ''], [(11, 8), (10, 4), (14, 7)], [False, False, False, False], 70, False, [False, False, False, False], 3305, 'North', (13, 9))
Element 16: (2, (13, 9), ['.', '', '%', ''], [(11, 9), (10, 5), (14, 8)], [False, False, True, False], 68, False, [True, False, False, False], 4314, 'West', (12, 9))
Element 17: (2, (12, 9), ['', '', '%', ''], [(10, 9), (11, 5), (14, 9)], [False, False, True, False], 66, False, [False, False, False, False], 5333, 'South', (12, 8))
Element 18: #1#
