Element 1: (2, (10, 3), ['.', '.', 'F', '.'], [(14, 1), (7, 3), (13, 5)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'North', (10, 4))
Element 2: (2, (10, 4), ['.', '', '.', 'F'], [(13, 1), (8, 3), (14, 5)], [False, False, False, False], 96, False, [True, False, True, False], 1038, 'East', (11, 4))
Element 3: (2, (11, 4), ['', '.', '.', '.'], [(13, 2), (9, 3), (15, 5)], [False, False, False, False], 94, False, [False, True, True, True], 2067, 'East', (12, 4))
Element 4: (2, (12, 4), ['', '.', '.', '.'], [(13, 3), (9, 4), (15, 6)], [False, False, False, False], 92, False, [False, True, True, True], 2106, 'East', (13, 4))
Element 5: (2, (13, 4), ['', '', '', '.'], [(14, 3), (9, 5), (15, 7)], [False, False, False, False], 90, False, [False, False, False, True], 2145, 'East', (14, 4))
Element 6: (2, (14, 4), ['', '', '', '.'], [(15, 3), (10, 5), (15, 8)], [False, False, False, False], 88, False, [False, False, False, True], 2184, 'East', (15, 4))
Element 7: (2, (15, 4), ['', '', '', '%'], [(15, 2), (11, 5), (15, 9)], [False, False, False, True], 86, False, [False, False, False, False], 2223, 'North', (15, 5))
Element 8: (2, (15, 5), ['', '', '', '%'], [(15, 3), (12, 5), (14, 9)], [False, False, False, True], 84, False, [False, False, False, False], 2242, 'North', (15, 6))
Element 9: (2, (15, 6), ['.', '', '', '%'], [(14, 3), (12, 6), (14, 8)], [False, False, False, True], 82, False, [True, False, False, False], 2261, 'West', (14, 6))
Element 10: (2, (14, 6), ['G', '', 'G', ''], [(13, 3), (13, 6), (14, 7)], [False, False, False, False], 80, False, [False, False, False, False], 2290, 'South', (14, 5))
Element 11: (2, (14, 5), ['', '', 'G', ''], [(12, 3), (14, 6), (13, 7)], [False, False, False, False], 78, False, [False, False, False, False], 2309, 'West', (13, 5))
Element 12: (2, (13, 5), ['', '', '', ''], [(11, 3), (15, 6), (13, 8)], [False, False, False, False], 76, False, [False, False, False, False], 2328, 'North', (13, 6))
Element 13: (2, (13, 6), ['', '', '', ''], [(11, 4), (15, 7), (13, 9)], [False, False, False, False], 74, False, [False, False, False, False], 2337, 'North', (13, 7))
Element 14: (2, (13, 7), ['.', '', '', ''], [(12, 4), (15, 8), (12, 9)], [False, False, False, False], 72, False, [True, False, False, False], 2346, 'West', (12, 7))
Element 15: (2, (12, 7), ['.', '', '.', ''], [(13, 4), (15, 9), (11, 9)], [False, False, False, False], 70, False, [True, False, True, False], 3355, 'North', (12, 8))
Element 16: (2, (12, 8), ['G', '', '', ''], [(14, 4), (14, 9), (11, 8)], [False, False, False, False], 68, False, [False, False, False, False], 4364, 'East', (13, 8))
Element 17: (2, (13, 8), ['', '', '', 'G'], [(15, 4), (14, 8), (10, 8)], [False, False, False, False], 66, False, [False, False, False, False], 5363, 'North', (13, 9))
Element 18: #1#
