Element 1: (3, (7, 4), ['.', '', '.', '.'], [(14, 1), (4, 1), (8, 3)], [False, False, False, False], 98, False, [True, False, True, True], 29, 'East', (8, 4))
Element 2: (3, (8, 4), ['', '', '.', '.'], [(13, 1), (4, 2), (9, 3)], [False, False, False, False], 96, False, [False, False, True, True], 58, 'East', (9, 4))
Element 3: (3, (9, 4), ['', '', '.', 'F'], [(13, 2), (4, 3), (10, 3)], [False, False, False, False], 94, False, [False, False, True, False], 97, 'East', (10, 4))
Element 4: (3, (10, 4), ['', '', '.', 'F'], [(13, 3), (5, 3), (11, 3)], [False, False, False, False], 92, False, [False, False, True, False], 1126, 'East', (11, 4))
Element 5: (3, (11, 4), ['', '', '.', '.'], [(14, 3), (6, 3), (12, 3)], [False, False, False, False], 90, False, [False, False, True, True], 2155, 'East', (12, 4))
Element 6: (3, (12, 4), ['', '', '.', '.'], [(15, 3), (6, 4), (13, 3)], [False, False, False, False], 88, False, [False, False, True, True], 2184, 'East', (13, 4))
Element 7: (3, (13, 4), ['', '', '.', '.'], [(15, 4), (6, 5), (14, 3)], [False, False, False, False], 86, False, [False, False, True, True], 2213, 'East', (14, 4))
Element 8: (3, (14, 4), ['', '', '.', ''], [(15, 5), (7, 5), (15, 3)], [False, False, False, False], 84, False, [False, False, True, False], 2242, 'North', (14, 5))
Element 9: (3, (14, 5), ['.', '', '.', ''], [(15, 6), (8, 5), (15, 2)], [False, False, False, False], 82, False, [True, False, True, False], 2281, 'North', (14, 6))
Element 10: (3, (14, 6), ['.', '', '.', ''], [(15, 7), (9, 5), (15, 3)], [False, False, False, False], 80, False, [True, False, True, False], 2310, 'North', (14, 7))
Element 11: (3, (14, 7), ['.', '', '.', ''], [(15, 8), (10, 5), (15, 4)], [False, False, False, False], 78, False, [True, False, True, False], 2339, 'North', (14, 8))
Element 12: (3, (14, 8), ['.', '', '.', ''], [(15, 9), (11, 5), (15, 5)], [False, False, False, False], 76, False, [True, False, True, False], 2368, 'North', (14, 9))
Element 13: (3, (14, 9), ['.', '', '%', ''], [(15, 8), (12, 5), (15, 6)], [False, False, True, False], 74, False, [True, False, False, False], 2387, 'West', (13, 9))
Element 14: (3, (13, 9), ['.', '.', '%', ''], [(15, 7), (13, 5), (14, 6)], [False, False, True, False], 72, False, [True, True, False, False], 2406, 'South', (13, 8))
Element 15: (3, (13, 8), ['.', '.', '', ''], [(15, 6), (13, 6), (14, 7)], [False, False, False, False], 70, False, [True, True, False, False], 2425, 'South', (13, 7))
Element 16: (3, (13, 7), ['.', '', '', ''], [(15, 5), (12, 6), (15, 7)], [False, False, False, False], 68, False, [True, False, False, False], 2444, 'West', (12, 7))
Element 17: (3, (12, 7), ['.', '', '.', ''], [(15, 4), (11, 6), (15, 8)], [False, False, False, False], 66, False, [True, False, True, False], 2463, 'North', (12, 8))
Element 18: (3, (12, 8), ['F', '', '.', ''], [(15, 3), (11, 7), (15, 9)], [False, False, False, False], 64, False, [False, False, True, False], 2482, 'West', (11, 8))
Element 19: (3, (11, 8), ['F', '', 'F', ''], [(15, 2), (10, 7), (14, 9)], [False, False, False, False], 62, False, [False, False, False, False], 3491, 'North', (11, 9))
Element 20: (3, (11, 9), ['F', '', '%', '.'], [(15, 3), (10, 8), (14, 8)], [False, False, True, False], 60, False, [False, False, False, True], 5490, 'West', (10, 9))
Element 21: #1#
