Element 1: (0, (11, 3), ['.', '%', 'F', '.'], [(3, 9), (6, 4), (12, 6)], [False, True, False, False], 98, False, [True, False, False, True], 0, 'North', (11, 4))
Element 2: (0, (11, 4), ['F', '', '.', '.'], [(4, 9), (7, 4), (13, 6)], [False, False, False, False], 96, False, [False, False, True, True], 1029, 'West', (10, 4))
Element 3: (0, (10, 4), ['.', '.', '.', ''], [(5, 9), (8, 4), (14, 6)], [False, False, False, False], 94, False, [True, True, True, False], 2058, 'North', (10, 5))
Element 4: (0, (10, 5), ['.', '', '.', '.'], [(6, 9), (9, 4), (15, 6)], [False, False, False, False], 92, False, [True, False, True, True], 2097, 'East', (11, 5))
Element 5: (0, (11, 5), ['', '', '.', '.'], [(7, 9), (9, 5), (15, 7)], [False, False, False, False], 90, False, [False, False, True, True], 2136, 'East', (12, 5))
Element 6: (0, (12, 5), ['', '.', '', '.'], [(8, 9), (9, 6), (15, 8)], [False, False, False, False], 88, False, [False, True, False, True], 2175, 'East', (13, 5))
Element 7: (0, (13, 5), ['', '.', '', '.'], [(9, 9), (10, 6), (15, 9)], [False, False, False, False], 86, False, [False, True, False, True], 2214, 'East', (14, 5))
Element 8: (0, (14, 5), ['', '.', '', '.'], [(10, 9), (11, 6), (14, 9)], [False, False, False, False], 84, False, [False, True, False, True], 3243, 'East', (15, 5))
Element 9: (0, (15, 5), ['', '.', '', '%'], [(11, 9), (11, 7), (14, 8)], [False, False, False, True], 82, False, [False, True, False, False], 4272, 'South', (15, 4))
Element 10: (0, (15, 4), ['.', '.', '', '%'], [(11, 8), (12, 7), (14, 7)], [False, False, False, True], 80, False, [True, True, False, False], 5301, 'South', (15, 3))
Element 11: #1#
