Element 1: (3, (15, 2), ['%', '%', '.', '%'], [(10, 7), (1, 4), (4, 9)], [True, True, False, True], 98, False, [False, False, True, False], 29, 'North', (15, 3))
Element 2: (3, (15, 3), ['.', '', '.', '%'], [(10, 8), (1, 5), (5, 9)], [False, False, False, True], 96, False, [True, False, True, False], 1058, 'North', (15, 4))
Element 3: (3, (15, 4), ['.', '', '.', '%'], [(11, 8), (1, 6), (6, 9)], [False, False, False, True], 94, False, [True, False, True, False], 2087, 'North', (15, 5))
Element 4: (3, (15, 5), ['.', '', '.', '%'], [(11, 9), (1, 7), (7, 9)], [False, False, False, True], 92, False, [True, False, True, False], 3116, 'North', (15, 6))
Element 5: (3, (15, 6), ['.', '', '.', '%'], [(10, 9), (1, 8), (8, 9)], [False, False, False, True], 90, False, [True, False, True, False], 4145, 'North', (15, 7))
Element 6: (3, (15, 7), ['.', '', '.', '%'], [(9, 9), (1, 9), (8, 8)], [False, False, False, True], 88, False, [True, False, True, False], 4184, 'North', (15, 8))
Element 7: (3, (15, 8), ['.', '', '.', '%'], [(9, 8), (1, 8), (8, 7)], [False, False, False, True], 86, False, [True, False, True, False], 4213, 'North', (15, 9))
Element 8: (3, (15, 9), ['.', '', '%', '%'], [(8, 8), (1, 7), (8, 6)], [False, False, True, True], 84, False, [True, False, False, False], 4232, 'West', (14, 9))
Element 9: (3, (14, 9), ['.', '.', '%', ''], [(7, 8), (1, 6), (9, 6)], [False, False, True, False], 82, False, [True, True, False, False], 4261, 'South', (14, 8))
Element 10: (3, (14, 8), ['.', '.', '', ''], [(7, 7), (1, 5), (10, 6)], [False, False, False, False], 80, False, [True, True, False, False], 4290, 'South', (14, 7))
Element 11: (3, (14, 7), ['.', '.', '', ''], [(7, 6), (1, 4), (11, 6)], [False, False, False, False], 78, False, [True, True, False, False], 4319, 'South', (14, 6))
Element 12: (3, (14, 6), ['.', '.', '', ''], [(7, 5), (1, 3), (12, 6)], [False, False, False, False], 76, False, [True, True, False, False], 4348, 'South', (14, 5))
Element 13: (3, (14, 5), ['.', '.', '', ''], [(8, 5), (1, 2), (13, 6)], [False, False, False, False], 74, False, [True, True, False, False], 4387, 'South', (14, 4))
Element 14: (3, (14, 4), ['.', '.', '', ''], [(9, 5), (1, 1), (13, 7)], [False, False, False, False], 72, False, [True, True, False, False], 4426, 'South', (14, 3))
Element 15: (3, (14, 3), ['.', '%', '', ''], [(10, 5), (2, 1), (13, 8)], [False, True, False, False], 70, False, [True, False, False, False], 4465, 'West', (13, 3))
Element 16: (3, (13, 3), ['.', '.', '.', ''], [(10, 4), (3, 1), (13, 9)], [False, False, False, False], 68, False, [True, True, True, False], 5494, 'North', (13, 4))
Element 17: #1#
