Element 1: (2, (12, 9), ['F', '.', '%', '.'], [(4, 8), (4, 1), (18, 1)], [False, False, True, False], 98, False, [False, True, False, True], 19, 'West', (11, 9))
Element 2: (2, (11, 9), ['F', 'F', '%', ''], [(5, 8), (4, 2), (17, 1)], [False, False, True, False], 96, False, [False, False, False, False], 1048, 'South', (11, 8))
Element 3: (2, (11, 8), ['F', '.', '', '.'], [(6, 8), (4, 3), (16, 1)], [False, False, False, False], 94, False, [False, True, False, True], 2077, 'West', (10, 8))
Element 4: (2, (10, 8), ['.', '.', 'F', ''], [(7, 8), (5, 3), (17, 1)], [False, False, False, False], 92, False, [True, True, False, False], 3096, 'North', (10, 9))
Element 5: (2, (10, 9), ['.', '', '%', ''], [(8, 8), (6, 3), (18, 1)], [False, False, True, False], 90, False, [True, False, False, False], 4115, 'West', (9, 9))
Element 6: (2, (9, 9), ['.', 'G', '%', ''], [(9, 8), (7, 3), (18, 1)], [False, False, True, False], 88, False, [True, False, False, False], 4144, 'West', (8, 9))
Element 7: (2, (8, 9), ['.', '', '%', ''], [(9, 7), (8, 3), (17, 1)], [False, False, True, False], 86, False, [True, False, False, False], 4173, 'West', (7, 9))
Element 8: (2, (7, 9), ['.', '', '%', ''], [(10, 7), (9, 3), (16, 1)], [False, False, True, False], 84, False, [True, False, False, False], 4202, 'West', (6, 9))
Element 9: (2, (6, 9), ['.', '', '%', ''], [(11, 7), (10, 3), (17, 1)], [False, False, True, False], 82, False, [True, False, False, False], 4231, 'West', (5, 9))
Element 10: (2, (5, 9), ['.', '', '%', ''], [(12, 7), (10, 4), (18, 1)], [False, False, True, False], 80, False, [True, False, False, False], 5250, 'West', (4, 9))
Element 11: #1#
