Element 1: (2, (8, 2), ['.', '.', '', '.'], [(9, 3), (2, 1), (13, 5)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'East', (9, 2))
Element 2: (2, (9, 2), ['', '.', '', '.'], [(10, 3), (3, 1), (14, 5)], [False, False, False, False], 96, False, [False, True, False, True], 58, 'East', (10, 2))
Element 3: (2, (10, 2), ['', '.', '', '%'], [(10, 4), (4, 1), (15, 5)], [False, False, False, True], 94, False, [False, True, False, False], 1087, 'South', (10, 1))
Element 4: (2, (10, 1), ['.', '%', '', '.'], [(11, 4), (4, 2), (15, 6)], [False, True, False, False], 92, False, [True, False, False, True], 2116, 'East', (11, 1))
Element 5: (2, (11, 1), ['', '%', '%', '.'], [(12, 4), (4, 3), (15, 7)], [False, True, True, False], 90, False, [False, False, False, True], 2155, 'East', (12, 1))
Element 6: (2, (12, 1), ['', '%', '%', '.'], [(13, 4), (5, 3), (15, 8)], [False, True, True, False], 88, False, [False, False, False, True], 2194, 'East', (13, 1))
Element 7: (2, (13, 1), ['', '%', '.', '.'], [(14, 4), (6, 3), (15, 9)], [False, True, False, False], 86, False, [False, False, True, True], 2233, 'East', (14, 1))
Element 8: (2, (14, 1), ['', '%', '%', '%'], [(15, 4), (7, 3), (14, 9)], [False, True, True, True], 84, False, [False, False, False, False], 2272, 'West', (13, 1))
Element 9: (2, (13, 1), ['', '%', '.', ''], [(15, 3), (7, 4), (14, 8)], [False, True, False, False], 82, False, [False, False, True, False], 2301, 'North', (13, 2))
Element 10: (2, (13, 2), ['%', '', '.', '%'], [(15, 2), (8, 4), (14, 7)], [True, False, False, True], 80, False, [False, False, True, False], 2340, 'North', (13, 3))
Element 11: (2, (13, 3), ['.', '', '', '.'], [(15, 3), (9, 4), (14, 6)], [False, False, False, False], 78, False, [True, False, False, True], 2369, 'East', (14, 3))
Element 12: (2, (14, 3), ['', '%', '', ''], [(15, 2), (9, 5), (13, 6)], [False, True, False, False], 76, False, [False, False, False, False], 2398, 'East', (15, 3))
Element 13: (2, (15, 3), ['', 'G', '', '%'], [(15, 2), (10, 5), (13, 7)], [False, False, False, True], 74, False, [False, False, False, False], 2417, 'North', (15, 4))
Element 14: (2, (15, 4), ['', 'G', '', '%'], [(15, 3), (11, 5), (13, 8)], [False, False, False, True], 72, False, [False, False, False, False], 2436, 'North', (15, 5))
Element 15: (2, (15, 5), ['', '', '', '%'], [(14, 3), (12, 5), (13, 9)], [False, False, False, True], 70, False, [False, False, False, False], 2455, 'North', (15, 6))
Element 16: (2, (15, 6), ['', '', '', '%'], [(13, 3), (12, 6), (12, 9)], [False, False, False, True], 68, False, [False, False, False, False], 2474, 'North', (15, 7))
Element 17: (2, (15, 7), ['', '', '', '%'], [(12, 3), (12, 7), (11, 9)], [False, False, False, True], 66, False, [False, False, False, False], 3493, 'North', (15, 8))
Element 18: (2, (15, 8), ['', '', '', '%'], [(11, 3), (12, 8), (11, 8)], [False, False, False, True], 64, False, [False, False, False, False], 4512, 'North', (15, 9))
Element 19: (2, (15, 9), ['', '', '%', '%'], [(12, 3), (13, 8), (10, 8)], [False, False, True, True], 62, False, [False, False, False, False], 5511, 'West', (14, 9))
Element 20: #1#
