Element 1: (0, (6, 4), ['.', '.', '.', 'G'], [(1, 1), (7, 4), (9, 5)], [False, False, False, False], 98, False, [True, True, True, False], 0, 'North', (6, 5))
Element 2: (0, (6, 5), ['.', '', '.', '.'], [(2, 1), (8, 4), (10, 5)], [False, False, False, False], 96, False, [True, False, True, True], 39, 'East', (7, 5))
Element 3: (0, (7, 5), ['', '', '.', '.'], [(3, 1), (9, 4), (10, 4)], [False, False, False, False], 94, False, [False, False, True, True], 1068, 'East', (8, 5))
Element 4: (0, (8, 5), ['', '', '.', ''], [(4, 1), (9, 3), (11, 4)], [False, False, False, False], 92, False, [False, False, True, False], 2097, 'North', (8, 6))
Element 5: (0, (8, 6), ['.', '', '.', '.'], [(4, 2), (10, 3), (12, 4)], [False, False, False, False], 90, False, [True, False, True, True], 2136, 'East', (9, 6))
Element 6: (0, (9, 6), ['', '', '.', '.'], [(4, 3), (11, 3), (13, 4)], [False, False, False, False], 88, False, [False, False, True, True], 2175, 'East', (10, 6))
Element 7: (0, (10, 6), ['', '', '.', '.'], [(5, 3), (12, 3), (14, 4)], [False, False, False, False], 86, False, [False, False, True, True], 2214, 'East', (11, 6))
Element 8: (0, (11, 6), ['', '.', '.', '.'], [(6, 3), (13, 3), (15, 4)], [False, False, False, False], 84, False, [False, True, True, True], 2253, 'East', (12, 6))
Element 9: (0, (12, 6), ['', '.', '.', '.'], [(7, 3), (14, 3), (15, 5)], [False, False, False, False], 82, False, [False, True, True, True], 2292, 'East', (13, 6))
Element 10: (0, (13, 6), ['', '.', '.', '.'], [(8, 3), (15, 3), (15, 6)], [False, False, False, False], 80, False, [False, True, True, True], 2331, 'East', (14, 6))
Element 11: (0, (14, 6), ['', '.', '.', ''], [(8, 2), (15, 2), (15, 7)], [False, False, False, False], 78, False, [False, True, True, False], 2370, 'North', (14, 7))
Element 12: (0, (14, 7), ['.', '', '.', ''], [(9, 2), (15, 3), (15, 8)], [False, False, False, False], 76, False, [True, False, True, False], 2399, 'North', (14, 8))
Element 13: (0, (14, 8), ['.', '', '.', ''], [(10, 2), (15, 4), (15, 9)], [False, False, False, False], 74, False, [True, False, True, False], 2428, 'North', (14, 9))
Element 14: (0, (14, 9), ['.', '', '%', ''], [(10, 1), (15, 5), (15, 8)], [False, False, True, False], 72, False, [True, False, False, False], 2447, 'West', (13, 9))
Element 15: (0, (13, 9), ['.', '.', '%', ''], [(11, 1), (14, 5), (15, 7)], [False, False, True, False], 70, False, [True, True, False, False], 2476, 'South', (13, 8))
Element 16: (0, (13, 8), ['.', '.', '', ''], [(12, 1), (13, 5), (15, 6)], [False, False, False, False], 68, False, [True, True, False, False], 2505, 'South', (13, 7))
Element 17: (0, (13, 7), ['.', '', '', ''], [(13, 1), (12, 5), (15, 5)], [False, False, False, False], 66, False, [True, False, False, False], 2534, 'West', (12, 7))
Element 18: (0, (12, 7), ['.', '', '.', ''], [(14, 1), (11, 5), (14, 5)], [False, False, False, False], 64, False, [True, False, True, False], 2563, 'North', (12, 8))
Element 19: (0, (12, 8), ['F', '', '.', ''], [(13, 1), (11, 6), (14, 6)], [False, False, False, False], 62, False, [False, False, True, False], 2572, 'West', (11, 8))
Element 20: (0, (11, 8), ['F', 'G', 'F', ''], [(13, 2), (11, 7), (14, 7)], [False, False, False, False], 60, False, [False, False, False, False], 3591, 'North', (11, 9))
Element 21: (0, (11, 9), ['F', '', '%', '.'], [(13, 3), (10, 7), (14, 8)], [False, False, True, False], 58, False, [False, False, False, True], 4600, 'West', (10, 9))
Element 22: #1#
