Element 1: (2, (13, 1), ['.', '%', 'G', '.'], [(15, 6), (13, 5), (13, 2)], [False, True, False, False], 98, False, [True, False, False, True], 19, 'East', (14, 1))
Element 2: (2, (14, 1), ['', '%', '%', '%'], [(15, 7), (14, 5), (13, 3)], [False, True, True, True], 96, False, [False, False, False, False], 58, 'West', (13, 1))
Element 3: (2, (13, 1), ['.', '%', '', ''], [(15, 8), (14, 6), (14, 3)], [False, True, False, False], 94, False, [True, False, False, False], 87, 'West', (12, 1))
Element 4: (2, (12, 1), ['.', '%', '%', ''], [(15, 9), (14, 7), (15, 3)], [False, True, True, False], 92, False, [True, False, False, False], 126, 'West', (11, 1))
Element 5: (2, (11, 1), ['.', '%', '%', ''], [(14, 9), (14, 8), (15, 4)], [False, True, True, False], 90, False, [True, False, False, False], 165, 'West', (10, 1))
Element 6: (2, (10, 1), ['.', '%', '.', ''], [(13, 9), (13, 8), (14, 4)], [False, True, False, False], 88, False, [True, False, True, False], 204, 'North', (10, 2))
Element 7: (2, (10, 2), ['.', '', '.', '%'], [(12, 9), (13, 7), (13, 4)], [False, False, False, True], 86, False, [True, False, True, False], 243, 'North', (10, 3))
Element 8: (2, (10, 3), ['.', '', 'F', '.'], [(11, 9), (13, 6), (12, 4)], [False, False, False, False], 84, False, [True, False, False, True], 1272, 'North', (10, 4))
Element 9: (2, (10, 4), ['.', '', '.', 'G'], [(11, 8), (12, 6), (11, 4)], [False, False, False, False], 82, False, [True, False, True, False], 4281, 'North', (10, 5))
Element 10: (2, (10, 5), ['.', '', '.', 'G'], [(10, 8), (12, 7), (11, 5)], [False, False, False, False], 80, False, [True, False, True, False], 5310, 'North', (10, 6))
Element 11: #1#
