Element 1: (3, (15, 9), ['.', '.', '%', '%'], [(5, 6), (9, 3), (9, 5)], [False, False, True, True], 98, False, [True, True, False, False], 29, 'South', (15, 8))
Element 2: (3, (15, 8), ['.', '.', '', '%'], [(6, 6), (10, 3), (10, 5)], [False, False, False, True], 96, False, [True, True, False, False], 68, 'South', (15, 7))
Element 3: (3, (15, 7), ['.', '.', '', '%'], [(7, 6), (10, 4), (11, 5)], [False, False, False, True], 94, False, [True, True, False, False], 1097, 'South', (15, 6))
Element 4: (3, (15, 6), ['.', '.', '', '%'], [(8, 6), (11, 4), (12, 5)], [False, False, False, True], 92, False, [True, True, False, False], 2126, 'South', (15, 5))
Element 5: (3, (15, 5), ['.', '.', '', '%'], [(9, 6), (12, 4), (13, 5)], [False, False, False, True], 90, False, [True, True, False, False], 2165, 'South', (15, 4))
Element 6: (3, (15, 4), ['.', '.', '', '%'], [(10, 6), (13, 4), (14, 5)], [False, False, False, True], 88, False, [True, True, False, False], 2204, 'South', (15, 3))
Element 7: (3, (15, 3), ['.', '.', '', '%'], [(11, 6), (14, 4), (14, 6)], [False, False, False, True], 86, False, [True, True, False, False], 2243, 'South', (15, 2))
Element 8: (3, (15, 2), ['%', '%', '', '%'], [(12, 6), (14, 3), (14, 7)], [True, True, False, True], 84, False, [False, False, False, False], 2282, 'North', (15, 3))
Element 9: (3, (15, 3), ['', '', '', '%'], [(13, 6), (13, 3), (14, 8)], [False, False, False, True], 82, False, [False, False, False, False], 2311, 'West', (14, 3))
Element 10: (3, (14, 3), ['', '%', '', ''], [(13, 7), (13, 2), (14, 9)], [False, True, False, False], 80, False, [False, False, False, False], 2340, 'North', (14, 4))
Element 11: (3, (14, 4), ['', '', '', ''], [(13, 8), (13, 1), (13, 9)], [False, False, False, False], 78, False, [False, False, False, False], 2369, 'North', (14, 5))
Element 12: (3, (14, 5), ['', '', '', ''], [(12, 8), (14, 1), (12, 9)], [False, False, False, False], 76, False, [False, False, False, False], 2398, 'North', (14, 6))
Element 13: (3, (14, 6), ['', '', '', ''], [(11, 8), (13, 1), (11, 9)], [False, False, False, False], 74, False, [False, False, False, False], 4397, 'North', (14, 7))
Element 14: #1#
