Element 1: (2, (6, 2), ['%', '', '.', '.'], [(14, 6), (7, 1), (9, 4)], [True, False, False, False], 98, False, [False, False, True, True], 19, 'East', (7, 2))
Element 2: (2, (7, 2), ['', '', '.', '.'], [(15, 6), (8, 1), (10, 4)], [False, False, False, False], 96, False, [False, False, True, True], 1048, 'East', (8, 2))
Element 3: (2, (8, 2), ['', '', '.', '.'], [(15, 7), (9, 1), (11, 4)], [False, False, False, False], 94, False, [False, False, True, True], 2077, 'East', (9, 2))
Element 4: (2, (9, 2), ['', '', '.', '.'], [(15, 8), (10, 1), (12, 4)], [False, False, False, False], 92, False, [False, False, True, True], 2116, 'East', (10, 2))
Element 5: (2, (10, 2), ['', '', '.', '%'], [(15, 9), (11, 1), (13, 4)], [False, False, False, True], 90, False, [False, False, True, False], 2155, 'North', (10, 3))
Element 6: (2, (10, 3), ['.', '', '', '.'], [(14, 9), (12, 1), (14, 4)], [False, False, False, False], 88, False, [True, False, False, True], 2194, 'East', (11, 3))
Element 7: (2, (11, 3), ['', '%', '', '.'], [(14, 8), (13, 1), (15, 4)], [False, True, False, False], 86, False, [False, False, False, True], 2233, 'East', (12, 3))
Element 8: (2, (12, 3), ['', '%', '', '.'], [(14, 7), (14, 1), (15, 5)], [False, True, False, False], 84, False, [False, False, False, True], 2272, 'East', (13, 3))
Element 9: (2, (13, 3), ['', '.', '', '.'], [(13, 7), (13, 1), (14, 5)], [False, False, False, False], 82, False, [False, True, False, True], 2301, 'East', (14, 3))
Element 10: (2, (14, 3), ['', '%', '', '.'], [(13, 8), (13, 2), (13, 5)], [False, True, False, False], 80, False, [False, False, False, True], 2340, 'East', (15, 3))
Element 11: (2, (15, 3), ['', '.', '', '%'], [(13, 9), (13, 3), (12, 5)], [False, False, False, True], 78, False, [False, True, False, False], 2369, 'South', (15, 2))
Element 12: (2, (15, 2), ['%', '%', '', '%'], [(12, 9), (14, 3), (12, 6)], [True, True, False, True], 76, False, [False, False, False, False], 2398, 'North', (15, 3))
Element 13: (2, (15, 3), ['', '', '', '%'], [(11, 9), (14, 4), (12, 7)], [False, False, False, True], 74, False, [False, False, False, False], 3407, 'North', (15, 4))
Element 14: (2, (15, 4), ['', '', '', '%'], [(11, 8), (14, 5), (12, 8)], [False, False, False, True], 72, False, [False, False, False, False], 4416, 'North', (15, 5))
Element 15: (2, (15, 5), ['', '', '', '%'], [(10, 8), (14, 6), (13, 8)], [False, False, False, True], 70, False, [False, False, False, False], 5415, 'North', (15, 6))
Element 16: #1#
