Element 1: (0, (15, 5), ['.', '.', 'G', '%'], [(10, 7), (13, 7), (15, 6)], [False, False, False, True], 98, False, [True, True, False, False], 0, 'South', (15, 4))
Element 2: (0, (15, 4), ['.', '.', '', '%'], [(10, 8), (14, 7), (15, 7)], [False, False, False, True], 96, False, [True, True, False, False], 1029, 'South', (15, 3))
Element 3: (0, (15, 3), ['.', '.', '', '%'], [(11, 8), (14, 8), (15, 8)], [False, False, False, True], 94, False, [True, True, False, False], 2058, 'South', (15, 2))
Element 4: (0, (15, 2), ['%', '%', '', '%'], [(11, 9), (14, 9), (15, 9)], [True, True, False, True], 92, False, [False, False, False, False], 3087, 'North', (15, 3))
Element 5: (0, (15, 3), ['.', '', '', '%'], [(10, 9), (13, 9), (14, 9)], [False, False, False, True], 90, False, [True, False, False, False], 4096, 'West', (14, 3))
Element 6: (0, (14, 3), ['.', '%', '.', ''], [(9, 9), (13, 8), (14, 8)], [False, True, False, False], 88, False, [True, False, True, False], 4125, 'North', (14, 4))
Element 7: (0, (14, 4), ['.', '', '.', ''], [(9, 8), (12, 8), (14, 7)], [False, False, False, False], 86, False, [True, False, True, False], 4154, 'North', (14, 5))
Element 8: (0, (14, 5), ['.', '', 'G', ''], [(9, 7), (12, 9), (14, 6)], [False, False, False, False], 84, False, [True, False, False, False], 4193, 'West', (13, 5))
Element 9: (0, (13, 5), ['.', '.', 'G', ''], [(9, 6), (11, 9), (13, 6)], [False, False, False, False], 82, False, [True, True, False, False], 4222, 'South', (13, 4))
Element 10: (0, (13, 4), ['.', '.', '', ''], [(10, 6), (11, 8), (12, 6)], [False, False, False, False], 80, False, [True, True, False, False], 4251, 'South', (13, 3))
Element 11: (0, (13, 3), ['.', '.', '', ''], [(11, 6), (11, 7), (12, 7)], [False, False, False, False], 78, False, [True, True, False, False], 4290, 'South', (13, 2))
Element 12: (0, (13, 2), ['%', '.', '', '%'], [(11, 5), (11, 6), (13, 7)], [True, False, False, True], 76, False, [False, True, False, False], 4309, 'South', (13, 1))
Element 13: (0, (13, 1), ['.', '%', '', '.'], [(11, 4), (12, 6), (13, 8)], [False, True, False, False], 74, False, [True, False, False, True], 5318, 'East', (14, 1))
Element 14: #1#
