Element 1: (3, (9, 4), ['.', 'G', '.', 'F'], [(15, 3), (4, 3), (9, 3)], [False, False, False, False], 98, False, [True, False, True, False], 29, 'East', (10, 4))
Element 2: (3, (10, 4), ['', 'G', '.', 'F'], [(15, 4), (5, 3), (10, 3)], [False, False, False, False], 96, False, [False, False, True, False], 1058, 'East', (11, 4))
Element 3: (3, (11, 4), ['', 'G', '.', '.'], [(15, 5), (6, 3), (11, 3)], [False, False, False, False], 94, False, [False, False, True, True], 2087, 'East', (12, 4))
Element 4: (3, (12, 4), ['', 'G', '.', '.'], [(15, 6), (7, 3), (12, 3)], [False, False, False, False], 92, False, [False, False, True, True], 2126, 'East', (13, 4))
Element 5: (3, (13, 4), ['', 'G', '.', '.'], [(15, 7), (7, 4), (13, 3)], [False, False, False, False], 90, False, [False, False, True, True], 2165, 'East', (14, 4))
Element 6: (3, (14, 4), ['', 'G', '.', ''], [(15, 8), (8, 4), (14, 3)], [False, False, False, False], 88, False, [False, False, True, False], 2204, 'North', (14, 5))
Element 7: (3, (14, 5), ['.', '', '.', ''], [(15, 9), (8, 5), (15, 3)], [False, False, False, False], 86, False, [True, False, True, False], 2233, 'North', (14, 6))
Element 8: (3, (14, 6), ['.', '', '.', ''], [(14, 9), (9, 5), (15, 4)], [False, False, False, False], 84, False, [True, False, True, False], 2262, 'North', (14, 7))
Element 9: (3, (14, 7), ['.', '', 'G', ''], [(14, 8), (10, 5), (15, 5)], [False, False, False, False], 82, False, [True, False, False, False], 2291, 'West', (13, 7))
Element 10: (3, (13, 7), ['.', '.', 'G', ''], [(13, 8), (11, 5), (15, 6)], [False, False, False, False], 80, False, [True, True, False, False], 2320, 'South', (13, 6))
Element 11: (3, (13, 6), ['.', '.', '', ''], [(13, 9), (12, 5), (15, 7)], [False, False, False, False], 78, False, [True, True, False, False], 2349, 'South', (13, 5))
Element 12: (3, (13, 5), ['', '', '', ''], [(12, 9), (12, 6), (15, 8)], [False, False, False, False], 76, False, [False, False, False, False], 2378, 'West', (12, 5))
Element 13: (3, (12, 5), ['', '', '', ''], [(11, 9), (12, 7), (15, 9)], [False, False, False, False], 74, False, [False, False, False, False], 3387, 'North', (12, 6))
Element 14: (3, (12, 6), ['.', '', '', ''], [(11, 8), (12, 8), (14, 9)], [False, False, False, False], 72, False, [True, False, False, False], 4396, 'West', (11, 6))
Element 15: (3, (11, 6), ['.', '', '.', ''], [(10, 8), (13, 8), (14, 8)], [False, False, False, False], 70, False, [True, False, True, False], 5405, 'North', (11, 7))
Element 16: #1#
