Element 1: (0, (14, 5), ['.', 'G', '.', '.'], [(1, 8), (9, 8), (14, 4)], [False, False, False, False], 98, False, [True, False, True, True], 0, 'East', (15, 5))
Element 2: (0, (15, 5), ['', 'G', '.', '%'], [(1, 9), (10, 8), (15, 4)], [False, False, False, True], 96, False, [False, False, True, False], 1029, 'North', (15, 6))
Element 3: (0, (15, 6), ['.', '', '.', '%'], [(1, 8), (11, 8), (15, 3)], [False, False, False, True], 94, False, [True, False, True, False], 2048, 'North', (15, 7))
Element 4: (0, (15, 7), ['.', '', '.', '%'], [(1, 7), (11, 9), (15, 2)], [False, False, False, True], 92, False, [True, False, True, False], 3077, 'North', (15, 8))
Element 5: (0, (15, 8), ['.', '', '.', '%'], [(1, 6), (10, 9), (15, 3)], [False, False, False, True], 90, False, [True, False, True, False], 4096, 'North', (15, 9))
Element 6: (0, (15, 9), ['.', '', '%', '%'], [(1, 5), (9, 9), (14, 3)], [False, False, True, True], 88, False, [True, False, False, False], 4135, 'West', (14, 9))
Element 7: (0, (14, 9), ['.', '.', '%', ''], [(1, 4), (8, 9), (13, 3)], [False, False, True, False], 86, False, [True, True, False, False], 4174, 'South', (14, 8))
Element 8: (0, (14, 8), ['.', '.', '', ''], [(1, 3), (8, 8), (13, 4)], [False, False, False, False], 84, False, [True, True, False, False], 4213, 'South', (14, 7))
Element 9: (0, (14, 7), ['.', '.', '', ''], [(1, 2), (8, 7), (13, 5)], [False, False, False, False], 82, False, [True, True, False, False], 4252, 'South', (14, 6))
Element 10: (0, (14, 6), ['G', '', '', ''], [(1, 1), (9, 7), (13, 6)], [False, False, False, False], 80, False, [False, False, False, False], 4291, 'North', (14, 7))
Element 11: (0, (14, 7), ['G', '', '', ''], [(2, 1), (10, 7), (13, 7)], [False, False, False, False], 78, False, [False, False, False, False], 4320, 'South', (14, 6))
Element 12: (0, (14, 6), ['', '', '', ''], [(3, 1), (11, 7), (13, 8)], [False, False, False, False], 76, False, [False, False, False, False], 4349, 'North', (14, 7))
Element 13: (0, (14, 7), ['', '', '', ''], [(4, 1), (12, 7), (13, 9)], [False, False, False, False], 74, False, [False, False, False, False], 4378, 'North', (14, 8))
Element 14: (0, (14, 8), ['', '', '', ''], [(4, 2), (12, 8), (12, 9)], [False, False, False, False], 72, False, [False, False, False, False], 4407, 'West', (13, 8))
Element 15: (0, (13, 8), ['G', '', '', ''], [(4, 3), (12, 7), (12, 8)], [False, False, False, False], 70, False, [False, False, False, False], 4416, 'North', (13, 9))
Element 16: (0, (13, 9), ['', '', '%', ''], [(5, 3), (12, 6), (12, 7)], [False, False, True, False], 68, False, [False, False, False, False], 4435, 'West', (12, 9))
Element 17: (0, (12, 9), ['', '', '%', ''], [(6, 3), (12, 5), (12, 6)], [False, False, True, False], 66, False, [False, False, False, False], 4454, 'South', (12, 8))
Element 18: (0, (12, 8), ['', '', '', ''], [(7, 3), (12, 4), (11, 6)], [False, False, False, False], 64, False, [False, False, False, False], 4483, 'South', (12, 7))
Element 19: (0, (12, 7), ['', '', '', ''], [(8, 3), (11, 4), (11, 5)], [False, False, False, False], 62, False, [False, False, False, False], 5502, 'East', (13, 7))
Element 20: #1#
