Element 1: (3, (18, 8), ['.', '', '%', '%'], [(18, 6), (7, 1), (16, 1)], [False, False, True, True], 98, False, [True, False, False, False], 29, 'West', (17, 8))
Element 2: (3, (17, 8), ['.', '.', '%', ''], [(17, 6), (8, 1), (16, 2)], [False, False, True, False], 96, False, [True, True, False, False], 1058, 'South', (17, 7))
Element 3: (3, (17, 7), ['.', '', '', ''], [(16, 6), (9, 1), (16, 3)], [False, False, False, False], 94, False, [True, False, False, False], 1097, 'West', (16, 7))
Element 4: (3, (16, 7), ['%', '', '.', ''], [(15, 6), (10, 1), (17, 3)], [True, False, False, False], 92, False, [False, False, True, False], 1136, 'North', (16, 8))
Element 5: (3, (16, 8), ['.', '', 'F', ''], [(15, 5), (11, 1), (18, 3)], [False, False, False, False], 90, False, [True, False, False, False], 1175, 'North', (16, 9))
Element 6: (3, (16, 9), ['.', '', '.', '%'], [(15, 4), (12, 1), (17, 3)], [False, False, False, True], 88, False, [True, False, True, False], 2194, 'North', (16, 10))
Element 7: (3, (16, 10), ['.', '', '.', '%'], [(15, 3), (13, 1), (16, 3)], [False, False, False, True], 86, False, [True, False, True, False], 2223, 'North', (16, 11))
Element 8: (3, (16, 11), ['.', '', '.', '%'], [(15, 4), (14, 1), (15, 3)], [False, False, False, True], 84, False, [True, False, True, False], 2242, 'North', (16, 12))
Element 9: (3, (16, 12), ['.', '', '.', '.'], [(14, 4), (15, 1), (15, 4)], [False, False, False, False], 82, False, [True, False, True, True], 2261, 'East', (17, 12))
Element 10: (3, (17, 12), ['', '%', '.', '%'], [(14, 5), (16, 1), (15, 5)], [False, True, False, True], 80, False, [False, False, True, False], 2280, 'North', (17, 13))
Element 11: (3, (17, 13), ['.', '', '%', '.'], [(14, 6), (17, 1), (15, 6)], [False, False, True, False], 78, False, [True, False, False, True], 2309, 'East', (18, 13))
Element 12: (3, (18, 13), ['', '%', '%', '%'], [(14, 7), (16, 1), (16, 6)], [False, True, True, True], 76, False, [False, False, False, False], 2328, 'West', (17, 13))
Element 13: (3, (17, 13), ['.', '', '%', ''], [(14, 8), (16, 2), (17, 6)], [False, False, True, False], 74, False, [True, False, False, False], 2337, 'West', (16, 13))
Element 14: (3, (16, 13), ['.', '', '%', ''], [(15, 8), (16, 3), (18, 6)], [False, False, True, False], 72, False, [True, False, False, False], 2356, 'West', (15, 13))
Element 15: (3, (15, 13), ['.', '.', '%', ''], [(15, 9), (17, 3), (18, 7)], [False, False, True, False], 70, False, [True, True, False, False], 2375, 'South', (15, 12))
Element 16: (3, (15, 12), ['.', '.', '', ''], [(15, 10), (18, 3), (18, 8)], [False, False, False, False], 68, False, [True, True, False, False], 2394, 'South', (15, 11))
Element 17: (3, (15, 11), ['.', '', '', ''], [(14, 10), (17, 3), (17, 8)], [False, False, False, False], 66, False, [True, False, False, False], 2413, 'West', (14, 11))
Element 18: (3, (14, 11), ['.', '', '.', ''], [(14, 9), (16, 3), (17, 7)], [False, False, False, False], 64, False, [True, False, True, False], 2432, 'North', (14, 12))
Element 19: (3, (14, 12), ['.', '', '.', ''], [(13, 9), (15, 3), (16, 7)], [False, False, False, False], 62, False, [True, False, True, False], 2451, 'North', (14, 13))
Element 20: (3, (14, 13), ['.', '', '%', ''], [(13, 10), (15, 4), (16, 8)], [False, False, True, False], 60, False, [True, False, False, False], 2470, 'West', (13, 13))
Element 21: (3, (13, 13), ['.', '.', '%', ''], [(13, 11), (15, 5), (16, 9)], [False, False, True, False], 58, False, [True, True, False, False], 2489, 'South', (13, 12))
Element 22: (3, (13, 12), ['%', '', '', ''], [(12, 11), (15, 6), (16, 10)], [True, False, False, False], 56, False, [False, False, False, False], 2508, 'South', (13, 11))
Element 23: (3, (13, 11), ['', '', '', ''], [(12, 10), (16, 6), (16, 11)], [False, False, False, False], 54, False, [False, False, False, False], 2517, 'South', (13, 10))
Element 24: (3, (13, 10), ['', '', '', ''], [(12, 9), (17, 6), (16, 12)], [False, False, False, False], 52, False, [False, False, False, False], 2526, 'East', (14, 10))
Element 25: (3, (14, 10), ['', '', '', ''], [(12, 8), (18, 6), (17, 12)], [False, False, False, False], 50, False, [False, False, False, False], 2535, 'East', (15, 10))
Element 26: (3, (15, 10), ['', '', '', ''], [(13, 8), (18, 7), (17, 13)], [False, False, False, False], 48, False, [False, False, False, False], 2544, 'South', (15, 9))
Element 27: (3, (15, 9), ['', '', '', ''], [(13, 7), (18, 8), (18, 13)], [False, False, False, False], 46, False, [False, False, False, False], 2553, 'South', (15, 8))
Element 28: (3, (15, 8), ['', '%', '', ''], [(12, 7), (17, 8), (17, 13)], [False, True, False, False], 44, False, [False, False, False, False], 2562, 'West', (14, 8))
Element 29: (3, (14, 8), ['', '', '', ''], [(12, 6), (17, 7), (16, 13)], [False, False, False, False], 42, False, [False, False, False, False], 2571, 'North', (14, 9))
Element 30: (3, (14, 9), ['', '', '', ''], [(12, 5), (16, 7), (15, 13)], [False, False, False, False], 40, False, [False, False, False, False], 2580, 'West', (13, 9))
Element 31: (3, (13, 9), ['', '', '', ''], [(11, 5), (16, 8), (15, 12)], [False, False, False, False], 38, False, [False, False, False, False], 3579, 'South', (13, 8))
Element 32: (3, (13, 8), ['', '', '', ''], [(11, 6), (16, 9), (15, 11)], [False, False, False, False], 36, False, [False, False, False, False], 3588, 'South', (13, 7))
Element 33: (3, (13, 7), ['', '%', '', ''], [(11, 7), (16, 10), (15, 10)], [False, True, False, False], 34, False, [False, False, False, False], 3597, 'East', (14, 7))
Element 34: (3, (14, 7), ['', '', '', '%'], [(11, 6), (16, 11), (15, 9)], [False, False, False, True], 32, False, [False, False, False, False], 3596, 'South', (14, 6))
Element 35: (3, (14, 6), ['%', '', '', ''], [(10, 6), (16, 12), (15, 8)], [True, False, False, False], 30, False, [False, False, False, False], 3605, 'East', (15, 6))
Element 36: (3, (15, 6), ['', '', '%', ''], [(10, 5), (17, 12), (14, 8)], [False, False, True, False], 28, False, [False, False, False, False], 3614, 'East', (16, 6))
Element 37: (3, (16, 6), ['', '%', '', ''], [(9, 5), (17, 13), (14, 9)], [False, True, False, False], 26, False, [False, False, False, False], 3623, 'East', (17, 6))
Element 38: (3, (17, 6), ['', '%', '', ''], [(9, 6), (18, 13), (14, 10)], [False, True, False, False], 24, False, [False, False, False, False], 3632, 'East', (18, 6))
Element 39: (3, (18, 6), ['', '%', '', '%'], [(8, 6), (17, 13), (14, 11)], [False, True, False, True], 22, False, [False, False, False, False], 3641, 'North', (18, 7))
Element 40: (3, (18, 7), ['', '', '', '%'], [(8, 5), (16, 13), (14, 12)], [False, False, False, True], 20, False, [False, False, False, False], 3650, 'South', (18, 6))
Element 41: (3, (18, 6), ['', '%', '', '%'], [(8, 4), (15, 13), (14, 13)], [False, True, False, True], 18, False, [False, False, False, False], 3659, 'West', (17, 6))
