Element 1: (0, (2, 12), ['G', '%', '.', '.'], [(1, 12), (6, 12), (14, 7)], [False, True, False, False], 98, False, [False, False, True, True], 0, 'East', (3, 12))
Element 2: (0, (3, 12), ['', '.', '.', '.'], [(1, 13), (7, 12), (14, 8)], [False, False, False, False], 96, False, [False, True, True, True], 39, 'East', (4, 12))
Element 3: (0, (4, 12), ['', '.', '.', '.'], [(2, 13), (8, 12), (15, 8)], [False, False, False, False], 94, False, [False, True, True, True], 78, 'East', (5, 12))
Element 4: (0, (5, 12), ['', '.', '.', ''], [(3, 13), (9, 12), (16, 8)], [False, False, False, False], 92, False, [False, True, True, False], 117, 'North', (5, 13))
Element 5: (0, (5, 13), ['G', '', '%', '.'], [(4, 13), (10, 12), (16, 9)], [False, False, True, False], 90, False, [False, False, False, True], 1146, 'East', (6, 13))
Element 6: (0, (6, 13), ['G', '', '%', '.'], [(5, 13), (10, 13), (16, 10)], [False, False, True, False], 88, False, [False, False, False, True], 1175, 'East', (7, 13))
Element 7: (0, (7, 13), ['G', '', '%', '.'], [(6, 13), (11, 13), (16, 11)], [False, False, True, False], 86, False, [False, False, False, True], 1204, 'East', (8, 13))
Element 8: (0, (8, 13), ['G', '', '%', '.'], [(7, 13), (12, 13), (16, 12)], [False, False, True, False], 84, False, [False, False, False, True], 1233, 'East', (9, 13))
Element 9: (0, (9, 13), ['G', '', '%', ''], [(8, 13), (13, 13), (17, 12)], [False, False, True, False], 82, False, [False, False, False, False], 1262, 'East', (10, 13))
Element 10: (0, (10, 13), ['G', '', '%', ''], [(9, 13), (14, 13), (17, 13)], [False, False, True, False], 80, False, [False, False, False, False], 1281, 'East', (11, 13))
Element 11: (0, (11, 13), ['G', '%', '%', ''], [(10, 13), (15, 13), (18, 13)], [False, True, True, False], 78, False, [False, False, False, False], 1300, 'East', (12, 13))
Element 12: (0, (12, 13), ['G', '%', '%', ''], [(11, 13), (16, 13), (17, 13)], [False, True, True, False], 76, False, [False, False, False, False], 1309, 'East', (13, 13))
Element 13: (0, (13, 13), ['G', '.', '%', ''], [(12, 13), (16, 12), (16, 13)], [False, False, True, False], 74, False, [False, True, False, False], 1308, 'South', (13, 12))
Element 14: (0, (13, 12), ['%', '.', 'G', '.'], [(13, 13), (15, 12), (15, 13)], [True, False, False, False], 72, False, [False, True, False, True], 1327, 'East', (14, 12))
Element 15: (0, (14, 12), ['', '.', 'G', 'G'], [(14, 13), (15, 11), (15, 12)], [False, False, False, False], 70, False, [False, True, False, False], 1346, 'South', (14, 11))
Element 16: (0, (14, 11), ['.', '.', '', 'G'], [(15, 13), (15, 10), (15, 11)], [False, False, False, False], 68, False, [True, True, False, False], 1365, 'South', (14, 10))
Element 17: (0, (14, 10), ['.', '.', '', 'G'], [(16, 13), (15, 9), (15, 10)], [False, False, False, False], 66, False, [True, True, False, False], 1384, 'South', (14, 9))
Element 18: (0, (14, 9), ['.', '', '', 'G'], [(17, 13), (16, 9), (15, 9)], [False, False, False, False], 64, False, [True, False, False, False], 1393, 'West', (13, 9))
Element 19: (0, (13, 9), ['.', '.', '.', 'G'], [(18, 13), (16, 10), (14, 9)], [False, False, False, False], 62, False, [True, True, True, False], 1402, 'North', (13, 10))
