Element 1: (3, (16, 1), ['.', '%', 'F', '.'], [(4, 12), (8, 11), (8, 9)], [False, True, False, False], 98, False, [True, False, False, True], 1019, 'North', (16, 2))
Element 2: (3, (16, 2), ['%', '', '.', '%'], [(5, 12), (9, 11), (9, 9)], [True, False, False, True], 96, False, [False, False, True, False], 2048, 'North', (16, 3))
Element 3: (3, (16, 3), ['.', '', '%', '.'], [(6, 12), (10, 11), (10, 9)], [False, False, True, False], 94, False, [True, False, False, True], 2087, 'East', (17, 3))
Element 4: (3, (17, 3), ['', '%', '%', '.'], [(7, 12), (11, 11), (11, 9)], [False, True, True, False], 92, False, [False, False, False, True], 2126, 'East', (18, 3))
Element 5: (3, (18, 3), ['', '%', '%', '%'], [(8, 12), (12, 11), (12, 9)], [False, True, True, True], 90, False, [False, False, False, False], 2165, 'West', (17, 3))
Element 6: (3, (17, 3), ['', '%', '%', ''], [(9, 12), (13, 11), (13, 9)], [False, True, True, False], 88, False, [False, False, False, False], 2194, 'West', (16, 3))
Element 7: (3, (16, 3), ['.', '', '%', ''], [(10, 12), (14, 11), (14, 9)], [False, False, True, False], 86, False, [True, False, False, False], 2223, 'West', (15, 3))
Element 8: (3, (15, 3), ['%', '%', '.', ''], [(10, 13), (15, 11), (15, 9)], [True, True, False, False], 84, False, [False, False, True, False], 2262, 'North', (15, 4))
Element 9: (3, (15, 4), ['.', '', '.', '%'], [(11, 13), (16, 11), (16, 9)], [False, False, False, True], 82, False, [True, False, True, False], 3291, 'North', (15, 5))
Element 10: (3, (15, 5), ['.', '', '.', '%'], [(12, 13), (16, 12), (16, 10)], [False, False, False, True], 80, False, [True, False, True, False], 3330, 'North', (15, 6))
Element 11: (3, (15, 6), ['.', '', '%', '.'], [(13, 13), (17, 12), (15, 10)], [False, False, True, False], 78, False, [True, False, False, True], 3369, 'East', (16, 6))
Element 12: (3, (16, 6), ['', '%', '.', '.'], [(14, 13), (17, 13), (14, 10)], [False, True, False, False], 76, False, [False, False, True, True], 3408, 'East', (17, 6))
Element 13: (3, (17, 6), ['', '%', '.', '.'], [(15, 13), (18, 13), (13, 10)], [False, True, False, False], 74, False, [False, False, True, True], 3447, 'East', (18, 6))
Element 14: (3, (18, 6), ['', '%', '.', '%'], [(16, 13), (17, 13), (12, 10)], [False, True, False, True], 72, False, [False, False, True, False], 3476, 'North', (18, 7))
Element 15: (3, (18, 7), ['.', '', '.', '%'], [(16, 12), (16, 13), (11, 10)], [False, False, False, True], 70, False, [True, False, True, False], 3495, 'North', (18, 8))
Element 16: (3, (18, 8), ['.', '', '%', '%'], [(15, 12), (15, 13), (10, 10)], [False, False, True, True], 68, False, [True, False, False, False], 3524, 'West', (17, 8))
Element 17: (3, (17, 8), ['.', '.', '%', ''], [(14, 12), (15, 12), (9, 10)], [False, False, True, False], 66, False, [True, True, False, False], 3553, 'South', (17, 7))
Element 18: (3, (17, 7), ['.', '', '', ''], [(13, 12), (14, 12), (9, 11)], [False, False, False, False], 64, False, [True, False, False, False], 3572, 'West', (16, 7))
Element 19: (3, (16, 7), ['%', '', '.', ''], [(13, 11), (14, 13), (10, 11)], [True, False, False, False], 62, False, [False, False, True, False], 3581, 'North', (16, 8))
Element 20: (3, (16, 8), ['.', '', '', ''], [(14, 11), (13, 13), (11, 11)], [False, False, False, False], 60, False, [True, False, False, False], 3590, 'West', (15, 8))
Element 21: (3, (15, 8), ['.', '%', '', ''], [(15, 11), (13, 12), (12, 11)], [False, True, False, False], 58, False, [True, False, False, False], 3599, 'West', (14, 8))
Element 22: (3, (14, 8), ['.', '.', '', ''], [(16, 11), (13, 13), (13, 11)], [False, False, False, False], 56, False, [True, True, False, False], 3608, 'South', (14, 7))
Element 23: (3, (14, 7), ['.', '.', '', '%'], [(16, 10), (12, 13), (14, 11)], [False, False, False, True], 54, False, [True, True, False, False], 3617, 'South', (14, 6))
Element 24: (3, (14, 6), ['%', '.', '', ''], [(16, 9), (11, 13), (15, 11)], [True, False, False, False], 52, False, [False, True, False, False], 3626, 'South', (14, 5))
Element 25: (3, (14, 5), ['.', '.', '', ''], [(16, 8), (10, 13), (16, 11)], [False, False, False, False], 50, False, [True, True, False, False], 3635, 'South', (14, 4))
Element 26: (3, (14, 4), ['.', '%', '', ''], [(17, 8), (9, 13), (16, 12)], [False, True, False, False], 48, False, [True, False, False, False], 3654, 'West', (13, 4))
Element 27: (3, (13, 4), ['.', '.', '.', ''], [(18, 8), (8, 13), (17, 12)], [False, False, False, False], 46, False, [True, True, True, False], 3673, 'North', (13, 5))
Element 28: (3, (13, 5), ['.', '', '%', ''], [(18, 7), (7, 13), (17, 13)], [False, False, True, False], 44, False, [True, False, False, False], 3692, 'West', (12, 5))
Element 29: (3, (12, 5), ['F', '.', '.', ''], [(18, 6), (6, 13), (18, 13)], [False, False, False, False], 42, False, [False, True, True, False], 3711, 'West', (11, 5))
Element 30: (3, (11, 5), ['.', '.', '.', ''], [(17, 6), (5, 13), (17, 13)], [False, False, False, False], 40, False, [True, True, True, False], 4720, 'North', (11, 6))
Element 31: (3, (11, 6), ['.', '', '.', '.'], [(17, 7), (4, 13), (16, 13)], [False, False, False, False], 38, False, [True, False, True, True], 4739, 'East', (12, 6))
Element 32: (3, (12, 6), ['', '', '.', '%'], [(16, 7), (3, 13), (15, 13)], [False, False, False, True], 36, False, [False, False, True, False], 4758, 'North', (12, 7))
Element 33: (3, (12, 7), ['.', '', '.', '.'], [(16, 6), (2, 13), (15, 12)], [False, False, False, False], 34, False, [True, False, True, True], 4777, 'East', (13, 7))
Element 34: (3, (13, 7), ['', '%', '.', ''], [(15, 6), (2, 12), (14, 12)], [False, True, False, False], 32, False, [False, False, True, False], 4796, 'North', (13, 8))
Element 35: (3, (13, 8), ['.', '', '', ''], [(15, 5), (1, 12), (14, 13)], [False, False, False, False], 30, False, [True, False, False, False], 4815, 'West', (12, 8))
Element 36: (3, (12, 8), ['%', '', '', ''], [(15, 4), (1, 13), (13, 13)], [True, False, False, False], 28, False, [False, False, False, False], 4834, 'North', (12, 9))
Element 37: (3, (12, 9), ['', '', '', ''], [(15, 3), (1, 12), (13, 12)], [False, False, False, False], 26, False, [False, False, False, False], 4833, 'East', (13, 9))
Element 38: (3, (13, 9), ['', '', '', ''], [(16, 3), (2, 12), (13, 13)], [False, False, False, False], 24, False, [False, False, False, False], 4832, 'East', (14, 9))
Element 39: (3, (14, 9), ['', '', '', ''], [(17, 3), (3, 12), (12, 13)], [False, False, False, False], 22, False, [False, False, False, False], 4831, 'East', (15, 9))
Element 40: (3, (15, 9), ['', '', '', ''], [(18, 3), (3, 11), (11, 13)], [False, False, False, False], 20, False, [False, False, False, False], 4840, 'East', (16, 9))
