Element 1: (0, (15, 10), ['.', '.', '.', '.'], [(4, 2), (7, 10), (12, 6)], [False, False, False, False], 98, False, [True, True, True, True], 0, 'West', (14, 10))
Element 2: (0, (14, 10), ['.', '.', '.', ''], [(5, 2), (8, 10), (12, 7)], [False, False, False, False], 96, False, [True, True, True, False], 39, 'North', (14, 11))
Element 3: (0, (14, 11), ['.', '', '.', '.'], [(5, 1), (8, 9), (13, 7)], [False, False, False, False], 94, False, [True, False, True, True], 1068, 'North', (14, 12))
Element 4: (0, (14, 12), ['.', '', '.', '.'], [(6, 1), (9, 9), (14, 7)], [False, False, False, False], 92, False, [True, False, True, True], 1107, 'East', (15, 12))
Element 5: (0, (15, 12), ['', '.', '.', '.'], [(7, 1), (10, 9), (14, 8)], [False, False, False, False], 90, False, [False, True, True, True], 1146, 'East', (16, 12))
Element 6: (0, (16, 12), ['', '.', '.', '.'], [(7, 2), (11, 9), (15, 8)], [False, False, False, False], 88, False, [False, True, True, True], 1185, 'East', (17, 12))
Element 7: (0, (17, 12), ['', '%', '.', '%'], [(8, 2), (12, 9), (16, 8)], [False, True, False, True], 86, False, [False, False, True, False], 1224, 'North', (17, 13))
Element 8: (0, (17, 13), ['.', '', '%', '.'], [(8, 3), (13, 9), (16, 9)], [False, False, True, False], 84, False, [True, False, False, True], 2253, 'East', (18, 13))
Element 9: (0, (18, 13), ['', '%', '%', '%'], [(8, 4), (14, 9), (16, 10)], [False, True, True, True], 82, False, [False, False, False, False], 2292, 'West', (17, 13))
Element 10: (0, (17, 13), ['.', '', '%', ''], [(9, 4), (15, 9), (16, 11)], [False, False, True, False], 80, False, [True, False, False, False], 2321, 'West', (16, 13))
Element 11: (0, (16, 13), ['.', '', '%', ''], [(9, 5), (16, 9), (15, 11)], [False, False, True, False], 78, False, [True, False, False, False], 2350, 'West', (15, 13))
Element 12: (0, (15, 13), ['.', 'G', '%', ''], [(10, 5), (16, 10), (15, 12)], [False, False, True, False], 76, False, [True, False, False, False], 2369, 'West', (14, 13))
Element 13: (0, (14, 13), ['.', '', '%', ''], [(11, 5), (16, 11), (16, 12)], [False, False, True, False], 74, False, [True, False, False, False], 3378, 'West', (13, 13))
Element 14: (0, (13, 13), ['.', '.', '%', ''], [(12, 5), (15, 11), (17, 12)], [False, False, True, False], 72, False, [True, True, False, False], 3397, 'South', (13, 12))
Element 15: (0, (13, 12), ['%', '.', '', ''], [(13, 5), (15, 12), (17, 13)], [True, False, False, False], 70, False, [False, True, False, False], 3416, 'South', (13, 11))
Element 16: (0, (13, 11), ['.', '.', '', ''], [(14, 5), (16, 12), (18, 13)], [False, False, False, False], 68, False, [True, True, False, False], 3435, 'South', (13, 10))
Element 17: (0, (13, 10), ['.', '', '', ''], [(15, 5), (17, 12), (17, 13)], [False, False, False, False], 66, False, [True, False, False, False], 3454, 'West', (12, 10))
Element 18: (0, (12, 10), ['.', '', '.', ''], [(15, 6), (16, 12), (16, 13)], [False, False, False, False], 64, False, [True, False, True, False], 3473, 'North', (12, 11))
Element 19: (0, (12, 11), ['.', '', '%', ''], [(16, 6), (15, 12), (15, 13)], [False, False, True, False], 62, False, [True, False, False, False], 3492, 'West', (11, 11))
Element 20: (0, (11, 11), ['.', '.', '%', ''], [(17, 6), (16, 12), (14, 13)], [False, False, True, False], 60, False, [True, True, False, False], 3511, 'South', (11, 10))
Element 21: (0, (11, 10), ['.', '', '', ''], [(18, 6), (15, 12), (14, 12)], [False, False, False, False], 58, False, [True, False, False, False], 3530, 'West', (10, 10))
Element 22: (0, (10, 10), ['.', '', '.', ''], [(18, 7), (15, 13), (14, 11)], [False, False, False, False], 56, False, [True, False, True, False], 3549, 'North', (10, 11))
Element 23: (0, (10, 11), ['.', '', '.', ''], [(18, 8), (16, 13), (14, 10)], [False, False, False, False], 54, False, [True, False, True, False], 3568, 'North', (10, 12))
Element 24: (0, (10, 12), ['.', '', '.', '%'], [(17, 8), (17, 13), (15, 10)], [False, False, False, True], 52, False, [True, False, True, False], 3587, 'North', (10, 13))
Element 25: (0, (10, 13), ['.', '', '%', '.'], [(17, 7), (18, 13), (15, 9)], [False, False, True, False], 50, False, [True, False, False, True], 3606, 'East', (11, 13))
Element 26: (0, (11, 13), ['', '%', '%', '.'], [(16, 7), (17, 13), (14, 9)], [False, True, True, False], 48, False, [False, False, False, True], 3625, 'East', (12, 13))
Element 27: (0, (12, 13), ['', '%', '%', ''], [(16, 8), (16, 13), (13, 9)], [False, True, True, False], 46, False, [False, False, False, False], 3634, 'West', (11, 13))
Element 28: (0, (11, 13), ['', '%', '%', ''], [(16, 9), (15, 13), (13, 8)], [False, True, True, False], 44, False, [False, False, False, False], 3643, 'West', (10, 13))
Element 29: (0, (10, 13), ['.', '', '%', ''], [(16, 10), (14, 13), (12, 8)], [False, False, True, False], 42, False, [True, False, False, False], 3652, 'West', (9, 13))
Element 30: (0, (9, 13), ['.', '.', '%', ''], [(16, 11), (14, 12), (12, 9)], [False, False, True, False], 40, False, [True, True, False, False], 3661, 'South', (9, 12))
Element 31: (0, (9, 12), ['.', '.', '', ''], [(16, 12), (14, 11), (12, 10)], [False, False, False, False], 38, False, [True, True, False, False], 3670, 'West', (8, 12))
Element 32: (0, (8, 12), ['.', '.', '.', ''], [(17, 12), (14, 10), (13, 10)], [False, False, False, False], 36, False, [True, True, True, False], 3679, 'North', (8, 13))
Element 33: (0, (8, 13), ['.', '', '%', ''], [(17, 13), (15, 10), (13, 11)], [False, False, True, False], 34, False, [True, False, False, False], 3688, 'West', (7, 13))
Element 34: (0, (7, 13), ['.', '.', '%', ''], [(18, 13), (14, 10), (13, 12)], [False, False, True, False], 32, False, [True, True, False, False], 3697, 'South', (7, 12))
Element 35: (0, (7, 12), ['.', '.', '', ''], [(17, 13), (14, 11), (13, 13)], [False, False, False, False], 30, False, [True, True, False, False], 3706, 'West', (6, 12))
Element 36: (0, (6, 12), ['.', '.', '.', ''], [(16, 13), (13, 11), (12, 13)], [False, False, False, False], 28, False, [True, True, True, False], 3715, 'North', (6, 13))
Element 37: (0, (6, 13), ['.', '', '%', ''], [(15, 13), (13, 12), (11, 13)], [False, False, True, False], 26, False, [True, False, False, False], 3724, 'West', (5, 13))
Element 38: (0, (5, 13), ['.', '.', '%', ''], [(15, 12), (13, 13), (10, 13)], [False, False, True, False], 24, False, [True, True, False, False], 3733, 'South', (5, 12))
Element 39: (0, (5, 12), ['.', '.', '', ''], [(15, 11), (12, 13), (10, 12)], [False, False, False, False], 22, False, [True, True, False, False], 3742, 'South', (5, 11))
Element 40: (0, (5, 11), ['.', '.', '', '.'], [(15, 10), (11, 13), (10, 11)], [False, False, False, False], 20, False, [True, True, False, True], 3751, 'South', (5, 10))
Element 41: (0, (5, 10), ['.', '.', '', '.'], [(15, 9), (10, 13), (9, 11)], [False, False, False, False], 18, False, [True, True, False, True], 3770, 'East', (6, 10))
Element 42: (0, (6, 10), ['', '.', '.', ''], [(15, 8), (10, 12), (9, 10)], [False, False, False, False], 16, False, [False, True, True, False], 3789, 'North', (6, 11))
Element 43: (0, (6, 11), ['', '', '', '.'], [(14, 8), (10, 11), (10, 10)], [False, False, False, False], 14, False, [False, False, False, True], 3798, 'East', (7, 11))
Element 44: (0, (7, 11), ['', '', '', '.'], [(14, 9), (11, 11), (11, 10)], [False, False, False, False], 12, False, [False, False, False, True], 3807, 'East', (8, 11))
Element 45: (0, (8, 11), ['', '', '', ''], [(14, 10), (12, 11), (11, 11)], [False, False, False, False], 10, False, [False, False, False, False], 3816, 'East', (9, 11))
Element 46: (0, (9, 11), ['', '', '', ''], [(14, 11), (12, 10), (12, 11)], [False, False, False, False], 8, False, [False, False, False, False], 3815, 'South', (9, 10))
Element 47: (0, (9, 10), ['', '', '', ''], [(14, 12), (13, 10), (11, 11)], [False, False, False, False], 6, False, [False, False, False, False], 3814, 'South', (9, 9))
Element 48: (0, (9, 9), ['', '%', '', ''], [(14, 13), (12, 10), (11, 10)], [False, True, False, False], 4, False, [False, False, False, False], 3813, 'East', (10, 9))
Element 49: (0, (10, 9), ['', '%', '', 'G'], [(13, 13), (12, 9), (11, 9)], [False, True, False, False], 2, False, [False, False, False, False], 3812, 'West', (9, 9))
Element 50: (0, (9, 9), ['', '%', '', 'G'], [(13, 12), (12, 10), (10, 9)], [False, True, False, False], 0, False, [False, False, False, False], 3811, 'Stop', (9, 9))
Element 51: #0#
