Element 1: (1, (7, 3), ['.', '.', '.', 'G'], [(7, 10), (8, 3), (18, 8)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'North', (7, 4))
Element 2: (1, (7, 4), ['.', '', '.', '.'], [(8, 10), (9, 3), (18, 7)], [False, False, False, False], 96, False, [True, False, True, True], 48, 'East', (8, 4))
Element 3: (1, (8, 4), ['', '', '.', '.'], [(8, 9), (10, 3), (18, 6)], [False, False, False, False], 94, False, [False, False, True, True], 1077, 'East', (9, 4))
Element 4: (1, (9, 4), ['', '', '.', '%'], [(9, 9), (11, 3), (17, 6)], [False, False, False, True], 92, False, [False, False, True, False], 1116, 'North', (9, 5))
Element 5: (1, (9, 5), ['.', '', '.', '.'], [(10, 9), (12, 3), (17, 7)], [False, False, False, False], 90, False, [True, False, True, True], 1155, 'East', (10, 5))
Element 6: (1, (10, 5), ['', '%', '.', 'F'], [(11, 9), (13, 3), (17, 8)], [False, True, False, False], 88, False, [False, False, True, False], 1194, 'East', (11, 5))
Element 7: (1, (11, 5), ['', '.', '.', '.'], [(12, 9), (13, 4), (16, 8)], [False, False, False, False], 86, False, [False, True, True, True], 2223, 'East', (12, 5))
Element 8: (1, (12, 5), ['', '.', '.', '.'], [(13, 9), (14, 4), (16, 9)], [False, False, False, False], 84, False, [False, True, True, True], 3252, 'East', (13, 5))
Element 9: (1, (13, 5), ['', '', '%', '.'], [(14, 9), (15, 4), (16, 10)], [False, False, True, False], 82, False, [False, False, False, True], 3291, 'East', (14, 5))
Element 10: (1, (14, 5), ['', '', '.', 'G'], [(15, 9), (15, 5), (16, 11)], [False, False, False, False], 80, False, [False, False, True, False], 3330, 'North', (14, 6))
Element 11: (1, (14, 6), ['%', '', '.', 'G'], [(15, 10), (15, 6), (16, 12)], [True, False, False, False], 78, False, [False, False, True, False], 3369, 'North', (14, 7))
Element 12: (1, (14, 7), ['.', '', '.', '%'], [(15, 11), (16, 6), (17, 12)], [False, False, False, True], 76, False, [True, False, True, False], 3408, 'North', (14, 8))
Element 13: (1, (14, 8), ['.', '', '', '.'], [(15, 12), (16, 7), (17, 13)], [False, False, False, False], 74, False, [True, False, False, True], 3447, 'East', (15, 8))
Element 14: (1, (15, 8), ['', '%', '', ''], [(15, 13), (17, 7), (18, 13)], [False, True, False, False], 72, False, [False, False, False, False], 3476, 'East', (16, 8))
Element 15: (1, (16, 8), ['', '', '', ''], [(16, 13), (18, 7), (17, 13)], [False, False, False, False], 70, False, [False, False, False, False], 3485, 'East', (17, 8))
Element 16: (1, (17, 8), ['', '', '%', 'G'], [(17, 13), (18, 8), (17, 12)], [False, False, True, False], 68, False, [False, False, False, False], 3484, 'South', (17, 7))
Element 17: (1, (17, 7), ['', '', 'G', ''], [(18, 13), (17, 8), (16, 12)], [False, False, False, False], 66, False, [False, False, False, False], 3483, 'East', (18, 7))
Element 18: (1, (18, 7), ['', '', '', '%'], [(17, 13), (16, 8), (17, 12)], [False, False, False, True], 64, False, [False, False, False, False], 3482, 'North', (18, 8))
Element 19: (1, (18, 8), ['', '', '%', '%'], [(17, 12), (16, 9), (16, 12)], [False, False, True, True], 62, False, [False, False, False, False], 3481, 'South', (18, 7))
Element 20: (1, (18, 7), ['', '', '', '%'], [(16, 12), (16, 10), (16, 13)], [False, False, False, True], 60, False, [False, False, False, False], 3480, 'South', (18, 6))
Element 21: (1, (18, 6), ['', '%', '', '%'], [(17, 12), (16, 11), (15, 13)], [False, True, False, True], 58, False, [False, False, False, False], 3479, 'West', (17, 6))
Element 22: (1, (17, 6), ['', '%', '', ''], [(17, 13), (16, 12), (14, 13)], [False, True, False, False], 56, False, [False, False, False, False], 3488, 'West', (16, 6))
Element 23: (1, (16, 6), ['', '%', '', ''], [(16, 13), (17, 12), (14, 12)], [False, True, False, False], 54, False, [False, False, False, False], 3497, 'North', (16, 7))
Element 24: (1, (16, 7), ['%', '', '', ''], [(16, 12), (17, 13), (14, 11)], [True, False, False, False], 52, False, [False, False, False, False], 3506, 'South', (16, 6))
Element 25: (1, (16, 6), ['', '%', '', ''], [(16, 13), (18, 13), (14, 10)], [False, True, False, False], 50, False, [False, False, False, False], 3515, 'West', (15, 6))
Element 26: (1, (15, 6), ['', '', '%', ''], [(15, 13), (17, 13), (13, 10)], [False, False, True, False], 48, False, [False, False, False, False], 3524, 'South', (15, 5))
Element 27: (1, (15, 5), ['', '', '', '%'], [(14, 13), (16, 13), (13, 11)], [False, False, False, True], 46, False, [False, False, False, False], 3533, 'South', (15, 4))
Element 28: (1, (15, 4), ['', '.', '', '%'], [(13, 13), (15, 13), (13, 12)], [False, False, False, True], 44, False, [False, True, False, False], 3552, 'South', (15, 3))
Element 29: (1, (15, 3), ['%', '%', '', '.'], [(12, 13), (15, 12), (13, 11)], [True, True, False, False], 42, False, [False, False, False, True], 3571, 'East', (16, 3))
Element 30: (1, (16, 3), ['', 'F', '%', '.'], [(11, 13), (15, 11), (12, 11)], [False, False, True, False], 40, False, [False, False, False, True], 3600, 'South', (16, 2))
Element 31: (1, (16, 2), ['%', '.', '', '%'], [(10, 13), (15, 10), (12, 10)], [True, False, False, True], 38, False, [False, True, False, False], 4619, 'South', (16, 1))
Element 32: (1, (16, 1), ['.', '%', '', '.'], [(10, 12), (15, 9), (11, 10)], [False, True, False, False], 36, False, [True, False, False, True], 4648, 'East', (17, 1))
Element 33: (1, (17, 1), ['', '%', '%', '%'], [(10, 11), (15, 8), (11, 11)], [False, True, True, True], 34, False, [False, False, False, False], 4677, 'West', (16, 1))
