Element 1: (3, (12, 6), ['', '.', 'G', '%'], [(12, 7), (9, 4), (11, 5)], [False, False, False, True], 98, False, [False, True, False, False], 1019, 'South', (12, 5))
Element 2: (3, (12, 5), ['', '.', '', '.'], [(13, 7), (9, 5), (11, 4)], [False, False, False, False], 96, False, [False, True, False, True], 1058, 'East', (13, 5))
Element 3: (3, (13, 5), ['', '.', '%', '.'], [(14, 7), (10, 5), (12, 4)], [False, False, True, False], 94, False, [False, True, False, True], 1097, 'East', (14, 5))
Element 4: (3, (14, 5), ['', '.', '.', '.'], [(14, 8), (10, 6), (13, 4)], [False, False, False, False], 92, False, [False, True, True, True], 1136, 'East', (15, 5))
Element 5: (3, (15, 5), ['', '.', '.', '%'], [(15, 8), (9, 6), (14, 4)], [False, False, False, True], 90, False, [False, True, True, False], 1175, 'North', (15, 6))
Element 6: (3, (15, 6), ['.', '', '%', '.'], [(16, 8), (8, 6), (15, 4)], [False, False, True, False], 88, False, [True, False, False, True], 1214, 'East', (16, 6))
Element 7: (3, (16, 6), ['', '%', '.', '.'], [(16, 9), (8, 5), (15, 3)], [False, True, False, False], 86, False, [False, False, True, True], 2243, 'East', (17, 6))
Element 8: (3, (17, 6), ['', '%', '.', '.'], [(16, 10), (7, 5), (16, 3)], [False, True, False, False], 84, False, [False, False, True, True], 2282, 'East', (18, 6))
Element 9: (3, (18, 6), ['', '%', '.', '%'], [(16, 11), (7, 6), (16, 2)], [False, True, False, True], 82, False, [False, False, True, False], 3311, 'North', (18, 7))
Element 10: (3, (18, 7), ['.', '', '.', '%'], [(16, 12), (6, 6), (16, 1)], [False, False, False, True], 80, False, [True, False, True, False], 3350, 'North', (18, 8))
Element 11: (3, (18, 8), ['.', '', '%', '%'], [(17, 12), (6, 5), (17, 1)], [False, False, True, True], 78, False, [True, False, False, False], 3389, 'West', (17, 8))
Element 12: (3, (17, 8), ['', '.', '%', ''], [(17, 13), (6, 4), (16, 1)], [False, False, True, False], 76, False, [False, True, False, False], 3418, 'South', (17, 7))
Element 13: (3, (17, 7), ['.', '', '', ''], [(18, 13), (7, 4), (15, 1)], [False, False, False, False], 74, False, [True, False, False, False], 3457, 'West', (16, 7))
Element 14: (3, (16, 7), ['%', '', '', ''], [(17, 13), (7, 3), (14, 1)], [True, False, False, False], 72, False, [False, False, False, False], 3486, 'North', (16, 8))
Element 15: (3, (16, 8), ['', '', '', ''], [(16, 13), (8, 3), (13, 1)], [False, False, False, False], 70, False, [False, False, False, False], 3515, 'North', (16, 9))
Element 16: (3, (16, 9), ['.', '', '', '%'], [(15, 13), (9, 3), (12, 1)], [False, False, False, True], 68, False, [True, False, False, False], 3544, 'West', (15, 9))
Element 17: (3, (15, 9), ['.', '', '.', ''], [(15, 12), (10, 3), (11, 1)], [False, False, False, False], 66, False, [True, False, True, False], 3583, 'North', (15, 10))
Element 18: (3, (15, 10), ['.', '', 'G', ''], [(15, 11), (11, 3), (10, 1)], [False, False, False, False], 64, False, [True, False, False, False], 3622, 'West', (14, 10))
Element 19: (3, (14, 10), ['.', '.', 'G', ''], [(14, 11), (12, 3), (9, 1)], [False, False, False, False], 62, False, [True, True, False, False], 3661, 'South', (14, 9))
Element 20: (3, (14, 9), ['.', '', '', ''], [(14, 12), (13, 3), (8, 1)], [False, False, False, False], 60, False, [True, False, False, False], 3700, 'West', (13, 9))
