Element 1: (1, (6, 8), ['.', '%', '.', ''], [(8, 8), (8, 11), (13, 7)], [False, True, False, False], 98, False, [True, False, True, False], 9, 'North', (6, 9))
Element 2: (1, (6, 9), ['.', '', '.', '.'], [(8, 9), (9, 11), (14, 7)], [False, False, False, False], 96, False, [True, False, True, True], 1038, 'East', (7, 9))
Element 3: (1, (7, 9), ['', '', '.', ''], [(9, 9), (10, 11), (14, 8)], [False, False, False, False], 94, False, [False, False, True, False], 1077, 'North', (7, 10))
Element 4: (1, (7, 10), ['.', '', '.', '.'], [(10, 9), (11, 11), (15, 8)], [False, False, False, False], 92, False, [True, False, True, True], 1116, 'East', (8, 10))
Element 5: (1, (8, 10), ['', '', '', '.'], [(11, 9), (12, 11), (16, 8)], [False, False, False, False], 90, False, [False, False, False, True], 1155, 'East', (9, 10))
Element 6: (1, (9, 10), ['', '', '', '.'], [(12, 9), (13, 11), (16, 9)], [False, False, False, False], 88, False, [False, False, False, True], 2184, 'East', (10, 10))
Element 7: (1, (10, 10), ['', '', '', '.'], [(13, 9), (14, 11), (16, 10)], [False, False, False, False], 86, False, [False, False, False, True], 2223, 'East', (11, 10))
Element 8: (1, (11, 10), ['', '', '', '.'], [(14, 9), (15, 11), (16, 11)], [False, False, False, False], 84, False, [False, False, False, True], 2262, 'East', (12, 10))
Element 9: (1, (12, 10), ['', '', '', '.'], [(15, 9), (15, 12), (16, 12)], [False, False, False, False], 82, False, [False, False, False, True], 2301, 'East', (13, 10))
Element 10: (1, (13, 10), ['', '', '', '.'], [(15, 10), (15, 13), (17, 12)], [False, False, False, False], 80, False, [False, False, False, True], 2340, 'East', (14, 10))
Element 11: (1, (14, 10), ['', '', '', ''], [(16, 10), (16, 13), (17, 13)], [False, False, False, False], 78, False, [False, False, False, False], 2369, 'East', (15, 10))
Element 12: (1, (15, 10), ['', '', '', ''], [(16, 11), (16, 12), (18, 13)], [False, False, False, False], 76, False, [False, False, False, False], 2378, 'East', (16, 10))
Element 13: (1, (16, 10), ['', '', '', '%'], [(16, 12), (17, 12), (17, 13)], [False, False, False, True], 74, False, [False, False, False, False], 2377, 'North', (16, 11))
Element 14: (1, (16, 11), ['', '', '', '%'], [(15, 12), (17, 12), (16, 13)], [False, False, False, True], 72, False, [False, False, False, False], 2376, 'North', (16, 12))
Element 15: (1, (16, 12), ['', '', '', ''], [(14, 12), (17, 13), (15, 13)], [False, False, False, False], 70, False, [False, False, False, False], 2385, 'East', (17, 12))
Element 16: (1, (17, 12), ['', '%', '', '%'], [(13, 12), (18, 13), (14, 13)], [False, True, False, True], 68, False, [False, False, False, False], 2404, 'North', (17, 13))
Element 17: (1, (17, 13), ['', '', '%', 'G'], [(13, 11), (18, 13), (13, 13)], [False, False, True, False], 66, False, [False, False, False, False], 2413, 'West', (16, 13))
Element 18: (1, (16, 13), ['', '', '%', 'G'], [(14, 11), (17, 13), (12, 13)], [False, False, True, False], 64, False, [False, False, False, False], 2422, 'West', (15, 13))
