Element 1: (0, (16, 10), ['G', 'F', '.', '%'], [(13, 13), (14, 13), (15, 10)], [False, False, False, True], 98, False, [False, False, True, False], 0, 'South', (16, 9))
Element 2: (0, (16, 9), ['.', '.', '', '%'], [(13, 12), (15, 13), (15, 11)], [False, False, False, True], 96, False, [True, True, False, False], 1029, 'South', (16, 8))
Element 3: (0, (16, 8), ['.', '.', '', '.'], [(14, 12), (16, 13), (16, 11)], [False, False, False, False], 94, False, [True, True, False, True], 1068, 'East', (17, 8))
Element 4: (0, (17, 8), ['', '.', '%', '.'], [(15, 12), (17, 13), (16, 12)], [False, False, True, False], 92, False, [False, True, False, True], 1107, 'East', (18, 8))
Element 5: (0, (18, 8), ['', '.', '%', '%'], [(15, 13), (18, 13), (17, 12)], [False, False, True, True], 90, False, [False, True, False, False], 1136, 'South', (18, 7))
Element 6: (0, (18, 7), ['.', '.', '', '%'], [(16, 13), (17, 13), (16, 12)], [False, False, False, True], 88, False, [True, True, False, False], 1145, 'South', (18, 6))
Element 7: (0, (18, 6), ['.', '%', '', '%'], [(15, 13), (17, 12), (16, 13)], [False, True, False, True], 86, False, [True, False, False, False], 1154, 'West', (17, 6))
Element 8: (0, (17, 6), ['.', '%', '.', ''], [(14, 13), (16, 12), (17, 13)], [False, True, False, False], 84, False, [True, False, True, False], 1163, 'North', (17, 7))
Element 9: (0, (17, 7), ['.', '', '', ''], [(15, 13), (16, 11), (18, 13)], [False, False, False, False], 82, False, [True, False, False, False], 1172, 'West', (16, 7))
Element 10: (0, (16, 7), ['%', '.', '', ''], [(15, 12), (16, 10), (17, 13)], [True, False, False, False], 80, False, [False, True, False, False], 1181, 'South', (16, 6))
Element 11: (0, (16, 6), ['.', '%', '', ''], [(15, 11), (16, 9), (16, 13)], [False, True, False, False], 78, False, [True, False, False, False], 1190, 'West', (15, 6))
Element 12: (0, (15, 6), ['.', '.', '%', ''], [(14, 11), (15, 9), (15, 13)], [False, False, True, False], 76, False, [True, True, False, False], 1219, 'South', (15, 5))
Element 13: (0, (15, 5), ['.', '.', '', '%'], [(14, 10), (15, 8), (15, 12)], [False, False, False, True], 74, False, [True, True, False, False], 1248, 'South', (15, 4))
