Element 1: (3, (15, 10), ['.', '.', '.', ''], [(16, 9), (13, 12), (15, 13)], [False, False, False, False], 98, False, [True, True, True, False], 1019, 'North', (15, 11))
Element 2: (3, (15, 11), ['.', '', '.', '.'], [(16, 8), (14, 12), (16, 13)], [False, False, False, False], 96, False, [True, False, True, True], 1058, 'East', (16, 11))
Element 3: (3, (16, 11), ['', '', '.', '%'], [(17, 8), (15, 12), (17, 13)], [False, False, False, True], 94, False, [False, False, True, False], 1097, 'North', (16, 12))
Element 4: (3, (16, 12), ['', '', '', '.'], [(18, 8), (15, 13), (18, 13)], [False, False, False, False], 92, False, [False, False, False, True], 1126, 'East', (17, 12))
Element 5: (3, (17, 12), ['', '%', 'G', '%'], [(18, 7), (16, 13), (17, 13)], [False, True, False, True], 90, False, [False, False, False, False], 1145, 'West', (16, 12))
Element 6: (3, (16, 12), ['', '', '', 'G'], [(18, 6), (15, 13), (17, 12)], [False, False, False, False], 88, False, [False, False, False, False], 1154, 'North', (16, 13))
Element 7: (3, (16, 13), ['', 'G', '%', ''], [(17, 6), (14, 13), (16, 12)], [False, False, True, False], 86, False, [False, False, False, False], 1163, 'East', (17, 13))
Element 8: (3, (17, 13), ['', '', '%', ''], [(17, 7), (15, 13), (16, 11)], [False, False, True, False], 84, False, [False, False, False, False], 1172, 'East', (18, 13))
Element 9: (3, (18, 13), ['', '%', '%', '%'], [(16, 7), (15, 12), (16, 10)], [False, True, True, True], 82, False, [False, False, False, False], 1181, 'West', (17, 13))
Element 10: (3, (17, 13), ['', '', '%', ''], [(16, 6), (15, 11), (16, 9)], [False, False, True, False], 80, False, [False, False, False, False], 1190, 'West', (16, 13))
Element 11: (3, (16, 13), ['', '', '%', ''], [(15, 6), (14, 11), (15, 9)], [False, False, True, False], 78, False, [False, False, False, False], 1219, 'West', (15, 13))
Element 12: (3, (15, 13), ['', '', '%', ''], [(15, 5), (14, 10), (15, 8)], [False, False, True, False], 76, False, [False, False, False, False], 1248, 'South', (15, 12))
Element 13: (3, (15, 12), ['', '', '', ''], [(15, 4), (14, 9), (14, 8)], [False, False, False, False], 74, False, [False, False, False, False], 1277, 'West', (14, 12))
Element 14: (3, (14, 12), ['', '', '', ''], [(15, 3), (13, 9), (14, 7)], [False, False, False, False], 72, False, [False, False, False, False], 1306, 'North', (14, 13))
Element 15: (3, (14, 13), ['', '', '%', ''], [(16, 3), (13, 10), (14, 6)], [False, False, True, False], 70, False, [False, False, False, False], 1335, 'West', (13, 13))
Element 16: (3, (13, 13), ['.', '', '%', ''], [(16, 2), (13, 11), (14, 5)], [False, False, True, False], 68, False, [True, False, False, False], 2354, 'West', (12, 13))
Element 17: (3, (12, 13), ['.', '%', '%', ''], [(16, 1), (12, 11), (14, 4)], [False, True, True, False], 66, False, [True, False, False, False], 2393, 'West', (11, 13))
Element 18: (3, (11, 13), ['.', '%', '%', ''], [(17, 1), (12, 10), (13, 4)], [False, True, True, False], 64, False, [True, False, False, False], 2432, 'West', (10, 13))
Element 19: (3, (10, 13), ['.', '.', '%', ''], [(16, 1), (12, 9), (13, 5)], [False, False, True, False], 62, False, [True, True, False, False], 2461, 'South', (10, 12))
Element 20: (3, (10, 12), ['.', '.', '', '%'], [(15, 1), (12, 8), (12, 5)], [False, False, False, True], 60, False, [True, True, False, False], 2500, 'South', (10, 11))
Element 21: (3, (10, 11), ['.', '.', '', '.'], [(14, 1), (13, 8), (11, 5)], [False, False, False, False], 58, False, [True, True, False, True], 3529, 'East', (11, 11))
Element 22: (3, (11, 11), ['', '.', '%', ''], [(13, 1), (13, 7), (11, 6)], [False, False, True, False], 56, False, [False, True, False, False], 3568, 'South', (11, 10))
Element 23: (3, (11, 10), ['.', '.', '', ''], [(12, 1), (12, 7), (12, 6)], [False, False, False, False], 54, False, [True, True, False, False], 3607, 'South', (11, 9))
Element 24: (3, (11, 9), ['.', '%', '', ''], [(11, 1), (11, 7), (12, 7)], [False, True, False, False], 52, False, [True, False, False, False], 3636, 'West', (10, 9))
Element 25: (3, (10, 9), ['.', '%', '.', ''], [(10, 1), (11, 6), (13, 7)], [False, True, False, False], 50, False, [True, False, True, False], 3655, 'North', (10, 10))
Element 26: (3, (10, 10), ['.', '', '', ''], [(9, 1), (10, 6), (13, 8)], [False, False, False, False], 48, False, [True, False, False, False], 3684, 'West', (9, 10))
Element 27: (3, (9, 10), ['.', '.', '.', ''], [(8, 1), (10, 5), (13, 9)], [False, False, False, False], 46, False, [True, True, True, False], 3713, 'North', (9, 11))
Element 28: (3, (9, 11), ['.', '', '.', ''], [(8, 2), (9, 5), (14, 9)], [False, False, False, False], 44, False, [True, False, True, False], 3742, 'North', (9, 12))
Element 29: (3, (9, 12), ['.', '', '.', ''], [(8, 3), (9, 6), (14, 10)], [False, False, False, False], 42, False, [True, False, True, False], 3771, 'North', (9, 13))
Element 30: (3, (9, 13), ['.', '', '%', ''], [(9, 3), (8, 6), (15, 10)], [False, False, True, False], 40, False, [True, False, False, False], 3800, 'West', (8, 13))
Element 31: (3, (8, 13), ['.', '.', '%', ''], [(10, 3), (8, 5), (15, 11)], [False, False, True, False], 38, False, [True, True, False, False], 3829, 'South', (8, 12))
Element 32: (3, (8, 12), ['.', '.', '', ''], [(11, 3), (8, 4), (15, 12)], [False, False, False, False], 36, False, [True, True, False, False], 3858, 'South', (8, 11))
Element 33: (3, (8, 11), ['.', '.', '', ''], [(12, 3), (9, 4), (14, 12)], [False, False, False, False], 34, False, [True, True, False, False], 3887, 'South', (8, 10))
Element 34: (3, (8, 10), ['.', 'F', '', ''], [(13, 3), (9, 3), (14, 11)], [False, False, False, False], 32, False, [True, False, False, False], 3906, 'South', (8, 9))
Element 35: (3, (8, 9), ['.', '.', '', '.'], [(13, 4), (10, 3), (13, 11)], [False, False, False, False], 30, False, [True, True, False, True], 4905, 'East', (9, 9))
Element 36: (3, (9, 9), ['', '%', '', ''], [(12, 4), (11, 3), (13, 12)], [False, True, False, False], 28, False, [False, False, False, False], 4924, 'West', (8, 9))
Element 37: (3, (8, 9), ['.', '.', '', ''], [(11, 4), (12, 3), (13, 13)], [False, False, False, False], 26, False, [True, True, False, False], 4933, 'South', (8, 8))
Element 38: (3, (8, 8), ['.', '%', '', '%'], [(11, 5), (13, 3), (12, 13)], [False, True, False, True], 24, False, [True, False, False, False], 4942, 'West', (7, 8))
Element 39: (3, (7, 8), ['.', '%', '.', ''], [(12, 5), (13, 4), (11, 13)], [False, True, False, False], 22, False, [True, False, True, False], 4951, 'North', (7, 9))
Element 40: (3, (7, 9), ['.', '', '.', ''], [(13, 5), (14, 4), (10, 13)], [False, False, False, False], 20, False, [True, False, True, False], 4960, 'North', (7, 10))
Element 41: (3, (7, 10), ['.', '', '.', ''], [(14, 5), (15, 4), (10, 12)], [False, False, False, False], 18, False, [True, False, True, False], 4969, 'North', (7, 11))
Element 42: (3, (7, 11), ['.', '', '.', ''], [(14, 6), (15, 5), (10, 11)], [False, False, False, False], 16, False, [True, False, True, False], 4978, 'North', (7, 12))
Element 43: (3, (7, 12), ['.', '', '.', ''], [(14, 7), (15, 6), (11, 11)], [False, False, False, False], 14, False, [True, False, True, False], 4987, 'North', (7, 13))
Element 44: (3, (7, 13), ['.', '', '%', ''], [(14, 8), (16, 6), (12, 11)], [False, False, True, False], 12, False, [True, False, False, False], 4996, 'West', (6, 13))
Element 45: (3, (6, 13), ['.', '.', '%', ''], [(15, 8), (17, 6), (12, 10)], [False, False, True, False], 10, False, [True, True, False, False], 5005, 'South', (6, 12))
Element 46: (3, (6, 12), ['.', '.', '', ''], [(15, 9), (18, 6), (13, 10)], [False, False, False, False], 8, False, [True, True, False, False], 5014, 'South', (6, 11))
Element 47: (3, (6, 11), ['.', '.', '', ''], [(15, 10), (18, 7), (12, 10)], [False, False, False, False], 6, False, [True, True, False, False], 5023, 'South', (6, 10))
Element 48: (3, (6, 10), ['.', '.', '', ''], [(15, 11), (18, 8), (12, 9)], [False, False, False, False], 4, False, [True, True, False, False], 5032, 'South', (6, 9))
Element 49: (3, (6, 9), ['.', '.', '', ''], [(16, 11), (17, 8), (12, 8)], [False, False, False, False], 2, False, [True, True, False, False], 5041, 'South', (6, 8))
Element 50: (3, (6, 8), ['.', '%', '', ''], [(16, 11), (17, 8), (12, 8)], [False, True, False, False], 0, False, [True, False, False, False], 5050, 'Stop', (6, 8))
Element 51: #0#
