Element 1: (3, (16, 10), ['.', 'F', 'G', '%'], [(16, 11), (6, 12), (10, 5)], [False, False, False, True], 98, False, [True, False, False, False], 29, 'South', (16, 9))
Element 2: (3, (16, 9), ['.', '.', '', '%'], [(16, 12), (7, 12), (11, 5)], [False, False, False, True], 96, False, [True, True, False, False], 2048, 'South', (16, 8))
Element 3: (3, (16, 8), ['.', '.', '', '.'], [(17, 12), (8, 12), (12, 5)], [False, False, False, False], 94, False, [True, True, False, True], 2087, 'East', (17, 8))
Element 4: (3, (17, 8), ['', '.', '%', '.'], [(17, 13), (9, 12), (13, 5)], [False, False, True, False], 92, False, [False, True, False, True], 2126, 'East', (18, 8))
Element 5: (3, (18, 8), ['', '.', '%', '%'], [(18, 13), (10, 12), (14, 5)], [False, False, True, True], 90, False, [False, True, False, False], 2165, 'South', (18, 7))
Element 6: (3, (18, 7), ['.', '.', '', '%'], [(17, 13), (10, 13), (15, 5)], [False, False, False, True], 88, False, [True, True, False, False], 2194, 'South', (18, 6))
Element 7: (3, (18, 6), ['.', '%', '', '%'], [(16, 13), (11, 13), (15, 6)], [False, True, False, True], 86, False, [True, False, False, False], 2233, 'West', (17, 6))
Element 8: (3, (17, 6), ['G', '%', '.', ''], [(15, 13), (12, 13), (16, 6)], [False, True, False, False], 84, False, [False, False, True, False], 2272, 'North', (17, 7))
Element 9: (3, (17, 7), ['G', '', '', ''], [(15, 12), (13, 13), (16, 7)], [False, False, False, False], 82, False, [False, False, False, False], 2311, 'South', (17, 6))
Element 10: (3, (17, 6), ['', '%', 'G', ''], [(14, 12), (14, 13), (17, 7)], [False, True, False, False], 80, False, [False, False, False, False], 2330, 'East', (18, 6))
Element 11: (3, (18, 6), ['', '%', 'G', '%'], [(14, 11), (15, 13), (18, 7)], [False, True, False, True], 78, False, [False, False, False, False], 2339, 'West', (17, 6))
Element 12: (3, (17, 6), ['', '%', '', ''], [(14, 10), (16, 13), (18, 8)], [False, True, False, False], 76, False, [False, False, False, False], 2348, 'North', (17, 7))
Element 13: (3, (17, 7), ['', '', 'G', ''], [(15, 10), (17, 13), (17, 8)], [False, False, False, False], 74, False, [False, False, False, False], 2357, 'East', (18, 7))
Element 14: (3, (18, 7), ['', '', '', '%'], [(15, 9), (18, 13), (16, 8)], [False, False, False, True], 72, False, [False, False, False, False], 2366, 'North', (18, 8))
Element 15: (3, (18, 8), ['', '', '%', '%'], [(15, 8), (17, 13), (16, 9)], [False, False, True, True], 70, False, [False, False, False, False], 2375, 'West', (17, 8))
Element 16: (3, (17, 8), ['', '', '%', ''], [(14, 8), (17, 12), (16, 10)], [False, False, True, False], 68, False, [False, False, False, False], 2384, 'South', (17, 7))
Element 17: (3, (17, 7), ['', '', '', ''], [(14, 9), (16, 12), (16, 11)], [False, False, False, False], 66, False, [False, False, False, False], 2393, 'North', (17, 8))
Element 18: (3, (17, 8), ['', '', '%', ''], [(13, 9), (15, 12), (16, 12)], [False, False, True, False], 64, False, [False, False, False, False], 2402, 'West', (16, 8))
Element 19: (3, (16, 8), ['', '', '', ''], [(13, 10), (15, 11), (17, 12)], [False, False, False, False], 62, False, [False, False, False, False], 2411, 'South', (16, 7))
Element 20: (3, (16, 7), ['%', '', '', ''], [(13, 11), (16, 11), (17, 13)], [True, False, False, False], 60, False, [False, False, False, False], 2420, 'South', (16, 6))
Element 21: (3, (16, 6), ['', '%', '', ''], [(13, 12), (16, 10), (18, 13)], [False, True, False, False], 58, False, [False, False, False, False], 2429, 'West', (15, 6))
Element 22: (3, (15, 6), ['.', '', '%', ''], [(13, 13), (16, 9), (17, 13)], [False, False, True, False], 56, False, [True, False, False, False], 2428, 'West', (14, 6))
Element 23: (3, (14, 6), ['%', '', '.', ''], [(14, 13), (16, 8), (16, 13)], [True, False, False, False], 54, False, [False, False, True, False], 2437, 'North', (14, 7))
Element 24: (3, (14, 7), ['.', '', '', '%'], [(13, 13), (17, 8), (15, 13)], [False, False, False, True], 52, False, [True, False, False, False], 2446, 'West', (13, 7))
Element 25: (3, (13, 7), ['.', '%', '.', ''], [(12, 13), (18, 8), (15, 12)], [False, True, False, False], 50, False, [True, False, True, False], 2455, 'North', (13, 8))
Element 26: (3, (13, 8), ['.', '', '', ''], [(11, 13), (18, 7), (15, 11)], [False, False, False, False], 48, False, [True, False, False, False], 2464, 'West', (12, 8))
Element 27: (3, (12, 8), ['%', '.', '.', ''], [(10, 13), (18, 6), (15, 10)], [True, False, False, False], 46, False, [False, True, True, False], 2473, 'North', (12, 9))
Element 28: (3, (12, 9), ['.', '', '.', ''], [(9, 13), (17, 6), (15, 9)], [False, False, False, False], 44, False, [True, False, True, False], 2492, 'North', (12, 10))
Element 29: (3, (12, 10), ['.', '', '.', ''], [(8, 13), (17, 7), (15, 8)], [False, False, False, False], 42, False, [True, False, True, False], 2511, 'North', (12, 11))
