Element 1: (2, (13, 8), ['.', '.', 'G', '.'], [(11, 11), (6, 2), (13, 9)], [False, False, False, False], 98, False, [True, True, False, True], 19, 'East', (14, 8))
Element 2: (2, (14, 8), ['', '.', 'G', '.'], [(12, 11), (7, 2), (14, 9)], [False, False, False, False], 96, False, [False, True, False, True], 58, 'East', (15, 8))
Element 3: (2, (15, 8), ['', '%', 'G', '.'], [(13, 11), (8, 2), (15, 9)], [False, True, False, False], 94, False, [False, False, False, True], 97, 'East', (16, 8))
Element 4: (2, (16, 8), ['', '.', 'G', '.'], [(14, 11), (8, 3), (16, 9)], [False, False, False, False], 92, False, [False, True, False, True], 1126, 'East', (17, 8))
Element 5: (2, (17, 8), ['', '.', '%', '.'], [(15, 11), (9, 3), (16, 10)], [False, False, True, False], 90, False, [False, True, False, True], 1165, 'East', (18, 8))
Element 6: (2, (18, 8), ['', '.', '%', '%'], [(15, 12), (10, 3), (16, 11)], [False, False, True, True], 88, False, [False, True, False, False], 1204, 'South', (18, 7))
Element 7: (2, (18, 7), ['.', '.', '', '%'], [(15, 13), (11, 3), (16, 12)], [False, False, False, True], 86, False, [True, True, False, False], 1243, 'South', (18, 6))
Element 8: (2, (18, 6), ['.', '%', '', '%'], [(16, 13), (12, 3), (17, 12)], [False, True, False, True], 84, False, [True, False, False, False], 1282, 'West', (17, 6))
Element 9: (2, (17, 6), ['.', '%', '.', ''], [(16, 12), (13, 3), (17, 13)], [False, True, False, False], 82, False, [True, False, True, False], 1311, 'North', (17, 7))
Element 10: (2, (17, 7), ['.', '', '', ''], [(17, 12), (13, 4), (18, 13)], [False, False, False, False], 80, False, [True, False, False, False], 1340, 'West', (16, 7))
Element 11: (2, (16, 7), ['%', '.', '', ''], [(16, 12), (14, 4), (17, 13)], [True, False, False, False], 78, False, [False, True, False, False], 1359, 'South', (16, 6))
Element 12: (2, (16, 6), ['.', '%', '', ''], [(16, 11), (15, 4), (16, 13)], [False, True, False, False], 76, False, [True, False, False, False], 1378, 'West', (15, 6))
Element 13: (2, (15, 6), ['.', 'G', '%', ''], [(16, 10), (15, 5), (15, 13)], [False, False, True, False], 74, False, [True, False, False, False], 1397, 'West', (14, 6))
Element 14: (2, (14, 6), ['%', 'G', '.', ''], [(15, 10), (14, 5), (14, 13)], [True, False, False, False], 72, False, [False, False, True, False], 1436, 'North', (14, 7))
Element 15: (2, (14, 7), ['.', '', '', '%'], [(14, 10), (13, 5), (14, 12)], [False, False, False, True], 70, False, [True, False, False, False], 1475, 'West', (13, 7))
Element 16: (2, (13, 7), ['.', '%', '', ''], [(13, 10), (12, 5), (13, 12)], [False, True, False, False], 68, False, [True, False, False, False], 1514, 'West', (12, 7))
Element 17: (2, (12, 7), ['.', '.', '.', ''], [(12, 10), (11, 5), (13, 13)], [False, False, False, False], 66, False, [True, True, True, False], 2543, 'North', (12, 8))
Element 18: (2, (12, 8), ['%', '', 'G', ''], [(12, 9), (11, 6), (12, 13)], [True, False, False, False], 64, False, [False, False, False, False], 2582, 'South', (12, 7))
Element 19: (2, (12, 7), ['.', 'G', '', ''], [(11, 9), (12, 6), (11, 13)], [False, False, False, False], 62, False, [True, False, False, False], 2611, 'North', (12, 8))
Element 20: (2, (12, 8), ['%', 'G', '', ''], [(11, 10), (12, 7), (10, 13)], [True, False, False, False], 60, False, [False, False, False, False], 2630, 'North', (12, 9))
Element 21: (2, (12, 9), ['', '', '', ''], [(10, 10), (11, 7), (10, 12)], [False, False, False, False], 58, False, [False, False, False, False], 2659, 'East', (13, 9))
Element 22: (2, (13, 9), ['', '', '', ''], [(10, 9), (12, 7), (9, 12)], [False, False, False, False], 56, False, [False, False, False, False], 2678, 'East', (14, 9))
