Element 1: (3, (16, 10), ['.', 'F', '.', '%'], [(5, 11), (8, 9), (10, 12)], [False, False, False, True], 98, False, [True, False, True, False], 1019, 'South', (16, 9))
Element 2: (3, (16, 9), ['.', '.', '', '%'], [(6, 11), (9, 9), (10, 13)], [False, False, False, True], 96, False, [True, True, False, False], 2048, 'South', (16, 8))
Element 3: (3, (16, 8), ['.', '.', '', '.'], [(7, 11), (10, 9), (11, 13)], [False, False, False, False], 94, False, [True, True, False, True], 2087, 'East', (17, 8))
Element 4: (3, (17, 8), ['', '.', '%', '.'], [(8, 11), (11, 9), (12, 13)], [False, False, True, False], 92, False, [False, True, False, True], 2126, 'East', (18, 8))
Element 5: (3, (18, 8), ['', '.', '%', '%'], [(9, 11), (12, 9), (13, 13)], [False, False, True, True], 90, False, [False, True, False, False], 2165, 'South', (18, 7))
Element 6: (3, (18, 7), ['.', '.', '', '%'], [(10, 11), (13, 9), (14, 13)], [False, False, False, True], 88, False, [True, True, False, False], 2204, 'South', (18, 6))
Element 7: (3, (18, 6), ['.', '%', '', '%'], [(11, 11), (14, 9), (15, 13)], [False, True, False, True], 86, False, [True, False, False, False], 2243, 'West', (17, 6))
Element 8: (3, (17, 6), ['.', '%', '.', ''], [(12, 11), (15, 9), (16, 13)], [False, True, False, False], 84, False, [True, False, True, False], 2282, 'North', (17, 7))
Element 9: (3, (17, 7), ['.', '', '', ''], [(13, 11), (15, 10), (17, 13)], [False, False, False, False], 82, False, [True, False, False, False], 2321, 'West', (16, 7))
Element 10: (3, (16, 7), ['%', '.', '', ''], [(14, 11), (15, 11), (18, 13)], [True, False, False, False], 80, False, [False, True, False, False], 2360, 'South', (16, 6))
Element 11: (3, (16, 6), ['.', '%', '', ''], [(14, 12), (16, 11), (17, 13)], [False, True, False, False], 78, False, [True, False, False, False], 2389, 'West', (15, 6))
Element 12: (3, (15, 6), ['.', '.', '%', ''], [(15, 12), (16, 12), (17, 12)], [False, False, True, False], 76, False, [True, True, False, False], 2428, 'South', (15, 5))
Element 13: (3, (15, 5), ['.', '.', '', '%'], [(15, 13), (16, 13), (16, 12)], [False, False, False, True], 74, False, [True, True, False, False], 2437, 'South', (15, 4))
