Element 1: (1, (8, 8), ['.', '%', 'F', '%'], [(3, 5), (10, 13), (13, 5)], [False, True, False, True], 98, False, [True, False, False, False], 9, 'North', (8, 9))
Element 2: (1, (8, 9), ['.', '', '.', '.'], [(3, 4), (11, 13), (12, 5)], [False, False, False, False], 96, False, [True, False, True, True], 1038, 'West', (7, 9))
Element 3: (1, (7, 9), ['.', '.', '.', ''], [(2, 4), (12, 13), (11, 5)], [False, False, False, False], 94, False, [True, True, True, False], 2067, 'North', (7, 10))
Element 4: (1, (7, 10), ['.', '', '.', '.'], [(2, 3), (13, 13), (11, 6)], [False, False, False, False], 92, False, [True, False, True, True], 2106, 'North', (7, 11))
Element 5: (1, (7, 11), ['.', '', '.', '.'], [(3, 3), (14, 13), (12, 6)], [False, False, False, False], 90, False, [True, False, True, True], 2145, 'East', (8, 11))
Element 6: (1, (8, 11), ['', '.', '.', '.'], [(3, 2), (15, 13), (12, 7)], [False, False, False, False], 88, False, [False, True, True, True], 2184, 'East', (9, 11))
Element 7: (1, (9, 11), ['', '.', '.', '.'], [(4, 2), (16, 13), (13, 7)], [False, False, False, False], 86, False, [False, True, True, True], 2223, 'East', (10, 11))
Element 8: (1, (10, 11), ['', '.', '.', '.'], [(5, 2), (17, 13), (14, 7)], [False, False, False, False], 84, False, [False, True, True, True], 2262, 'East', (11, 11))
Element 9: (1, (11, 11), ['', '.', '%', '.'], [(5, 1), (18, 13), (14, 8)], [False, False, True, False], 82, False, [False, True, False, True], 2301, 'East', (12, 11))
Element 10: (1, (12, 11), ['', '.', '%', '.'], [(6, 1), (17, 13), (15, 8)], [False, False, True, False], 80, False, [False, True, False, True], 2330, 'East', (13, 11))
Element 11: (1, (13, 11), ['', '.', '.', '.'], [(7, 1), (17, 12), (16, 8)], [False, False, False, False], 78, False, [False, True, True, True], 2369, 'East', (14, 11))
Element 12: (1, (14, 11), ['', '.', '.', '.'], [(8, 1), (16, 12), (16, 9)], [False, False, False, False], 76, False, [False, True, True, True], 3398, 'East', (15, 11))
Element 13: (1, (15, 11), ['', '.', '.', 'G'], [(9, 1), (16, 11), (16, 10)], [False, False, False, False], 74, False, [False, True, True, False], 3437, 'North', (15, 12))
Element 14: (1, (15, 12), ['.', 'G', '', ''], [(10, 1), (15, 11), (15, 10)], [False, False, False, False], 72, False, [True, False, False, False], 3466, 'West', (14, 12))
Element 15: (1, (14, 12), ['.', '', '', 'G'], [(11, 1), (15, 12), (14, 10)], [False, False, False, False], 70, False, [True, False, False, False], 3495, 'West', (13, 12))
Element 16: (1, (13, 12), ['%', '', '', 'G'], [(12, 1), (14, 12), (14, 9)], [True, False, False, False], 68, False, [False, False, False, False], 3524, 'North', (13, 13))
Element 17: (1, (13, 13), ['', '', '%', ''], [(13, 1), (14, 11), (15, 9)], [False, False, True, False], 66, False, [False, False, False, False], 3543, 'East', (14, 13))
Element 18: (1, (14, 13), ['', '', '%', ''], [(14, 1), (14, 10), (14, 9)], [False, False, True, False], 64, False, [False, False, False, False], 3552, 'East', (15, 13))
Element 19: (1, (15, 13), ['', '', '%', ''], [(15, 1), (13, 10), (13, 9)], [False, False, True, False], 62, False, [False, False, False, False], 3581, 'East', (16, 13))
