Element 1: (3, (13, 5), ['.', '.', '%', '.'], [(3, 5), (8, 9), (11, 13)], [False, False, True, False], 98, False, [True, True, False, True], 1019, 'West', (12, 5))
Element 2: (3, (12, 5), ['F', '.', '.', ''], [(3, 4), (7, 9), (12, 13)], [False, False, False, False], 96, False, [False, True, True, False], 1058, 'West', (11, 5))
Element 3: (3, (11, 5), ['.', '.', '.', ''], [(2, 4), (7, 10), (13, 13)], [False, False, False, False], 94, False, [True, True, True, False], 2087, 'North', (11, 6))
Element 4: (3, (11, 6), ['.', '', '.', '.'], [(2, 3), (7, 11), (14, 13)], [False, False, False, False], 92, False, [True, False, True, True], 2126, 'East', (12, 6))
Element 5: (3, (12, 6), ['', '', '.', '%'], [(3, 3), (8, 11), (15, 13)], [False, False, False, True], 90, False, [False, False, True, False], 2165, 'North', (12, 7))
Element 6: (3, (12, 7), ['.', '', '.', '.'], [(3, 2), (9, 11), (16, 13)], [False, False, False, False], 88, False, [True, False, True, True], 2204, 'East', (13, 7))
Element 7: (3, (13, 7), ['', '%', '.', '.'], [(4, 2), (10, 11), (17, 13)], [False, True, False, False], 86, False, [False, False, True, True], 2243, 'East', (14, 7))
Element 8: (3, (14, 7), ['', '.', '.', '%'], [(5, 2), (11, 11), (18, 13)], [False, False, False, True], 84, False, [False, True, True, False], 2282, 'North', (14, 8))
Element 9: (3, (14, 8), ['.', '', '.', '.'], [(5, 1), (12, 11), (17, 13)], [False, False, False, False], 82, False, [True, False, True, True], 2311, 'East', (15, 8))
Element 10: (3, (15, 8), ['', '%', '.', '.'], [(6, 1), (13, 11), (17, 12)], [False, True, False, False], 80, False, [False, False, True, True], 2350, 'East', (16, 8))
Element 11: (3, (16, 8), ['', '.', 'F', '.'], [(7, 1), (14, 11), (16, 12)], [False, False, False, False], 78, False, [False, True, False, True], 2389, 'North', (16, 9))
Element 12: (3, (16, 9), ['.', '', '.', '%'], [(8, 1), (15, 11), (16, 11)], [False, False, False, True], 76, False, [True, False, True, False], 3418, 'North', (16, 10))
Element 13: (3, (16, 10), ['.', '', '', '%'], [(9, 1), (15, 12), (15, 11)], [False, False, False, True], 74, False, [True, False, False, False], 3447, 'West', (15, 10))
Element 14: (3, (15, 10), ['.', '.', '', ''], [(10, 1), (14, 12), (15, 12)], [False, False, False, False], 72, False, [True, True, False, False], 3476, 'West', (14, 10))
Element 15: (3, (14, 10), ['.', '.', '', ''], [(11, 1), (13, 12), (14, 12)], [False, False, False, False], 70, False, [True, True, False, False], 3505, 'South', (14, 9))
Element 16: (3, (14, 9), ['.', '', '', '.'], [(12, 1), (13, 13), (14, 11)], [False, False, False, False], 68, False, [True, False, False, True], 3524, 'East', (15, 9))
Element 17: (3, (15, 9), ['', '', '', ''], [(13, 1), (14, 13), (14, 10)], [False, False, False, False], 66, False, [False, False, False, False], 3543, 'West', (14, 9))
Element 18: (3, (14, 9), ['.', '', '', ''], [(14, 1), (15, 13), (13, 10)], [False, False, False, False], 64, False, [True, False, False, False], 3562, 'West', (13, 9))
Element 19: (3, (13, 9), ['.', '.', '', ''], [(15, 1), (16, 13), (12, 10)], [False, False, False, False], 62, False, [True, True, False, False], 3591, 'West', (12, 9))
Element 20: (3, (12, 9), ['.', '.', '', ''], [(16, 1), (17, 13), (11, 10)], [False, False, False, False], 60, False, [True, True, False, False], 3620, 'South', (12, 8))
Element 21: (3, (12, 8), ['%', '', '', '.'], [(16, 2), (18, 13), (11, 9)], [True, False, False, False], 58, False, [False, False, False, True], 4639, 'East', (13, 8))
Element 22: (3, (13, 8), ['', '', '', ''], [(16, 3), (17, 13), (10, 9)], [False, False, False, False], 56, False, [False, False, False, False], 4668, 'West', (12, 8))
Element 23: (3, (12, 8), ['%', '', '', ''], [(17, 3), (17, 12), (10, 10)], [True, False, False, False], 54, False, [False, False, False, False], 4687, 'North', (12, 9))
Element 24: (3, (12, 9), ['', '', '', ''], [(18, 3), (16, 12), (9, 10)], [False, False, False, False], 52, False, [False, False, False, False], 4706, 'West', (11, 9))
Element 25: (3, (11, 9), ['', '%', '', ''], [(17, 3), (16, 11), (9, 9)], [False, True, False, False], 50, False, [False, False, False, False], 4715, 'North', (11, 10))
Element 26: (3, (11, 10), ['', '', '', ''], [(16, 3), (16, 10), (8, 9)], [False, False, False, False], 48, False, [False, False, False, False], 4714, 'East', (12, 10))
Element 27: (3, (12, 10), ['', '', '', ''], [(15, 3), (16, 9), (8, 10)], [False, False, False, False], 46, False, [False, False, False, False], 4733, 'East', (13, 10))
Element 28: (3, (13, 10), ['', '', '', ''], [(15, 4), (16, 8), (8, 11)], [False, False, False, False], 44, False, [False, False, False, False], 4742, 'North', (13, 11))
Element 29: (3, (13, 11), ['', '', '', ''], [(15, 5), (17, 8), (8, 12)], [False, False, False, False], 42, False, [False, False, False, False], 4771, 'East', (14, 11))
Element 30: (3, (14, 11), ['', '', '', ''], [(15, 6), (17, 7), (9, 12)], [False, False, False, False], 40, False, [False, False, False, False], 4800, 'East', (15, 11))
Element 31: (3, (15, 11), ['', '', '', ''], [(16, 6), (18, 7), (10, 12)], [False, False, False, False], 38, False, [False, False, False, False], 4829, 'East', (16, 11))
Element 32: (3, (16, 11), ['', '', '', '%'], [(17, 6), (18, 8), (10, 11)], [False, False, False, True], 36, False, [False, False, False, False], 4848, 'North', (16, 12))
Element 33: (3, (16, 12), ['', '', '', ''], [(18, 6), (18, 7), (11, 11)], [False, False, False, False], 34, False, [False, False, False, False], 4857, 'East', (17, 12))
Element 34: (3, (17, 12), ['', '%', '', '%'], [(17, 6), (18, 6), (12, 11)], [False, True, False, True], 32, False, [False, False, False, False], 4856, 'North', (17, 13))
Element 35: (3, (17, 13), ['', '', '%', ''], [(17, 7), (17, 6), (13, 11)], [False, False, True, False], 30, False, [False, False, False, False], 4855, 'East', (18, 13))
Element 36: (3, (18, 13), ['', '%', '%', '%'], [(16, 7), (16, 6), (13, 12)], [False, True, True, True], 28, False, [False, False, False, False], 4864, 'West', (17, 13))
Element 37: (3, (17, 13), ['', '', '%', ''], [(16, 8), (16, 7), (13, 11)], [False, False, True, False], 26, False, [False, False, False, False], 4863, 'West', (16, 13))
Element 38: (3, (16, 13), ['', '', '%', ''], [(17, 8), (16, 6), (12, 11)], [False, False, True, False], 24, False, [False, False, False, False], 4862, 'West', (15, 13))
Element 39: (3, (15, 13), ['', '', '%', ''], [(18, 8), (15, 6), (11, 11)], [False, False, True, False], 22, False, [False, False, False, False], 4861, 'South', (15, 12))
Element 40: (3, (15, 12), ['', '', '', ''], [(18, 7), (14, 6), (10, 11)], [False, False, False, False], 20, False, [False, False, False, False], 4870, 'West', (14, 12))
Element 41: (3, (14, 12), ['', '', '', ''], [(18, 8), (14, 5), (9, 11)], [False, False, False, False], 18, False, [False, False, False, False], 4879, 'North', (14, 13))
Element 42: (3, (14, 13), ['', '', '%', ''], [(17, 8), (14, 4), (10, 11)], [False, False, True, False], 16, False, [False, False, False, False], 4888, 'West', (13, 13))
Element 43: (3, (13, 13), ['', '', '%', ''], [(16, 8), (13, 4), (10, 12)], [False, False, True, False], 14, False, [False, False, False, False], 4897, 'South', (13, 12))
Element 44: (3, (13, 12), ['%', '', '', ''], [(16, 9), (13, 3), (9, 12)], [True, False, False, False], 12, False, [False, False, False, False], 4906, 'North', (13, 13))
Element 45: (3, (13, 13), ['', '', '%', ''], [(16, 10), (12, 3), (9, 13)], [False, False, True, False], 10, False, [False, False, False, False], 4925, 'West', (12, 13))
Element 46: (3, (12, 13), ['', '%', '%', ''], [(16, 11), (12, 4), (8, 13)], [False, True, True, False], 8, False, [False, False, False, False], 4944, 'West', (11, 13))
Element 47: (3, (11, 13), ['', '%', '%', ''], [(16, 12), (11, 4), (7, 13)], [False, True, True, False], 6, False, [False, False, False, False], 4963, 'West', (10, 13))
Element 48: (3, (10, 13), ['', '', '%', ''], [(17, 12), (11, 3), (7, 12)], [False, False, True, False], 4, False, [False, False, False, False], 4982, 'South', (10, 12))
Element 49: (3, (10, 12), ['', '', '', '%'], [(17, 13), (10, 3), (6, 12)], [False, False, False, True], 2, False, [False, False, False, False], 5001, 'South', (10, 11))
Element 50: (3, (10, 11), ['', '', '', ''], [(17, 13), (10, 3), (6, 12)], [False, False, False, False], 0, False, [False, False, False, False], 5000, 'Stop', (10, 11))
Element 51: #0#
