Element 1: (3, (14, 6), ['%', '.', '.', '.'], [(3, 3), (2, 7), (7, 6)], [True, False, False, False], 98, False, [False, True, True, True], 29, 'North', (14, 7))
Element 2: (3, (14, 7), ['.', '', '.', '%'], [(4, 3), (1, 7), (7, 5)], [False, False, False, True], 96, False, [True, False, True, False], 68, 'North', (14, 8))
Element 3: (3, (14, 8), ['.', '', '.', '.'], [(4, 4), (1, 6), (8, 5)], [False, False, False, False], 94, False, [True, False, True, True], 107, 'North', (14, 9))
Element 4: (3, (14, 9), ['.', '', '.', '.'], [(4, 5), (1, 5), (9, 5)], [False, False, False, False], 92, False, [True, False, True, True], 146, 'North', (14, 10))
Element 5: (3, (14, 10), ['.', '', '.', '.'], [(5, 5), (2, 5), (10, 5)], [False, False, False, False], 90, False, [True, False, True, True], 185, 'North', (14, 11))
Element 6: (3, (14, 11), ['.', '', '.', '.'], [(6, 5), (3, 5), (11, 5)], [False, False, False, False], 88, False, [True, False, True, True], 1214, 'East', (15, 11))
Element 7: (3, (15, 11), ['', '.', '.', '.'], [(6, 4), (3, 4), (12, 5)], [False, False, False, False], 86, False, [False, True, True, True], 1253, 'East', (16, 11))
Element 8: (3, (16, 11), ['', '.', '.', '%'], [(7, 4), (2, 4), (13, 5)], [False, False, False, True], 84, False, [False, True, True, False], 1292, 'North', (16, 12))
Element 9: (3, (16, 12), ['.', '', '.', '.'], [(8, 4), (2, 3), (14, 5)], [False, False, False, False], 82, False, [True, False, True, True], 1331, 'East', (17, 12))
Element 10: (3, (17, 12), ['', '%', '.', '%'], [(9, 4), (3, 3), (15, 5)], [False, True, False, True], 80, False, [False, False, True, False], 1360, 'North', (17, 13))
Element 11: (3, (17, 13), ['.', '', '%', '.'], [(9, 3), (4, 3), (15, 6)], [False, False, True, False], 78, False, [True, False, False, True], 1389, 'East', (18, 13))
Element 12: (3, (18, 13), ['', '%', '%', '%'], [(10, 3), (5, 3), (16, 6)], [False, True, True, True], 76, False, [False, False, False, False], 1428, 'West', (17, 13))
