Element 1: (2, (7, 1), ['G', '%', '', '.'], [(8, 2), (6, 1), (10, 6)], [False, True, False, False], 98, False, [False, False, False, True], 19, 'East', (8, 1))
Element 2: (2, (8, 1), ['', '%', '', '.'], [(8, 3), (6, 2), (11, 6)], [False, True, False, False], 96, False, [False, False, False, True], 58, 'East', (9, 1))
Element 3: (2, (9, 1), ['', '%', '%', '.'], [(9, 3), (6, 3), (11, 5)], [False, True, True, False], 94, False, [False, False, False, True], 1087, 'East', (10, 1))
Element 4: (2, (10, 1), ['', '%', '%', '.'], [(10, 3), (7, 3), (12, 5)], [False, True, True, False], 92, False, [False, False, False, True], 1126, 'East', (11, 1))
Element 5: (2, (11, 1), ['', '%', '%', '.'], [(11, 3), (7, 4), (13, 5)], [False, True, True, False], 90, False, [False, False, False, True], 1165, 'East', (12, 1))
Element 6: (2, (12, 1), ['', '%', '%', '.'], [(12, 3), (8, 4), (14, 5)], [False, True, True, False], 88, False, [False, False, False, True], 1204, 'East', (13, 1))
Element 7: (2, (13, 1), ['', '%', '%', '.'], [(13, 3), (9, 4), (15, 5)], [False, True, True, False], 86, False, [False, False, False, True], 1243, 'East', (14, 1))
Element 8: (2, (14, 1), ['', '%', '%', '.'], [(13, 4), (9, 5), (15, 6)], [False, True, True, False], 84, False, [False, False, False, True], 1282, 'East', (15, 1))
Element 9: (2, (15, 1), ['', '%', '%', '.'], [(14, 4), (10, 5), (16, 6)], [False, True, True, False], 82, False, [False, False, False, True], 1321, 'East', (16, 1))
Element 10: (2, (16, 1), ['', '%', 'F', '.'], [(15, 4), (11, 5), (17, 6)], [False, True, False, False], 80, False, [False, False, False, True], 1350, 'North', (16, 2))
Element 11: (2, (16, 2), ['%', '', '.', '%'], [(15, 3), (11, 4), (18, 6)], [True, False, False, True], 78, False, [False, False, True, False], 2379, 'North', (16, 3))
Element 12: (2, (16, 3), ['', '', '%', '.'], [(15, 4), (12, 4), (18, 7)], [False, False, True, False], 76, False, [False, False, False, True], 2408, 'East', (17, 3))
Element 13: (2, (17, 3), ['', '%', '%', '.'], [(15, 5), (13, 4), (18, 8)], [False, True, True, False], 74, False, [False, False, False, True], 2427, 'East', (18, 3))
Element 14: (2, (18, 3), ['', '%', '%', '%'], [(15, 6), (14, 4), (17, 8)], [False, True, True, True], 72, False, [False, False, False, False], 2446, 'West', (17, 3))
Element 15: (2, (17, 3), ['', '%', '%', ''], [(14, 6), (15, 4), (17, 7)], [False, True, True, False], 70, False, [False, False, False, False], 2465, 'West', (16, 3))
Element 16: (2, (16, 3), ['', '', '%', ''], [(14, 7), (15, 5), (16, 7)], [False, False, True, False], 68, False, [False, False, False, False], 2484, 'West', (15, 3))
Element 17: (2, (15, 3), ['%', '%', '', ''], [(14, 8), (15, 6), (16, 8)], [True, True, False, False], 66, False, [False, False, False, False], 2503, 'North', (15, 4))
Element 18: (2, (15, 4), ['', '', '', '%'], [(15, 8), (16, 6), (16, 9)], [False, False, False, True], 64, False, [False, False, False, False], 3512, 'North', (15, 5))
Element 19: (2, (15, 5), ['', '', '', '%'], [(15, 9), (17, 6), (16, 10)], [False, False, False, True], 62, False, [False, False, False, False], 3531, 'North', (15, 6))
Element 20: (2, (15, 6), ['', '', '%', ''], [(15, 10), (18, 6), (16, 11)], [False, False, True, False], 60, False, [False, False, False, False], 3550, 'East', (16, 6))
Element 21: (2, (16, 6), ['', '%', '', ''], [(15, 11), (18, 7), (16, 12)], [False, True, False, False], 58, False, [False, False, False, False], 3569, 'East', (17, 6))
Element 22: (2, (17, 6), ['', '%', '', ''], [(15, 12), (18, 8), (17, 12)], [False, True, False, False], 56, False, [False, False, False, False], 3588, 'East', (18, 6))
Element 23: (2, (18, 6), ['', '%', '', '%'], [(15, 13), (17, 8), (17, 13)], [False, True, False, True], 54, False, [False, False, False, False], 3607, 'North', (18, 7))
Element 24: (2, (18, 7), ['G', '', '', '%'], [(16, 13), (17, 7), (18, 13)], [False, False, False, True], 52, False, [False, False, False, False], 3626, 'North', (18, 8))
Element 25: (2, (18, 8), ['', '', '%', '%'], [(16, 12), (16, 7), (17, 13)], [False, False, True, True], 50, False, [False, False, False, False], 3625, 'West', (17, 8))
Element 26: (2, (17, 8), ['G', '', '%', ''], [(17, 12), (16, 8), (16, 13)], [False, False, True, False], 48, False, [False, False, False, False], 3624, 'South', (17, 7))
Element 27: (2, (17, 7), ['', '', '', ''], [(17, 13), (16, 9), (15, 13)], [False, False, False, False], 46, False, [False, False, False, False], 3623, 'West', (16, 7))
Element 28: (2, (16, 7), ['%', '', '', ''], [(18, 13), (16, 10), (14, 13)], [True, False, False, False], 44, False, [False, False, False, False], 3632, 'North', (16, 8))
Element 29: (2, (16, 8), ['', '', '', ''], [(17, 13), (16, 11), (14, 12)], [False, False, False, False], 42, False, [False, False, False, False], 3641, 'North', (16, 9))
Element 30: (2, (16, 9), ['', '', '', '%'], [(17, 12), (16, 12), (14, 11)], [False, False, False, True], 40, False, [False, False, False, False], 3650, 'North', (16, 10))
Element 31: (2, (16, 10), ['', '', '', '%'], [(17, 13), (17, 12), (14, 10)], [False, False, False, True], 38, False, [False, False, False, False], 3659, 'North', (16, 11))
Element 32: (2, (16, 11), ['', '', '', '%'], [(16, 13), (17, 13), (14, 9)], [False, False, False, True], 36, False, [False, False, False, False], 3668, 'North', (16, 12))
Element 33: (2, (16, 12), ['', '', '', ''], [(15, 13), (18, 13), (13, 9)], [False, False, False, False], 34, False, [False, False, False, False], 3677, 'East', (17, 12))
Element 34: (2, (17, 12), ['', '%', 'G', '%'], [(16, 13), (17, 13), (13, 10)], [False, True, False, True], 32, False, [False, False, False, False], 3686, 'West', (16, 12))
