Element 1: (2, (13, 1), ['.', '%', '%', 'G'], [(16, 9), (9, 5), (14, 1)], [False, True, True, False], 98, False, [True, False, False, False], 1009, 'West', (12, 1))
Element 2: (2, (12, 1), ['.', '%', '%', ''], [(16, 10), (10, 5), (15, 1)], [False, True, True, False], 96, False, [True, False, False, False], 1048, 'West', (11, 1))
Element 3: (2, (11, 1), ['.', '%', '%', ''], [(16, 11), (11, 5), (16, 1)], [False, True, True, False], 94, False, [True, False, False, False], 2077, 'West', (10, 1))
Element 4: (2, (10, 1), ['.', '%', '%', ''], [(16, 12), (12, 5), (16, 2)], [False, True, True, False], 92, False, [True, False, False, False], 3106, 'West', (9, 1))
Element 5: (2, (9, 1), ['.', '%', '%', ''], [(17, 12), (13, 5), (16, 3)], [False, True, True, False], 90, False, [True, False, False, False], 3145, 'West', (8, 1))
Element 6: (2, (8, 1), ['.', '%', '.', ''], [(17, 13), (14, 5), (17, 3)], [False, True, False, False], 88, False, [True, False, True, False], 3184, 'North', (8, 2))
Element 7: (2, (8, 2), ['.', '', '.', '%'], [(18, 13), (15, 5), (18, 3)], [False, False, False, True], 86, False, [True, False, True, False], 3223, 'North', (8, 3))
Element 8: (2, (8, 3), ['.', '', '.', '.'], [(17, 13), (15, 6), (17, 3)], [False, False, False, False], 84, False, [True, False, True, True], 3242, 'East', (9, 3))
Element 9: (2, (9, 3), ['', '%', '.', '.'], [(16, 13), (16, 6), (16, 3)], [False, True, False, False], 82, False, [False, False, True, True], 3271, 'East', (10, 3))
Element 10: (2, (10, 3), ['', '%', '%', '.'], [(15, 13), (17, 6), (15, 3)], [False, True, True, False], 80, False, [False, False, False, True], 3310, 'East', (11, 3))
Element 11: (2, (11, 3), ['', '%', '.', '.'], [(15, 12), (18, 6), (15, 4)], [False, True, False, False], 78, False, [False, False, True, True], 3349, 'East', (12, 3))
Element 12: (2, (12, 3), ['', '%', '.', '.'], [(15, 11), (18, 7), (14, 4)], [False, True, False, False], 76, False, [False, False, True, True], 3388, 'East', (13, 3))
Element 13: (2, (13, 3), ['', '%', 'G', '%'], [(15, 10), (18, 8), (13, 4)], [False, True, False, True], 74, False, [False, False, False, False], 3427, 'West', (12, 3))
Element 14: (2, (12, 3), ['', '%', 'G', ''], [(15, 9), (17, 8), (12, 4)], [False, True, False, False], 72, False, [False, False, False, False], 3456, 'West', (11, 3))
Element 15: (2, (11, 3), ['', '%', 'G', ''], [(15, 8), (17, 7), (11, 4)], [False, True, False, False], 70, False, [False, False, False, False], 3485, 'East', (12, 3))
