Element 1: (2, (11, 8), ['.', '%', '.', '%'], [(18, 5), (2, 2), (12, 5)], [False, True, False, True], 98, False, [True, False, True, False], 19, 'North', (11, 9))
Element 2: (2, (11, 9), ['%', '', '.', '.'], [(18, 6), (2, 1), (13, 5)], [True, False, False, False], 96, False, [False, False, True, True], 1048, 'East', (12, 9))
Element 3: (2, (12, 9), ['', '%', '.', '.'], [(17, 6), (3, 1), (14, 5)], [False, True, False, False], 94, False, [False, False, True, True], 1087, 'East', (13, 9))
Element 4: (2, (13, 9), ['', '.', '.', '%'], [(17, 5), (4, 1), (15, 5)], [False, False, False, True], 92, False, [False, True, True, False], 1126, 'North', (13, 10))
Element 5: (2, (13, 10), ['.', '', '.', '.'], [(17, 4), (4, 2), (15, 6)], [False, False, False, False], 90, False, [True, False, True, True], 1165, 'East', (14, 10))
Element 6: (2, (14, 10), ['', '%', '.', '.'], [(17, 3), (5, 2), (16, 6)], [False, True, False, False], 88, False, [False, False, True, True], 1204, 'East', (15, 10))
Element 7: (2, (15, 10), ['', '.', '.', '.'], [(16, 3), (6, 2), (16, 7)], [False, False, False, False], 86, False, [False, True, True, True], 1243, 'East', (16, 10))
Element 8: (2, (16, 10), ['', '.', '.', '.'], [(16, 4), (7, 2), (16, 8)], [False, False, False, False], 84, False, [False, True, True, True], 1282, 'East', (17, 10))
Element 9: (2, (17, 10), ['', '.', '.', '.'], [(15, 4), (8, 2), (17, 8)], [False, False, False, False], 82, False, [False, True, True, True], 1321, 'East', (18, 10))
Element 10: (2, (18, 10), ['', '.', '.', '%'], [(15, 5), (9, 2), (18, 8)], [False, False, False, True], 80, False, [False, True, True, False], 1350, 'North', (18, 11))
Element 11: (2, (18, 11), ['.', '', '%', '%'], [(15, 6), (9, 1), (18, 9)], [False, False, True, True], 78, False, [True, False, False, False], 2369, 'West', (17, 11))
Element 12: (2, (17, 11), ['.', '', '%', ''], [(15, 7), (10, 1), (17, 9)], [False, False, True, False], 76, False, [True, False, False, False], 2408, 'West', (16, 11))
Element 13: (2, (16, 11), ['.', '', '.', ''], [(15, 8), (11, 1), (16, 9)], [False, False, False, False], 74, False, [True, False, True, False], 2447, 'North', (16, 12))
Element 14: (2, (16, 12), ['.', '', '.', '%'], [(14, 8), (12, 1), (15, 9)], [False, False, False, True], 72, False, [True, False, True, False], 2486, 'North', (16, 13))
Element 15: (2, (16, 13), ['%', '', '%', '.'], [(14, 7), (13, 1), (15, 10)], [True, False, True, False], 70, False, [False, False, False, True], 2515, 'East', (17, 13))
Element 16: (2, (17, 13), ['', '%', '%', '.'], [(14, 6), (14, 1), (15, 11)], [False, True, True, False], 68, False, [False, False, False, True], 2554, 'East', (18, 13))
Element 17: (2, (18, 13), ['', '%', '%', '%'], [(13, 6), (14, 2), (15, 12)], [False, True, True, True], 66, False, [False, False, False, False], 2593, 'West', (17, 13))
Element 18: (2, (17, 13), ['', '%', '%', ''], [(13, 7), (15, 2), (14, 12)], [False, True, True, False], 64, False, [False, False, False, False], 2622, 'West', (16, 13))
Element 19: (2, (16, 13), ['%', '', '%', ''], [(13, 8), (16, 2), (14, 11)], [True, False, True, False], 62, False, [False, False, False, False], 2651, 'South', (16, 12))
Element 20: (2, (16, 12), ['', '', '', '%'], [(13, 9), (16, 3), (13, 11)], [False, False, False, True], 60, False, [False, False, False, False], 2660, 'West', (15, 12))
Element 21: (2, (15, 12), ['', '', '%', ''], [(13, 10), (17, 3), (13, 12)], [False, False, True, False], 58, False, [False, False, False, False], 2669, 'South', (15, 11))
Element 22: (2, (15, 11), ['', '', '', ''], [(12, 10), (17, 4), (12, 12)], [False, False, False, False], 56, False, [False, False, False, False], 2688, 'West', (14, 11))
Element 23: (2, (14, 11), ['', '', '', ''], [(12, 11), (18, 4), (12, 13)], [False, False, False, False], 54, False, [False, False, False, False], 3697, 'North', (14, 12))
Element 24: (2, (14, 12), ['', '', '%', ''], [(11, 11), (18, 5), (11, 13)], [False, False, True, False], 52, False, [False, False, False, False], 3716, 'West', (13, 12))
Element 25: (2, (13, 12), ['', '', '%', ''], [(11, 10), (18, 6), (10, 13)], [False, False, True, False], 50, False, [False, False, False, False], 3735, 'South', (13, 11))
Element 26: (2, (13, 11), ['', '', '', ''], [(10, 10), (17, 6), (10, 12)], [False, False, False, False], 48, False, [False, False, False, False], 3754, 'West', (12, 11))
Element 27: (2, (12, 11), ['', '', '', ''], [(9, 10), (17, 5), (10, 11)], [False, False, False, False], 46, False, [False, False, False, False], 3773, 'North', (12, 12))
Element 28: (2, (12, 12), ['%', '', '', ''], [(9, 9), (17, 6), (9, 11)], [True, False, False, False], 44, False, [False, False, False, False], 3792, 'North', (12, 13))
Element 29: (2, (12, 13), ['', '', '%', '%'], [(9, 8), (16, 6), (9, 12)], [False, False, True, True], 42, False, [False, False, False, False], 3811, 'West', (11, 13))
Element 30: (2, (11, 13), ['', '%', '%', ''], [(9, 7), (16, 7), (9, 11)], [False, True, True, False], 40, False, [False, False, False, False], 4810, 'West', (10, 13))
Element 31: (2, (10, 13), ['%', '', '%', ''], [(10, 7), (16, 8), (8, 11)], [True, False, True, False], 38, False, [False, False, False, False], 5819, 'South', (10, 12))
Element 32: (2, (10, 12), ['', '', '', '%'], [(10, 8), (17, 8), (7, 11)], [False, False, False, True], 36, False, [False, False, False, False], 6828, 'South', (10, 11))
Element 33: (2, (10, 11), ['', '', '', ''], [(11, 8), (18, 8), (7, 10)], [False, False, False, False], 34, False, [False, False, False, False], 6837, 'East', (11, 11))
Element 34: (2, (11, 11), ['', '', '%', ''], [(11, 9), (18, 9), (7, 9)], [False, False, True, False], 32, False, [False, False, False, False], 7836, 'South', (11, 10))
Element 35: (2, (11, 10), ['', '', '', ''], [(12, 9), (18, 10), (6, 9)], [False, False, False, False], 30, False, [False, False, False, False], 8835, 'East', (12, 10))
Element 36: (2, (12, 10), ['', '', '', ''], [(11, 9), (18, 11), (6, 10)], [False, False, False, False], 28, False, [False, False, False, False], 8844, 'West', (11, 10))
